"","Dates","USD","CNY","EUR","GBP","JPY"
"782","Apr 15, 2020",1.00147012408859,1.02843384464619,0.97705962292666,1.00537081184418,0.988412667691507
"781","Apr 14, 2020",1.0055707383168,1.02986878021879,0.974745366029918,1.00076967184412,0.989874564823652
"780","Apr 13, 2020",1.00136826289964,1.02614675485317,0.976533903638794,1.00564600142691,0.990978526997731
"779","Apr 10, 2020",1.00003196647139,1.02236533078952,0.973314773966409,1.00895297031854,0.995991804270976
"778","Apr 9, 2020",0.999770978297874,1.02314443635813,0.973699249752586,1.00831280849316,0.995731870498305
"777","Apr 8, 2020",0.996059709603659,1.02264619503065,0.976339953777551,1.01032667868204,0.995236595345424
"776","Apr 7, 2020",0.996530166944092,1.02020432853184,0.973937199880857,1.01531136119483,0.994700160210194
"775","Apr 3, 2020",0.993026153967072,1.02339855932721,0.977805742453368,1.01760539160139,0.988923116878787
"774","Apr 2, 2020",0.997304015618195,1.02654655813331,0.977559625314312,1.0110875866344,0.988238447943399
"773","Apr 1, 2020",0.999916597739237,1.03156035563814,0.970754580945139,1.01499261127469,0.983941435861849
"772","Mar 31, 2020",1.00162623530729,1.03076265370064,0.966444047159194,1.01333012271571,0.989026584748384
"771","Mar 30, 2020",1.00090963165546,1.03261390198673,0.964154568012974,1.01273090384739,0.990892264118001
"770","Mar 27, 2020",1.00318978877162,1.03438322916176,0.958342560322006,1.01176082855506,0.993886495348979
"769","Mar 26, 2020",0.994558725447601,1.02218896945114,0.959836504910421,1.0239243870232,1.00085975859937
"768","Mar 25, 2020",0.982551796884334,1.01574466740372,0.96111240163566,1.0390926591752,1.00330167414844
"767","Mar 24, 2020",0.980269935568516,1.00600766530381,0.967123154101605,1.04739484006466,1.0010616310158
"766","Mar 23, 2020",0.974765374432024,1.00453677087008,0.967606373810863,1.06037424448203,0.995350815265682
"765","Mar 20, 2020",0.976414310997853,1.00673262584322,0.971737499502919,1.05370304273911,0.993538095168323
"764","Mar 19, 2020",0.973591710574007,1.0055623783144,0.969239304842862,1.06484682002095,0.989682657952881
"763","Mar 18, 2020",0.986057959679925,1.00971257647128,0.959084367807893,1.06733123792468,0.981168865030883
"762","Mar 17, 2020",0.996857357329395,1.01504971803448,0.96481361896713,1.03919154338007,0.985690651095424
"761","Mar 16, 2020",1.00759849533074,1.02386401598971,0.959014980867214,1.03203203090039,0.979380926597301
"760","Mar 13, 2020",1.00209763436748,1.02048755215958,0.960392453416154,1.02539051819183,0.992988492341733
"759","Mar 12, 2020",1.01389690058902,1.03556759702432,0.964901776281684,1.01325995065775,0.974145364774906
"758","Mar 11, 2020",1.02163686092823,1.03324518990613,0.964873216286978,1.00109886648816,0.98073761647274
"757","Mar 10, 2020",1.02118936292956,1.03218425297984,0.963581022072435,0.993988440082332,0.990528365621876
"756","Mar 9, 2020",1.03458363269277,1.04424954780576,0.961793874181866,0.989737376469749,0.97236232340861
"755","Mar 6, 2020",1.02486846592281,1.03228436607289,0.966616229541457,0.986752990874037,0.990991627456897
"754","Mar 5, 2020",1.02091773539062,1.02907641424021,0.966802032120318,0.9892345238513,0.995233091235173
"753","Mar 4, 2020",1.01526193358565,1.02173796614517,0.97041534471518,0.991025249657858,1.00239753666757
"752","Mar 3, 2020",1.01467113117453,1.02642146015679,0.966718605124345,0.995038092576606,0.998180745515004
"751","Mar 2, 2020",1.01084208228964,1.02240119361524,0.966405916245397,0.995982360763327,1.00527321580011
"750","Feb 28, 2020",1.00951128307517,1.02560232644052,0.974481939990288,0.98934388842648,1.00181782641415
"749","Feb 27, 2020",1.00687567245064,1.02475344691172,0.974295554896091,0.981827125755676,1.01316228944877
"748","Feb 26, 2020",1.00295568829283,1.02338699577705,0.98117783194246,0.976492477519933,1.01686132679547
"747","Feb 25, 2020",1.00517464403362,1.024336684819,0.983348605993933,0.971075240353625,1.01708057820682
"746","Feb 24, 2020",1.00214980490083,1.02356942280486,0.982736152480185,0.973693232981293,1.01880475988082
"745","Feb 21, 2020",1.00108822042235,1.02215059409353,0.982547576425171,0.969768837725382,1.02563055398701
"744","Feb 20, 2020",0.997749331460425,1.01813256904137,0.984792927156202,0.973178547572217,1.02715687304511
"743","Feb 19, 2020",1.00081573260445,1.01766977026757,0.98579550713375,0.973277267289665,1.02332972163099
"742","Feb 18, 2020",1.00451500268813,1.02128538087694,0.990722300682084,0.97081661021197,1.01346165178011
"741","Feb 17, 2020",1.00586299344452,1.02033205703533,0.988090427514585,0.971613857721009,1.01491400559746
"740","Feb 14, 2020",1.00652197175823,1.02181950285189,0.989059163733049,0.969215277240243,1.01428506473663
"739","Feb 13, 2020",1.0068456910159,1.02069982218414,0.988519920588682,0.969653501901856,1.01516596575573
"738","Feb 12, 2020",1.00577999202346,1.01887414474643,0.984583138546006,0.974945676399166,1.01658490057793
"737","Feb 11, 2020",1.00715880380538,1.01940749855546,0.982073635088991,0.976914934712592,1.01520423727623
"736","Feb 10, 2020",1.00599600749087,1.02092011605412,0.98136811161829,0.978694193491873,1.01375504381713
"735","Feb 7, 2020",1.00584082007307,1.02326177320686,0.978111945948651,0.980186128971823,1.01341394900944
"734","Feb 6, 2020",1.00744561989778,1.02038579873319,0.9765627738594,0.978965249942131,1.01752840132913
"733","Feb 5, 2020",1.00916134226199,1.02257811613366,0.976614680558385,0.975180284374542,1.01750075285823
"732","Feb 4, 2020",1.01023327351497,1.02728994154491,0.973673474367012,0.974058316491255,1.01598430307681
