,A01,A02,A03,B,C10-C12,C13-C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_C32,C33,D35,E36,E37-E39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_J60,J61,J62_J63,K64,K65,K66,L68,M69_M70,M71,M72,M73,M74_M75,N,O84,P85,Q,R_S,T,U
C29,26,1,2,40,192,130,20,45,26,94,38,91,212,100,106,547,150,264,1750,2178,276,86,142,106,21,167,1060,1551,447,132,284,36,91,215,33,121,54,57,175,108,30,5,76,213,112,100,78,60,56,552,43,16,93,164,0,0
C30,25,1,46,12,69,58,9,11,10,22,11,43,48,38,56,149,50,48,370,292,1148,51,259,36,14,108,346,47,183,120,127,73,590,97,6,91,13,35,46,63,26,4,19,67,94,41,38,27,33,206,92,39,116,152,0,0
C31_C32,41,1,9,7,196,256,323,34,48,62,110,168,158,84,214,579,237,120,691,419,186,5739,98,46,9,38,1094,79,599,113,91,143,172,143,18,166,43,33,57,127,16,4,109,244,142,61,14,64,60,345,156,25,2607,338,0,0
C33,541,7,14,24,192,125,45,58,42,168,27,35,162,142,119,591,210,204,792,239,210,109,216,128,28,373,2004,85,490,108,132,48,133,245,59,110,87,89,488,115,15,4,104,214,32,112,38,50,57,448,321,95,429,273,0,0
D35,1301,7,73,243,2730,1166,355,1988,299,1431,2260,363,1284,1565,3776,918,396,279,1722,584,84,754,629,37250,976,558,1021,407,1236,3106,1594,123,139,650,364,2428,97,163,288,165,473,108,200,218,644,163,77,369,209,1145,3133,592,1547,2730,0,0
E36,327,1,0,34,186,172,33,84,4,43,41,36,158,88,652,39,10,11,23,7,19,21,11,456,91,947,353,7,32,44,55,1,4,35,10,196,5,6,21,8,33,2,10,67,5,6,27,1,3,103,164,79,129,282,0,0
E37-E39,296,1,1,265,497,489,345,914,42,265,354,155,1874,462,7662,288,53,77,246,103,128,206,62,2212,925,10731,1139,152,556,558,680,64,126,371,85,381,40,88,170,156,67,7,161,166,128,93,35,45,75,686,290,107,572,1604,0,0
F,760,1,2,71,783,609,109,118,134,244,291,347,304,341,405,997,332,275,980,884,541,257,233,611,123,500,62801,276,1677,881,1386,77,136,1102,51,965,222,203,801,601,524,70,251,1738,1172,624,190,337,384,1383,3160,546,2819,639,0,0
G45,85,2,1,35,367,202,39,68,36,205,82,64,217,196,146,380,166,170,1040,1345,293,125,170,176,25,243,1373,1160,720,195,303,64,152,293,46,165,75,79,313,113,127,69,146,229,95,96,21,139,58,603,136,38,215,284,0,0
G46,1561,9,43,231,8417,3932,697,984,327,4955,3087,1477,1762,2133,3402,3158,1038,1773,5631,2136,852,2226,560,3708,291,1885,4791,1167,9979,2217,2726,1654,1159,2431,77,3357,402,440,876,1305,416,66,2222,941,925,277,138,4078,270,4005,563,200,2375,1538,0,0
