""	"SYM"	"MKCapRate.real"	"acumul.real"	"ClaseMKCap.real"
"209"	"COB"	3.45934074663574e-05	0.996293183664788	"BC"
"210"	"SWFTC"	3.44950453655837e-05	0.996327678710154	"BC"
"211"	"MLN"	3.4096384990971e-05	0.996361775095145	"BC"
"212"	"ICN"	3.4060677441423e-05	0.996395835772586	"BC"
"213"	"PING"	3.40071900457749e-05	0.996429842962632	"BC"
"214"	"VIBE"	3.39413195972297e-05	0.996463784282229	"BC"
"215"	"PLU"	3.38776670089049e-05	0.996497661949238	"BC"
"216"	"TKN"	3.3648488119466e-05	0.996531310437358	"BC"
"217"	"WINGS"	3.30642298087447e-05	0.996564374667167	"BC"
"218"	"UNITY"	3.27915808589865e-05	0.996597166248026	"BC"
"219"	"SLS"	3.27548752723392e-05	0.996629921123298	"BC"
"220"	"CBX"	3.2288607125342e-05	0.996662209730423	"BC"
"221"	"MTC"	3.18091057456966e-05	0.996694018836169	"BC"
"222"	"XWC"	3.13430224203845e-05	0.996725361858589	"BC"
"223"	"IXC"	3.11267440845607e-05	0.996756488602674	"BC"
"224"	"SOAR"	3.10061294529093e-05	0.996787494732127	"BC"
"225"	"PST"	3.08400486867401e-05	0.996818334780813	"BC"
"226"	"NLG"	3.07010997439335e-05	0.996849035880557	"BC"
"227"	"RVT"	3.06622871900769e-05	0.996879698167747	"BC"
"228"	"SNM"	3.00076487816957e-05	0.996909705816529	"BC"
"229"	"EMC2"	2.99277318850881e-05	0.996939633548414	"BC"
"230"	"BMC"	2.95356141981255e-05	0.996969169162612	"BC"
"231"	"ZSC"	2.89343892567184e-05	0.996998103551869	"BC"
"232"	"WCT"	2.87459820309975e-05	0.9970268495339	"BC"
"233"	"DBET"	2.85794576927842e-05	0.997055428991593	"BC"
"234"	"BCAP"	2.81786164222881e-05	0.997083607608015	"BC"
"235"	"FUEL"	2.70849895476204e-05	0.997110692597563	"BC"
"236"	"EAC"	2.68084593424764e-05	0.997137501056905	"BC"
"237"	"LEO"	2.64175614786351e-05	0.997163918618384	"BC"
"238"	"HEAT"	2.62278605011188e-05	0.997190146478885	"BC"
"239"	"EVX"	2.60181987816192e-05	0.997216164677667	"BC"
"240"	"CDT"	2.59351768807031e-05	0.997242099854547	"BC"
"241"	"ECA"	2.58591782038182e-05	0.997267959032751	"BC"
"242"	"CSC"	2.55518936702851e-05	0.997293510926421	"BC"
"243"	"PHX"	2.53310687210096e-05	0.997318841995143	"BC"
"244"	"BAY"	2.52556984378538e-05	0.99734409769358	"BC"
"245"	"FAIR"	2.47714656230715e-05	0.997368869159203	"BC"
"246"	"XDN"	2.47067041046365e-05	0.997393575863308	"BC"
"247"	"XDE2"	2.43956861730657e-05	0.997417971549481	"BC"
"248"	"JNT"	2.42232105765944e-05	0.997442194760058	"BC"
"249"	"MTH"	2.400866956461e-05	0.997466203429622	"BC"
"250"	"UBQ"	2.37367968659288e-05	0.997489940226488	"BC"
"251"	"LGD"	2.32573324506204e-05	0.997513197558939	"BC"
"252"	"HTML"	2.32295722335287e-05	0.997536427131172	"BC"
"253"	"BURST"	2.31632212486024e-05	0.997559590352421	"BC"
"254"	"IFC"	2.3149063907529e-05	0.997582739416329	"BC"
"255"	"GAME"	2.30282644541925e-05	0.997605767680783	"BC"
"256"	"BAR"	2.27973852052513e-05	0.997628565065988	"BC"
"257"	"TIX"	2.27328454728383e-05	0.997651297911461	"BC"
"258"	"MOD"	2.26594342995439e-05	0.99767395734576	"BC"
"259"	"XTO"	2.25327575166234e-05	0.997696490103277	"BC"
"260"	"HMC"	2.25016335448641e-05	0.997718991736822	"BC"
"261"	"DPY"	2.22789603787383e-05	0.997741270697201	"BC"
"262"	"CRM"	2.22280604866806e-05	0.997763498757687	"BC"
"263"	"SNIP"	2.13067613511362e-05	0.997784805519038	"BC"
"264"	"CLOAK"	2.11889929734342e-05	0.997805994512012	"BC"
"265"	"GCN"	2.08318435492795e-05	0.997826826355561	"BC"
"266"	"ANC"	2.06810290542939e-05	0.997847507384615	"BC"
"267"	"ADT"	2.04415001504932e-05	0.997867948884766	"BC"
"268"	"FRD"	2.04415001504932e-05	0.997888390384916	"BC"
"269"	"JET"	2.04415001504932e-05	0.997908831885067	"BC"
"270"	"PLX"	2.04415001504932e-05	0.997929273385217	"BC"
"271"	"CAG"	2.01444917026478e-05	0.99794941787692	"BC"
"272"	"AE"	2.00657946291614e-05	0.997969483671549	"BC"
"273"	"GUNS"	1.98812686588261e-05	0.997989364940208	"BC"
"274"	"CNBC"	1.97079059182667e-05	0.998009072846126	"BC"
"275"	"ARN"	1.96366386765186e-05	0.998028709484803	"BC"
"276"	"ROUND"	1.90042158346782e-05	0.998047713700637	"BC"
"277"	"SEED"	1.85638966522594e-05	0.99806627759729	"BC"
"278"	"XAS"	1.84988024547913e-05	0.998084776399745	"BC"
"279"	"COE"	1.84821685031385e-05	0.998103258568248	"BC"
"280"	"PASC"	1.84685286627832e-05	0.99812172709691	"BC"
"281"	"SJCX"	1.83059964729666e-05	0.998140033093383	"BC"
"282"	"ROOTS"	1.82746137508483e-05	0.998158307707134	"BC"
"283"	"SCN"	1.77038474231344e-05	0.998176011554557	"BC"
"284"	"GRE"	1.70418161473519e-05	0.998193053370705	"BC"
"285"	"DNET"	1.69358763574919e-05	0.998209989247062	"BC"
"286"	"BQ"	1.68357769328789e-05	0.998226825023995	"BC"
"287"	"FLIK"	1.67002656734139e-05	0.998243525289669	"BC"
"288"	"ZCL"	1.66530252507199e-05	0.998260178314919	"BC"
"289"	"LUN"	1.66369087997852e-05	0.998276815223719	"BC"
"290"	"XCP"	1.66260412847053e-05	0.998293441265004	"BC"
"291"	"CGT"	1.66087419749864e-05	0.998310050006979	"BC"
"292"	"VIB"	1.65576572612437e-05	0.99832660766424	"BC"
"293"	"GIN"	1.64139768833003e-05	0.998343021641123	"BC"
"294"	"MOL"	1.62216144735196e-05	0.998359243255597	"BC"
"295"	"GCR"	1.55823532293331e-05	0.998374825608826	"BC"
"296"	"NGC"	1.51197815160365e-05	0.998389945390342	"BC"
"297"	"PAL"	1.49478603846203e-05	0.998404893250727	"BC"
"298"	"DNA"	1.47179052441043e-05	0.998419611155971	"BC"
"299"	"ION"	1.45837986294455e-05	0.9984341949546	"BC"
"300"	"DOV"	1.45622114566339e-05	0.998448757166057	"BC"
"301"	"BTX"	1.44715009736205e-05	0.998463228667031	"BC"
"302"	"HBT"	1.42762923098903e-05	0.998477504959341	"BC"
"303"	"XPM"	1.41993325602432e-05	0.998491704291901	"BC"
"304"	"POT"	1.41021533182537e-05	0.998505806445219	"BC"
"305"	"ALIS"	1.38985907143602e-05	0.998519705035933	"BC"
"306"	"EVR"	1.38830656928175e-05	0.998533588101626	"BC"
"307"	"XAUR"	1.36204710427249e-05	0.998547208572669	"BC"
"308"	"XCO"	1.3420604872532e-05	0.998560629177541	"BC"
"309"	"DYN"	1.32643196556695e-05	0.998573893497197	"BC"
"310"	"SHIFT"	1.30126664493307e-05	0.998586906163646	"BC"
"311"	"LIFE"	1.27759468351425e-05	0.998599682110482	"BC"
"312"	"LINDA"	1.27113331740556e-05	0.998612393443656	"BC"
"313"	"COV"	1.26285700234985e-05	0.998625022013679	"BC"
"314"	"BCPT"	1.23620201893462e-05	0.998637384033868	"BC"
"315"	"B2B"	1.22247716060419e-05	0.998649608805474	"BC"
"316"	"OTN"	1.20980578587844e-05	0.998661706863333	"BC"
"317"	"KICK"	1.18522450176927e-05	0.998673559108351	"BC"
"318"	"BIS"	1.18391596423924e-05	0.998685398267993	"BC"
"319"	"PLBT"	1.18369048178351e-05	0.998697235172811	"BC"
"320"	"CSNO"	1.14983484551946e-05	0.998708733521266	"BC"
"321"	"BLK"	1.14468571337448e-05	0.9987201803784	"BC"
"322"	"MNX"	1.12084741243913e-05	0.998731388852525	"BC"
"323"	"ONION"	1.11671110312813e-05	0.998742555963556	"BC"
"324"	"PPY"	1.11551345860913e-05	0.998753711098142	"BC"
"325"	"FLASH"	1.1153397262252e-05	0.998764864495404	"BC"
"326"	"XHI"	1.10466812213149e-05	0.998775911176625	"BC"
"327"	"ARCO"	1.10264617289724e-05	0.998786937638354	"BC"
"328"	"PRL"	1.1011971708866e-05	0.998797949610063	"BC"
"329"	"XSPEC"	1.0676557314871e-05	0.998808626167378	"BC"
"330"	"ZAP"	1.05627441212287e-05	0.998819188911499	"BC"
"331"	"FTC"	1.0370085996752e-05	0.998829558997496	"BC"
"332"	"TGT"	1.02212675759647e-05	0.998839780265072	"BC"
"333"	"XPO"	1.02107697042549e-05	0.998849991034776	"BC"
"334"	"PEPECASH"	9.86397029446203e-06	0.998859855005071	"BC"
"335"	"INDI"	9.83746686482853e-06	0.998869692471936	"BC"
"336"	"RBY"	9.81850415994431e-06	0.998879510976096	"BC"
"337"	"XEL"	9.81510344093974e-06	0.998889326079537	"BC"
"338"	"GGS"	9.51576623986291e-06	0.998898841845776	"BC"
"339"	"CBC"	9.35253172764319e-06	0.998908194377504	"BC"
"340"	"SXUT"	9.30466291122006e-06	0.998917499040415	"BC"
"341"	"GLD"	9.2536890904884e-06	0.998926752729506	"BC"
"342"	"1337"	9.1470839425623e-06	0.998935899813448	"BC"
"343"	"FLIXX"	9.12313105218223e-06	0.9989450229445	"BC"
"344"	"DMD"	8.94910295355668e-06	0.998953972047454	"BC"
"345"	"ART"	8.94315169529867e-06	0.998962915199149	"BC"
"346"	"ARC"	8.82216742027712e-06	0.99897173736657	"BC"
"347"	"DRT"	8.8026132860008e-06	0.998980539979856	"BC"
"348"	"CHAT"	8.68765419791128e-06	0.998989227634054	"BC"
"349"	"AC"	8.6023774724378e-06	0.998997830011526	"BC"
"350"	"BOLI"	8.5593879484995e-06	0.999006389399475	"BC"
"351"	"IND"	8.43237848654593e-06	0.999014821777961	"BC"
"352"	"BITB"	8.3615178525049e-06	0.999023183295814	"BC"
"353"	"IXT"	8.34355318471985e-06	0.999031526848998	"BC"
"354"	"BWK"	8.33460781516433e-06	0.999039861456813	"BC"
"355"	"CRW"	8.20460424191325e-06	0.999048066061055	"BC"
"356"	"FLY"	8.1819081389914e-06	0.999056247969194	"BC"
