""	"SYM"	"MKCapRate"	"acumul"	"ClaseMKCaProxy"
"883"	"BTPL"	0	1	"BC"
"884"	"BTSE"	0	1	"BC"
"885"	"BTTF"	0	1	"BC"
"886"	"BTU"	0	1	"BC"
"887"	"BTXC"	0	1	"BC"
"888"	"BTZ"	0	1	"BC"
"889"	"BUCKS"	0	1	"BC"
"890"	"BUK"	0	1	"BC"
"891"	"BUN"	0	1	"BC"
"892"	"BVC"	0	1	"BC"
"893"	"BXC"	0	1	"BC"
"894"	"BXT"	0	1	"BC"
"895"	"C2"	0	1	"BC"
"896"	"CAID"	0	1	"BC"
"897"	"CAIX"	0	1	"BC"
"898"	"CALC"	0	1	"BC"
"899"	"CAM"	0	1	"BC"
"900"	"CASH"	0	1	"BC"
"901"	"CBD"	0	1	"BC"
"902"	"CBX"	0	1	"BC"
"903"	"CC"	0	1	"BC"
"904"	"CCO"	0	1	"BC"
"905"	"CCX"	0	1	"BC"
"906"	"CDY"	0	1	"BC"
"907"	"CELL"	0	1	"BC"
"908"	"CESC"	0	1	"BC"
"909"	"CETI"	0	1	"BC"
"910"	"CF"	0	1	"BC"
"911"	"CFC"	0	1	"BC"
"912"	"CFT"	0	1	"BC"
"913"	"CGA"	0	1	"BC"
"914"	"CGT"	0	1	"BC"
"915"	"CHA"	0	1	"BC"
"916"	"CHAO"	0	1	"BC"
"917"	"CHASH"	0	1	"BC"
"918"	"CHC"	0	1	"BC"
"919"	"CHESS"	0	1	"BC"
"920"	"CHIEF"	0	1	"BC"
"921"	"CHILD"	0	1	"BC"
"922"	"CHIP"	0	1	"BC"
"923"	"CHOOF"	0	1	"BC"
"924"	"CIN"	0	1	"BC"
"925"	"CINNI"	0	1	"BC"
"926"	"CIR"	0	1	"BC"
"927"	"CIRC"	0	1	"BC"
"928"	"CJC"	0	1	"BC"
"929"	"CKC"	0	1	"BC"
"930"	"CLAM"	0	1	"BC"
"931"	"CLICK"	0	1	"BC"
"932"	"CLINT"	0	1	"BC"
"933"	"CLR"	0	1	"BC"
"934"	"CLUD"	0	1	"BC"
"935"	"CLV"	0	1	"BC"
"936"	"CMC"	0	1	"BC"
"937"	"CMP"	0	1	"BC"
"938"	"CMTC"	0	1	"BC"
"939"	"CNBC"	0	1	"BC"
"940"	"CNC"	0	1	"BC"
"941"	"CNL"	0	1	"BC"
"942"	"CNMT"	0	1	"BC"
"943"	"CNX"	0	1	"BC"
"944"	"COC"	0	1	"BC"
"945"	"COE"	0	1	"BC"
"946"	"COIN"	0	1	"BC"
"947"	"COMM"	0	1	"BC"
"948"	"COMP"	0	1	"BC"
"949"	"CON"	0	1	"BC"
"950"	"COOL"	0	1	"BC"
"951"	"CORAL"	0	1	"BC"
"952"	"CORE"	0	1	"BC"
"953"	"CRAB"	0	1	"BC"
"954"	"CRACK"	0	1	"BC"
