"ID del Tweet","Link permanente del Tweet","Testo del Tweet"," orario","visualizzazioni","interazioni","tasso di interazione","retweet","risposte","Mi piace","clic profilo utente","clic sull'URL","clic sull'hashtag","espansioni dettaglio","clic sui link permanenti","app aperta","installazioni app","follow","Tweet inviati tramite email","chiamata telefonica","visualizzazioni di contenuti multimediali","interazioni con i contenuti multimediali","Promoted visualizzazioni","Promoted interazioni","Promoted tasso di interazione","Promoted retweet","Promoted risposte","Promoted Mi piace","Promoted clic profilo utente","Promoted clic sull'URL","Promoted clic sull'hashtag","Promoted espansioni dettaglio","Promoted clic sui link permanenti","Promoted app aperta","Promoted installazioni app","Promoted follow","Promoted Tweet inviati tramite email","Promoted chiamata telefonica","Promoted visualizzazioni di contenuti multimediali","Promoted interazioni con i contenuti multimediali"
"1194607035729502209","https://twitter.com/fintech_ho2020/status/1194607035729502209","ph. Credits to @LakaviciusR 🙏","2019-11-13 13:24 +0000","169.0","1.0","0.005917159763313609","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1194292951830220800","https://twitter.com/fintech_ho2020/status/1194292951830220800","Great to hear from our PO @LakaviciusR which are the new EU funding opportunities for SMEs and Startups. 
#convergence19
@BC_Convergence https://t.co/PjNqJXDuHy","2019-11-12 16:36 +0000","1169.0","39.0","0.033361847733105215","5.0","0.0","8.0","5.0","0.0","1.0","2.0","0.0","0","0","0","0","0","18","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1194290302560931842","https://twitter.com/fintech_ho2020/status/1194290302560931842","As part of the hundred of EU funded projects there is also our #fintech_ho2020.
Happy to help shaping the future together!
@BC_Convergence #Convergence19 #ho2020 https://t.co/VkBebQmbWc https://t.co/B2YTeqpxXl","2019-11-12 16:26 +0000","491.0","8.0","0.016293279022403257","2.0","0.0","1.0","0.0","0.0","2.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1194271123468357633","https://twitter.com/fintech_ho2020/status/1194271123468357633","If you are interested on how a consortium of 24 partners deals with financial #riskmanagement models for #blockchian and #AI, please pass by at our stand in the exhibition area. @BC_Convergence #Convergence19 #Malaga https://t.co/PEbN5lFsM9","2019-11-12 15:09 +0000","2510.0","31.0","0.012350597609561753","7.0","1.0","14.0","4.0","0.0","2.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1194234158224199680","https://twitter.com/fintech_ho2020/status/1194234158224199680","University of Pavia at @BC_Convergence
#Convergence19
Hundreds of participants, not only #Blockchain enthusiasts, more than this we found curiosity about technology and innovation. https://t.co/Gmh67DDrlt https://t.co/GKZmEA5Snu","2019-11-12 12:43 +0000","1845.0","43.0","0.023306233062330622","5.0","1.0","6.0","3.0","0.0","0.0","2.0","0.0","0","0","0","0","0","26","26","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1194187735826915328","https://twitter.com/fintech_ho2020/status/1194187735826915328","@gurdips1 @ExportersIndia @ExportWW @IndiaEximBank @EximBankUS @CloudExpoAsia @AeroIndiashow @ICCCImumbai @CIIEvents @IndianBankInfo @TiEGlobal @USIBC @UKIBC @Walmart @Flipkart @amazonIN @DGCX @fintechindiaexp @FintechnewsUSA Can I ask you to remove the hashtag fintecho2020? For further information contact me","2019-11-12 09:38 +0000","1030.0","1.0","9.70873786407767E-4","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1194158574005559296","https://twitter.com/fintech_ho2020/status/1194158574005559296","Here we are!! amazing exhibition area and location. It will be a great day!  #Convergence19 @BC_Convergence https://t.co/UQQBUdOOWL","2019-11-12 07:42 +0000","682.0","26.0","0.03812316715542522","2.0","1.0","8.0","5.0","0.0","0.0","5.0","0.0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1192038642556035072","https://twitter.com/fintech_ho2020/status/1192038642556035072","We will talk a lot about smart regulation, #explainability and #trustworthy. 
✔So happy about the @EBFeu support.

✈Do not forget to plan your trip to Brussels and register here  ➡️ https://t.co/3SBd4UFp4U
Flyer: https://t.co/trcsy1BBmX
Agenda: https://t.co/Aa311UY4w8 https://t.co/N7bzHqPdem","2019-11-06 11:18 +0000","912.0","18.0","0.019736842105263157","3.0","0.0","5.0","6.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1192037429932384256","https://twitter.com/fintech_ho2020/status/1192037429932384256","@EBFeu @ecb @EBA_News @FiramisCompany Perfect question! let's challenge the speakers and the audience to find a creative reply.","2019-11-06 11:14 +0000","740.0","8.0","0.010810810810810811","1.0","0.0","2.0","5.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1191302999823532032","https://twitter.com/fintech_ho2020/status/1191302999823532032","Financial #riskmanagement  as the key factor for  #RegTech and #SupTech players. 
Happy to #join experts on the #blockchain sector at the Convergence, Global Blockchain Congress on Nov. 11-13 in Malaga, Spain.
@BC_Convergence https://t.co/SDTtueHoDK","2019-11-04 10:35 +0000","1030.0","22.0","0.021359223300970873","2.0","0.0","4.0","2.0","1.0","0.0","5.0","0.0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1191291093276606465","https://twitter.com/fintech_ho2020/status/1191291093276606465","Waiting for Bankers &amp; Insurers for the 26th of November🚩in Brusseles!
#workshop #banks #insurers special #regtech https://t.co/l052qXUip9","2019-11-04 09:48 +0000","853.0","8.0","0.009378663540445486","2.0","0.0","3.0","2.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1191290188854636544","https://twitter.com/fintech_ho2020/status/1191290188854636544","The success of #AI enterprise adoption in the #financialindustry critically depends on the level of #trust and #sustainability. We need #interpretable model designs, new #riskmanagement approaches and #technologies for model #explanation and #validation. 
@FiramisCompany https://t.co/ZV1HxEJeem","2019-11-04 09:44 +0000","2561.0","64.0","0.024990238188207732","5.0","2.0","9.0","17.0","7.0","1.0","10.0","0.0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
