"ID del Tweet","Link permanente del Tweet","Testo del Tweet"," orario","visualizzazioni","interazioni","tasso di interazione","retweet","risposte","Mi piace","clic profilo utente","clic sull'URL","clic sull'hashtag","espansioni dettaglio","clic sui link permanenti","app aperta","installazioni app","follow","Tweet inviati tramite email","chiamata telefonica","visualizzazioni di contenuti multimediali","interazioni con i contenuti multimediali","Promoted visualizzazioni","Promoted interazioni","Promoted tasso di interazione","Promoted retweet","Promoted risposte","Promoted Mi piace","Promoted clic profilo utente","Promoted clic sull'URL","Promoted clic sull'hashtag","Promoted espansioni dettaglio","Promoted clic sui link permanenti","Promoted app aperta","Promoted installazioni app","Promoted follow","Promoted Tweet inviati tramite email","Promoted chiamata telefonica","Promoted visualizzazioni di contenuti multimediali","Promoted interazioni con i contenuti multimediali"
"1132956867490189312","https://twitter.com/fintech_ho2020/status/1132956867490189312","In one month the cant' miss event in Frankfurt.
https://t.co/gbd9zu0P67
#regtech #fintech_ho2020 #riskmanagement #BigData  #fintech","2019-05-27 10:29 +0000","2365.0","12.0","0.00507399577167019","3.0","0.0","2.0","2.0","4.0","1.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1129295212872781825","https://twitter.com/fintech_ho2020/status/1129295212872781825","https://t.co/jzYuJdsEE0 One more productive discussion at the regulator's premises about #fintech #riskmanagment and #bigdata. https://t.co/VFa2sg9eXn","2019-05-17 07:58 +0000","4611.0","25.0","0.005421817393190197","3.0","0.0","4.0","0.0","10.0","1.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1125077776371834881","https://twitter.com/fintech_ho2020/status/1125077776371834881","https://t.co/mKQqJ1tUs8","2019-05-05 16:40 +0000","433.0","5.0","0.011547344110854504","0.0","0.0","1.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
