7 7.19 NA NA NA 6.74 8.09 10.97 8.34 7.33 8.26 16.19 NA NA 8.15 11.66 NA 7.09 NA NA 6.74 NA 11.31 NA 10.22 NA NA
6.88 7.04 NA NA NA 6.59 7.84 10.8 7.98 7.35 8.07 15.72 NA NA 7.96 11.54 NA 6.9 NA NA 6.58 NA 11.14 NA 9.63 NA NA
6.96 7.06 NA NA NA 6.57 7.88 10.89 7.95 7.48 8.24 15.56 NA NA 7.99 11.96 NA 6.84 NA NA 6.59 NA 11.22 NA 9.3 NA NA
6.76 6.8 NA NA NA 6.34 7.57 10.54 7.52 7.03 7.97 15.4 NA NA 7.63 11.63 NA 6.77 NA NA 6.35 NA 10.74 NA 8.99 NA NA
6.47 6.7 NA NA NA 6.07 7.3 9.95 7.38 6.75 7.59 15.35 NA NA 7.38 11.17 NA 6.69 NA NA 6.09 NA 10.03 NA 8.61 NA NA
6.21 6.44 NA NA NA 5.89 7.04 9.46 7.03 6.44 7.55 15.3 NA NA 7.23 10.43 NA 6.42 NA NA 5.87 NA 9.44 NA 8.25 NA NA
6.44 6.64 NA NA NA 6.2 7.41 9.71 7.67 6.59 7.9 15.3 NA NA 7.49 10.52 NA 6.44 NA NA 6.21 NA 9.45 NA 8.77 NA NA
6.55 6.84 NA NA NA 6.44 7.6 9.89 7.71 6.64 8.2 14.9 NA NA 7.82 10.69 NA 6.68 NA NA 6.45 NA 9.46 NA 8.76 NA NA
6.43 6.67 NA NA NA 6.38 7.34 9.33 7.47 6.5 8.21 14.8 NA NA 7.61 10.34 NA 6.58 NA NA 6.35 NA 9.06 NA 8.33 NA NA
6.45 6.69 NA NA NA 6.45 7.39 9.17 7.36 6.46 8.23 14.87 NA NA 7.5 9.7 NA 6.47 NA NA 6.35 NA 8.97 NA 8.43 NA NA
6.63 6.78 NA NA NA 6.56 7.5 9.11 7.21 6.55 8.2 14.95 NA NA 7.62 9.57 NA 6.51 NA NA 6.46 NA 8.88 NA 8.34 NA NA
6.58 6.78 NA NA NA 6.48 7.36 8.78 7.07 6.44 8.06 14.61 NA NA 7.49 9.43 NA 6.53 NA NA 6.41 NA 8.71 NA 8.26 NA NA
6.41 6.62 NA NA NA 6.3 7.26 8.86 7.16 6.34 7.96 14.46 NA NA 7.43 9.48 NA 6.35 NA NA 6.24 NA 8.71 NA 8.1 NA NA
6.3 6.45 NA NA NA 6.23 7.18 8.43 6.92 6.23 7.95 14.23 NA NA 7.21 9.17 NA 6.25 NA NA 6.1 NA 8.32 NA 7.79 NA NA
6.06 6.1 NA NA NA 6.01 6.83 7.76 6.51 5.97 7.64 14 NA NA 6.78 8.23 NA 5.93 NA NA 5.88 NA 7.59 NA 7.19 NA NA
5.95 6 NA NA NA 5.86 6.79 7.34 6.47 5.83 7.69 13.36 NA NA 6.68 7.69 NA 5.89 NA NA 5.76 NA 7.17 NA 7.26 NA NA
5.86 5.9 NA NA NA 5.79 6.63 7 6.34 5.74 7.68 12.42 NA NA 6.61 7.57 NA 5.81 NA NA 5.72 NA 6.95 NA 6.85 NA NA
5.84 5.89 NA NA NA 5.8 6.49 6.83 6.14 5.68 7.66 12.29 NA NA 6.59 7.38 NA 5.72 NA NA 5.66 NA 6.72 NA 6.74 NA NA
5.58 5.65 NA NA NA 5.55 6.25 6.74 5.91 5.46 7.29 10.87 NA NA 6.32 7.36 NA 5.45 NA NA 5.47 NA 6.66 NA 6.68 NA NA
5.71 5.85 NA NA NA 5.71 6.47 7.03 6.12 5.65 7.55 9.45 NA NA 6.62 7.87 NA 5.59 NA NA 5.64 NA 6.87 NA 7.1 NA NA
5.9 6.02 NA NA NA 5.87 6.62 6.95 6.36 5.8 7.74 9.33 NA NA 6.69 7.74 NA 5.7 NA NA 5.79 NA 6.8 NA 7.24 NA NA
5.79 5.9 NA NA NA 5.76 6.44 6.61 6.16 5.69 7.25 8.92 NA NA 6.54 7.32 NA 5.59 NA NA 5.7 NA 6.49 NA 7.01 NA NA
5.78 5.83 NA NA NA 5.72 6.4 6.47 6.09 5.65 7.24 9.15 NA NA 6.49 7.07 NA 5.69 NA NA 5.62 NA 6.41 NA 6.8 NA NA
5.61 5.64 NA NA NA 5.56 6.11 6.21 5.86 5.47 7.13 9.42 NA NA 6.26 6.52 NA 5.57 NA NA 5.49 NA 6.26 NA 6.44 NA NA
5.7 5.75 NA NA NA 5.66 6.24 6.31 5.9 5.58 7.17 9.63 NA NA 6.33 6.66 NA 5.62 NA NA 5.6 NA 6.35 NA 6.53 NA NA
