""	"SYM"	"TradDays"	"nonTradDays"	"AlphaP"	"Sd.P"	"AlphaN"	"Sd.N"
"1"	"007"	1	365	NA	NA	NA	NA
"2"	"1337"	267	99	4.67839524655439	0.230803045104316	3.19253796532367	0.207175364154071
"3"	"1CR"	NA	366	3.18075310041499	0.154202530539703	3.25537323599733	0.175050912278332
"4"	"1ST"	365	1	2.3748787808727	0.101083098330412	3.69567921753958	0.200368258255731
"5"	"1WO"	74	292	1.81221861906689	0.0610500898891572	1.89612339987983	0.0651833859042938
"6"	"2015"	69	297	2.12820924562528	0.0611857370421831	5.46822938467249	0.876291877832835
"7"	"2BACCO"	148	218	1.6281786891464	0.0438739027656666	1.65737959093492	0.0518087696465014
"8"	"2GIVE"	366	NA	2.42777157507343	0.10224484616408	3.06403895830285	0.157841004118826
"9"	"300"	275	91	1.73539964290927	0.055432833783895	2.2747003482462	0.0924764828659576
"10"	"32BIT"	1	365	NA	NA	NA	NA
"11"	"365"	10	356	NA	NA	NA	NA
"12"	"404"	148	218	8.05393006337995	0.400636305744779	2.61700996720941	0.216082046010577
"13"	"42"	364	2	4.32063191271815	0.248891884607319	3.2915862058781	0.167131101218551
"14"	"611"	25	341	NA	NA	NA	NA
"15"	"808"	227	139	2.14403348082001	0.0810983832453567	2.05701714516007	0.0817944424111769
"16"	"888"	134	232	3.65625263051333	0.147569590584074	2.27824472008606	0.197237442380635
"17"	"8BIT"	334	32	1.75090285663146	0.0540511703485513	1.85180677725832	0.0647616700391618
"18"	"ABC"	9	357	NA	NA	NA	NA
"19"	"ABY"	366	NA	3.78794952249199	0.202259116507349	3.9317727797019	0.220990688201102
"20"	"AC"	313	53	2.41330177759361	0.105049893816605	4.40967392248474	0.250684212438273
"21"	"ACC"	331	35	2.08955367682591	0.0816655007642972	3.36506245779581	0.172489907649188
"22"	"ACC*"	291	75	2.55955696969162	0.111682194290803	2.56939262075079	0.120014453273529
"23"	"ACES"	145	221	3.12950742088056	0.120559617335177	4.05670742472117	0.415965193530205
"24"	"ACH"	NA	366	3.23712093920386	0.158188338644547	3.38957101589733	0.185466680020133
"25"	"ACID"	109	257	2.72386209335247	0.095622664144785	3.6474628798329	0.413464237403946
"26"	"ACN"	NA	366	NA	NA	NA	NA
"27"	"ACOIN"	69	297	3.05787692777709	0.110792369457825	2.83902830179674	0.401308876102364
"28"	"ACP"	119	247	2.52290374540514	0.0848681077163684	2.26536262322428	0.1907605929534
"29"	"ADA"	326	40	3.54760942121358	0.182438099977403	7.87215731054709	0.525527004224369
"30"	"ADC"	132	234	7.67497645531066	0.374904028429904	5.42704165968876	0.632434522812681
"31"	"ADCN"	305	61	1.57595833375482	0.0395569807677548	1.511817217363	0.0412434067134677
"32"	"ADL"	113	253	3.35371490003957	0.131576662903565	2.3849189804376	0.204195163591765
"33"	"ADN"	NA	366	17.1788177944548	1.14116582010937	3.26034248925845	0.175967424133113
"34"	"ADST"	365	1	2.95677593326497	0.146256300117466	2.43228108350633	0.104738765996711
"35"	"ADT"	366	NA	2.86274463165363	0.142865991564172	2.27660198286015	0.0911858559185822
"36"	"ADX"	366	NA	3.22887511498391	0.1675325127092	3.56316474783234	0.186442801199747
"37"	"ADZ"	356	10	3.31106064267894	0.170838518553421	3.58782168585363	0.191297283562052
"38"	"AE"	366	NA	4.26357748671406	0.239297111537628	6.49824575835566	0.409815042422771
"39"	"AEC"	139	227	1.74427067679697	0.0574217293541631	1.87041603862202	0.0618577743205425
"40"	"AEON"	366	NA	4.62302083311895	0.258787202365639	3.66455485316484	0.204362028324078
"41"	"AERO"	NA	366	3.21243432637403	0.157230861090895	3.29088625669734	0.176745711895258
"42"	"AGRS"	70	296	3.55683037246408	0.179013932439968	3.80562565702432	0.220430769728096
"43"	"AGS"	NA	366	17.5597041520262	1.17094791003407	3.37893504591401	0.184641168650738
"44"	"AHT"	206	160	1.5247649993486	0.0368312825207702	2.10516036796019	0.0865628407117359
"45"	"AIB"	336	30	2.57159764169161	0.119833196748032	2.84393870674367	0.132387083849766
"46"	"AIR"	328	38	2.37424155539636	0.100764279720667	4.39167128470135	0.252800251664209
"47"	"ALC"	158	208	1.58141106834006	0.0413190854223937	1.56938489673788	0.0439289984922373
"48"	"ALEX"	4	362	NA	NA	NA	NA
"49"	"ALF"	NA	366	17.5409919577885	1.17849688086617	3.24477001824384	0.172674616787988
"50"	"ALIS"	71	295	5.03830992263041	0.220636440551306	5.41175834886934	0.792375190717824
"51"	"ALN"	NA	366	17.3852744198564	1.15572814766858	3.3820716382624	0.185444025530439
"52"	"ALT"	72	294	2.47139257230246	0.0812440636072774	2.23774975685221	0.200789524560822
"53"	"ALTCOM"	298	68	2.82020897844204	0.123849533955989	3.38612853935128	0.194826579403439
"54"	"ALTOCAR"	14	352	2.79986114938298	0.118422169392877	2.3320552533068	0.11464506249523
"55"	"AM"	1	365	NA	NA	NA	NA
"56"	"AMB"	366	NA	3.8996512793096	0.210362813674022	3.76844235815495	0.208679194448334
"57"	"AMBER"	92	274	3.84880692558421	0.155184401645637	4.94191136176261	0.73199456338647
"58"	"AMC"	NA	366	17.8367570732902	1.1905385099714	3.37624711069672	0.184432544417541
"59"	"AMIS"	206	160	1.32170242490559	0.0235883662538893	1.35025751004317	0.0261066534028783
"60"	"AMM"	357	9	3.30200014040071	0.177076933876978	3.45231629371257	0.174720301564305
"61"	"AMP"	366	NA	4.28798290407292	0.231916432640586	3.57418475388606	0.200400011297699
"62"	"AMS"	134	232	8.31790477461224	0.41297325791451	6.95759533148389	0.826169824851155
"63"	"AMX"	NA	366	17.3512504717548	1.15620800894576	3.26462320693186	0.175768849258692
"64"	"AMY"	100	266	1.87728445544948	0.0605383788452095	2.03145531850282	0.0825825179421476
"65"	"ANAL"	193	173	2.0161442289581	0.0729549039512802	2.28989334645311	0.0983534456078188
"66"	"ANC"	NA	366	3.23886183075171	0.158311438266426	3.3761784040927	0.184427211750858
"67"	"AND"	NA	366	NA	NA	NA	NA
"68"	"ANGL"	25	341	2.20460634268091	0.0831257349649448	1.96278874624663	0.0770847922203938
"69"	"ANI"	366	NA	2.73361068334751	0.135372251034329	2.7108054137364	0.120371848861622
"70"	"ANT"	366	NA	3.91677010780693	0.213295354735753	4.362910981187	0.251355768114001
"71"	"ANTI"	87	279	4.19140091336936	0.172068805446302	4.33820471902772	0.711707637438389
"72"	"APC"	313	53	3.13025525374797	0.15413986044028	2.96609631820068	0.14862291175882
"73"	"APEX"	NA	366	17.2294877640138	1.14759808531182	3.27788002426741	0.17679777783311
