""	"SYM"	"TradDays"	"nonTradDays"	"AlphaP"	"Sd.P"	"AlphaN"	"Sd.N"
"74"	"APT"	301	65	4.27855694813371	0.235995693099322	2.39212116679688	0.105841012381722
"75"	"APX"	342	24	6.96168058465873	0.432505767491188	2.78666424379142	0.134674884613641
"76"	"AQUA"	NA	366	3.25434370060999	0.15900914458637	3.43512822385086	0.189574475116582
"77"	"ARB"	109	257	2.80632229018886	0.134262878453315	1.75434032049203	0.0554602033660671
"78"	"ARC"	NA	366	NA	NA	NA	NA
"79"	"ARC*"	134	232	2.55003999556458	0.089641127457988	2.70466603956568	0.208258102866802
"80"	"ARCH"	NA	366	17.7344552862519	1.18330468123718	3.37945779896721	0.184681742156443
"81"	"ARCO"	8	358	NA	NA	NA	NA
"82"	"ARDR"	366	NA	2.98933155868981	0.144321279942379	4.28982415430275	0.247979826047057
"83"	"ARENA"	3	363	3.35871000653323	0.165958256932755	2.87370359950028	0.14631166989909
"84"	"ARG"	337	29	3.20446548201675	0.177640890881038	2.39946431032836	0.0961156034463832
"85"	"ARGUS"	71	295	2.69006947378438	0.0926152366552833	3.5429476560305	0.442670367179826
"86"	"ARI"	363	3	2.98047932061464	0.145215789363793	2.37294157552575	0.102333023067041
"87"	"ARK"	366	NA	5.42117717617635	0.323308495111802	2.77020371641896	0.132311237897142
"88"	"ARM"	169	197	2.61201605993114	0.0912624381666142	2.919144763788	0.261162522989709
"89"	"ARN"	366	NA	2.96869796215701	0.152800595828515	4.03278420065122	0.21445022741559
"90"	"ARPA"	160	206	2.19505390761393	0.0840836995217499	1.89579601106665	0.0699499164665434
"91"	"ART"	352	14	2.92238473523692	0.141336536663611	4.40167243929617	0.252844321157917
"92"	"ARTE"	249	117	1.67062628156109	0.0462776100095137	4.60011039930371	0.288239515867499
"93"	"ASAFE2"	239	127	4.16507025006169	0.297744763413312	5.51526901210815	0.283872530624397
"94"	"ASN"	75	291	8.92982438943205	0.431325584568144	3.09232553512806	0.395412359124212
"95"	"AST"	366	NA	3.27828987082712	0.166605055670403	4.7952560572691	0.283670756318228
"96"	"AST*"	221	145	3.13988301373651	0.150935710218934	3.780541282294	0.216464845246341
"97"	"ASTRO"	270	96	3.00665767481814	0.146350552338266	2.40572659971792	0.105363663255298
"98"	"ATB"	256	110	2.20886639052231	0.0783591695613624	2.50904151640396	0.133381686167658
"99"	"ATCC"	43	323	2.66278979289274	0.109403536259558	2.47151499571169	0.126647846046352
"100"	"ATL"	363	3	3.57795690863243	0.189535161435432	5.05308032028913	0.30126308763405
"101"	"ATM*"	119	247	8.95816205358357	0.449105066477744	7.41411811749141	0.889478144596071
"102"	"ATOM"	118	248	2.38964726104558	0.0780503661324635	2.53032176180732	0.218617394543902
"103"	"ATS"	315	51	4.37107345977884	0.242028969374794	8.80577443873903	0.595184721123246
"104"	"ATT"	1	365	9.33417417058878	0.598358834111543	3.20644383753369	0.168239765371537
"105"	"ATX"	268	98	1.97424527346738	0.0740704965280806	2.10860110694206	0.0797988538074333
"106"	"AUA"	81	285	2.28859753853591	0.0882932484916356	2.05105474896876	0.0849727401628482
"107"	"AUD"	366	NA	4.31759606592141	0.246594973541201	2.90691028155931	0.140198832202342
"108"	"AUR"	120	246	2.76498359924671	0.098054644402595	2.76767566701315	0.272758277066604
"109"	"AURS"	NA	366	NA	NA	NA	NA
"110"	"AV"	254	112	3.10680406434673	0.157031903438405	3.66968921831238	0.195751110934561
"111"	"AVT"	348	18	3.4646732004806	0.174278713346858	5.72223921822861	0.36651684517392
"112"	"AXIOM"	3	363	NA	NA	NA	NA
"113"	"AXR"	NA	366	3.21925670698821	0.156925146670509	3.36731567230116	0.183739330356938
"114"	"B2B"	306	60	3.24966183600735	0.163207623280221	2.53288469490585	0.115545531360934
"115"	"B2X"	366	NA	1.65161989593844	0.0469046264597713	1.66287127901956	0.0503971701052613
"116"	"B3"	270	96	3.57821721071035	0.16306077376982	3.12635937660551	0.197427511762353
"117"	"BAC"	84	282	5.08911252083116	0.221763262803976	2.54851604887401	0.303688982704622
"118"	"BAN"	131	235	1.69627255084074	0.0502491430821561	1.73734324914241	0.0558978474620974
"119"	"BAR"	39	327	2.23710575882171	0.10977538479266	2.72116244793778	0.111332743611047
"120"	"BAS"	313	53	3.62550145715721	0.193554535365396	3.87180201903207	0.212872128419349
"121"	"BASH"	130	236	3.4323145898469	0.135337604054276	3.04186954086271	0.311382185787256
"122"	"BAT"	366	NA	4.20043284041918	0.23530050213054	4.04800395035222	0.226556349403504
"123"	"BAY"	366	NA	4.24250404836007	0.2358574641716	3.78307499900037	0.20918872686326
"124"	"BBCC"	82	284	3.12326339728197	0.115661527246433	6.32798159368928	0.989381343841239
"125"	"BBP"	332	34	3.09088682280755	0.153725056527137	3.60630402579	0.193725052571013
"126"	"BBR"	89	277	3.57726278667376	0.19051674727489	5.2596790590356	0.314884536787887
"127"	"BBT"	92	274	4.08669537197866	0.170694644108127	2.99981982621665	0.320227456714883
"128"	"BC"	NA	366	3.23299222626279	0.158691847418579	3.36812207101371	0.182704584338291
"129"	"BCAP"	NA	366	18.8254753272704	1.26045144817864	3.31075311972029	0.179349224864845
"130"	"BCCOIN"	67	299	2.08299615134536	0.0600738177662438	2.28471687724537	0.200639067681193
"131"	"BCD"	366	NA	1.80031846903257	0.0604983896774897	1.85523690837485	0.0618827708408841
"132"	"BCDN"	339	27	3.45866921423304	0.182248687494592	4.24186343812611	0.238993343452177
"133"	"BCH"	366	NA	5.14123260591746	0.305295718154456	2.46330314954641	0.108467245966932
"134"	"BCN"	366	NA	2.99791116584525	0.146889350277392	5.45472161663252	0.331116850080367
"135"	"BCOIN"	NA	366	3.21207138152783	0.156417067434702	3.35501170326323	0.182784357153233
"136"	"BCPT"	366	NA	3.55767471808021	0.192791985810229	3.29232069904342	0.166302422479158
"137"	"BCR"	NA	366	17.1474914834882	1.14180007271265	3.37060194682568	0.183994394726921
"138"	"BCX"	160	206	2.18619209356792	0.0856060405665052	2.50161273010561	0.113836967290624
"139"	"BCY"	360	6	2.30295235439019	0.096054921953959	2.02227473593117	0.0757760449448886
"140"	"BDL"	9	357	NA	NA	NA	NA
"141"	"BDT"	366	NA	3.93567906808156	0.221285135766517	4.26033014581134	0.236529208830384
"142"	"BELA"	140	226	3.56145743833871	0.171913766991403	3.47891879136845	0.206576565947371
"143"	"BENJI"	101	265	1.88709523250005	0.0480389001562673	2.15057961011924	0.230115922023848
"144"	"BERN"	139	227	4.43022734056853	0.193271415437839	4.3604404122597	0.470555778285013
"145"	"BEST"	104	262	1.82524038313094	0.0459888485656211	2.50510038034168	0.226902419700661
"146"	"BET"	NA	366	17.1943261284055	1.14798534202021	3.2766874048706	0.176175360710672
"147"	"BET*"	364	2	3.66415440172408	0.194822264759773	3.23858712542424	0.167319857572476
"148"	"BFX"	NA	366	NA	NA	NA	NA
"149"	"BHC"	NA	366	3.21929265746354	0.156927688752998	3.37397530071518	0.184256217766394
"150"	"BHC*"	79	287	2.72729008745952	0.0938135200148095	2.77798263447851	0.34217291754355
"151"	"BIC"	NA	366	17.6242830600036	1.17551432840932	3.25887222802846	0.175322486728773
"152"	"BIGUP"	212	154	5.14034271470805	0.249672059784874	4.37690269657637	0.353995589190637
"153"	"BILL"	106	260	3.50350064614301	0.136985460625826	3.52675818688481	0.446671962091218
"154"	"BIO"	333	33	3.43015867826526	0.16459111418751	3.24604901273063	0.184624091565557
"155"	"BIOB"	86	280	5.96227283272016	0.271523488834907	6.26601518724956	0.930908762183877
"156"	"BIOS"	178	188	2.31389338261172	0.092906292060088	2.09547828202616	0.0850256044494476
"157"	"BIPC"	265	101	4.41623446687477	0.240962600395516	3.2113047009324	0.172149837489528
"158"	"BIS"	346	20	2.21191602673956	0.0913516076843962	2.22427084211125	0.0888179419653897
"159"	"BIT"	169	197	3.91194736022106	0.193272734513072	3.04391326418353	0.173362460390652
"160"	"BIT16"	139	227	2.2563879784842	0.0888400459387434	2.77751505496584	0.137961924436266
"161"	"BITB"	366	NA	3.30031546715904	0.166010969273166	2.37904038561961	0.104544781835452
"162"	"BITOK"	318	48	4.88840137049978	0.255286056743591	9.26271614609833	0.713789958815565
"163"	"BITS"	90	276	4.26354035719022	0.179924804143077	6.0417009733516	0.828850534315438
"164"	"BITUSD"	366	NA	2.37793062783209	0.0880327586317577	2.57647591610368	0.143315992373062
"165"	"BITZ"	5	361	NA	NA	NA	NA
"166"	"BKC"	NA	366	3.17915866495387	0.15408978692703	3.28503873739854	0.177353401729121
"167"	"BLAS"	NA	366	17.3512504712208	1.156208008908	3.26443562738489	0.175754290262293
"168"	"BLAZR"	302	64	1.99651280252462	0.0738664433915412	3.10794001917154	0.155399399941921
"169"	"BLC"	33	333	1.88515073664616	0.0467816700777776	1.52385546890514	0.185210877212241
"170"	"BLITZ"	139	227	2.77730683041062	0.117192141920572	2.46275904823537	0.125430553588384
"171"	"BLK"	366	NA	3.29675014473741	0.16489705047207	4.4745989595699	0.264935686906783
"172"	"BLOCK"	366	NA	4.91492578283644	0.278926912948704	2.34943399891059	0.103802615300814
"173"	"BLRY"	141	225	2.35413017176775	0.0915036372281987	2.08199810981079	0.0892416999945605
"174"	"BLU"	244	122	2.97842039753637	0.12341047369277	2.89337245439084	0.181352190452923
"175"	"BLX"	113	253	2.07691565334693	0.076922546667638	2.05250406842077	0.0807233771098145
"176"	"BM"	6	360	NA	NA	NA	NA
"177"	"BMC"	366	NA	3.29876203169424	0.171339605565461	2.05887715744276	0.0776406401504958
"178"	"BNB*"	96	270	2.36400438137316	0.0769752204400866	3.55745159442102	0.354654725315467
"179"	"BNC"	272	94	1.93589036841218	0.0689947533326098	4.58004735795555	0.265370765769893
"180"	"BNT"	366	NA	5.23778822546666	0.307441471057191	3.43859908061902	0.183816321920884
"181"	"BNX"	272	94	3.16749290509033	0.1517548573635	3.25171961360222	0.176911800900987
"182"	"BOAT"	172	194	2.72002849619909	0.12511366319545	3.08402677811676	0.1566450450023
"183"	"BOB"	366	NA	2.33127432045167	0.0989528409440899	2.43607264679947	0.105582160831593
"184"	"BOLI"	10	356	NA	NA	NA	NA
"185"	"BOMB"	118	248	4.08482251153927	0.173534824211853	3.94197617558695	0.41605826076936
"186"	"BON"	152	214	3.22189923829156	0.124402474361796	3.41824424074302	0.352737175615813
"187"	"BOSON"	231	135	2.25878338624113	0.0943498037569245	3.29517404436606	0.167392771233822
"188"	"BOSS"	33	333	9.21332942692785	0.435918264322209	1.75106441492478	0.226454441608483
"189"	"BOST"	14	352	NA	NA	NA	NA
"190"	"BPL"	314	52	3.74263538595194	0.204423972016163	2.06691050754385	0.0782296739586364
"191"	"BQ"	53	313	1.66682618977506	0.0359007152393299	2.44974643369222	0.316360608137471
"192"	"BQC"	NA	366	3.23753166899411	0.158217381626539	3.38957100134184	0.185466678890408
"193"	"BRAIN"	91	275	3.66839949290691	0.144501934088324	3.31782724552352	0.463565449104703
"194"	"BRC"	NA	366	17.3512504717548	1.15620800894576	3.26462320693186	0.175768849258692
"195"	"BRDD"	156	210	3.17633133047303	0.152001573483488	3.11681248682511	0.166828194892374
"196"	"BRIT"	18	348	NA	NA	NA	NA
"197"	"BRK"	366	NA	3.4389242104168	0.181786677548732	10.6879555712152	0.710355367486878
"198"	"BRO"	345	21	3.16838707514797	0.154491182336204	3.59240861690641	0.199416047454339
"199"	"BRONZ"	3	363	NA	NA	NA	NA
"200"	"BRX"	366	NA	3.43383039615532	0.189473439367514	5.51729827329284	0.318625653259272
"201"	"BS"	90	276	3.57680281989486	0.141633892250024	3.21660863611215	0.374675243975631
"202"	"BSC"	67	299	2.2665204324949	0.0850032857321235	1.83350599751511	0.0694588331262594
"203"	"BSD"	366	NA	6.7992248916463	0.433454419477699	3.67621926160946	0.195704534693287
"204"	"BST"	2	364	NA	NA	NA	NA
"205"	"BSTAR"	157	209	5.42478243331685	0.253778677289239	7.43145794815068	0.816795976211521
"206"	"BSTK"	47	319	2.13444638762821	0.0605522685472521	3.95580834023556	0.763186431754221
"207"	"BSTY"	7	359	NA	NA	NA	NA
"208"	"BT1"	1	365	NA	NA	NA	NA
"209"	"BT2"	1	365	NA	NA	NA	NA
"210"	"BTA"	364	2	2.57606722660304	0.117148154362605	3.19188113840039	0.161150306284359
"211"	"BTB"	365	1	2.19771261442357	0.0892722274453369	4.52241557661108	0.258276041108146
"212"	"BTC"	366	NA	17.3355605236124	1.15509856207296	3.38141371692352	0.184833550831447
"213"	"BTCA"	254	112	1.6796582402443	0.0436900864150963	2.00359627554139	0.0901256060907787
"214"	"BTCD"	269	97	2.72466095154513	0.121346721099937	2.18610811420326	0.0926194831008614
"215"	"BTCE"	84	282	1.79511007603378	0.0539755889955948	1.7446927030258	0.061007603329634
"216"	"BTCM"	330	36	3.05934542844815	0.148620454683621	3.37875630510791	0.180333050105329
"217"	"BTCR"	273	93	2.6201568648944	0.118795665059402	2.72023427996903	0.128218692907872
"218"	"BTCRED"	301	65	3.4560966333572	0.158540355961142	3.6976123015027	0.240322404632615
"219"	"BTCRY"	209	157	4.4898689260744	0.207818670288536	2.69053020374872	0.184451967221134
"220"	"BTCS"	122	244	3.60014741567951	0.148398251296413	1.80348632576501	0.10460500973933
"221"	"BTCZ"	349	17	3.82273876521123	0.206419101951364	3.44158696664595	0.182492778087693
"222"	"BTD"	158	208	2.7158474066285	0.0965239578516509	3.16680397331296	0.306432356606309
"223"	"BTDX"	179	187	2.127733817646	0.077271047954174	3.19311445932646	0.177302795389654
"224"	"BTE"	NA	366	3.19919210641791	0.155896595044235	3.35627604650245	0.182334114704728
"225"	"BTG"	366	NA	3.72259723292133	0.202369058581916	5.28820070109293	0.315274785791644
"226"	"BTH"	183	183	3.37469920746708	0.135531242428037	2.57379371155461	0.204890489415764
"227"	"BTLC"	8	358	NA	NA	NA	NA
"228"	"BTM"	366	NA	2.63831261937614	0.11527127364937	2.72618961904041	0.134792763269301
"229"	"BTM*"	366	NA	3.11857549185981	0.155760767962491	6.69597145179532	0.423378223731043
"230"	"BTMI"	NA	366	17.3512504717548	1.15620800894576	3.26462320693186	0.175768849258692
"231"	"BTPL"	NA	366	17.2312136027017	1.14772012053577	3.38448273821332	0.185071753080195
"232"	"BTQ"	274	92	2.77960765620706	0.130137800474974	1.90649769225705	0.0677548186691561
"233"	"BTSE"	10	356	3.29418415199595	0.157565214460155	2.40853631712839	0.113503091000579
"234"	"BTTF"	5	361	NA	NA	NA	NA
"235"	"BTU"	NA	366	17.3565516446643	1.15658285847701	3.38416202253711	0.185046860716125
"236"	"BTX"	366	NA	4.04016221280965	0.224735257486121	4.02003943360759	0.223247738844433
"237"	"BTXC"	116	250	3.07264896227713	0.138176597485142	2.21437338357646	0.102268687787096
"238"	"BTZ"	172	194	2.04742665695219	0.0752008513912525	1.93478063250668	0.071276355015938
"239"	"BUCKS"	78	288	2.142027173923	0.0628665268639444	2.98514323472909	0.330857205788182
"240"	"BUK"	NA	366	20.8391343235279	1.42436683474901	3.52980350111813	0.192895708571466
"241"	"BUN"	50	316	17.3512504717548	1.15620800894576	3.26462320693186	0.175768849258692
"242"	"BURST"	366	NA	4.19949581074235	0.23272907521303	2.41625062012144	0.106451915327083
"243"	"BUZZ"	294	72	7.72567763684051	0.427080957020543	4.31180249405555	0.30487613155199
"244"	"BVC"	62	304	3.82870851785193	0.152292547220926	2.83254138593179	0.399893315008176
"245"	"BWK"	360	6	4.3580779920918	0.239253150565864	3.28692524912314	0.175917326855626
"246"	"BXC"	157	209	2.02900574048733	0.0872791277658495	2.3711335580221	0.0910053305776282
"247"	"BXT"	112	254	3.02801203002903	0.320656856855676	3.11970351593573	0.117399519698204
"248"	"BYC"	293	73	2.69422769656192	0.118619665065215	2.29133258940245	0.101456670081517
"249"	"C2"	61	305	3.25234870743674	0.121615398891334	2.90106005186517	0.396398422801977
"250"	"CAB"	197	169	2.4793764631713	0.0861326277237258	2.52857380471179	0.181408335462754
"251"	"CACH"	270	96	2.86360020764771	0.13345518279595	4.15837385026199	0.241526884898482
"252"	"CAG"	366	NA	2.60311043005488	0.130893418498938	2.51294080909624	0.102942583147759
"253"	"CAID"	6	360	NA	NA	NA	NA
"254"	"CAIX"	NA	366	17.1882353081613	1.14468109618444	3.24715689019023	0.174413200166575
"255"	"CALC"	15	351	NA	NA	NA	NA
"256"	"CAM"	31	335	2.49299857517922	0.129459394902321	3.3198518707848	0.151978549175113
"257"	"CAN"	348	18	2.33179740382851	0.0966187386435755	2.26685362842506	0.0954926852224144
"258"	"CANN"	366	NA	3.92298566873524	0.213749881566488	3.46348365236481	0.184129413219817
"259"	"CAP"	204	162	1.58913824415545	0.0409479385928957	1.88479983700685	0.070169191378144
"260"	"CAPP"	310	56	2.51747527314568	0.112175000005689	3.46507760848438	0.182223780274548
"261"	"CARBON"	305	61	3.56573422419125	0.172981766106697	4.03265507584896	0.250984319887246
"262"	"CASH"	NA	366	3.15883188945381	0.152652466847455	3.38665376112013	0.185240257137238
"263"	"CAT*"	219	147	2.79381079191021	0.111461979201967	2.89856016023521	0.183540738354776
"264"	"CBC"	188	178	2.61706081826212	0.148862514489	4.72219728932893	0.236359764232269
"265"	"CBD"	6	360	NA	NA	NA	NA
"266"	"CBX"	8	358	NA	NA	NA	NA
"267"	"CC"	113	253	3.39623224610021	0.132919049711301	4.5236097640747	0.55029539228297
"268"	"CCC"	188	178	4.78365771315864	0.222568100774038	4.74544690632955	0.426833288544283
"269"	"CCN"	263	103	3.27250346842551	0.156817637704649	2.94494754115221	0.155720429506224
"270"	"CCO"	144	222	1.7454215281846	0.0540785615018634	4.70784198248598	0.279489105405307
"271"	"CCRB"	199	167	2.02072292494931	0.0598358375506277	2.03916415525454	0.119992340953684
"272"	"CCT"	342	24	2.78151762521632	0.130979780757687	2.26876486287104	0.0943065495536132
"273"	"CCX"	86	280	4.24588593491445	0.176032880472032	3.20783304287804	0.432991683399618
"274"	"CDN"	366	NA	3.93521462333872	0.219388241424202	4.13575947668975	0.229309443399854
"275"	"CDT"	366	NA	4.97991862701085	0.291821792335443	4.67298638114138	0.273768240955436
"276"	"CDX"	303	63	2.42181487573419	0.102878913750826	2.6164285979084	0.122190516633098
"277"	"CDY"	35	331	3.12323426148042	0.132962087020327	2.23518992235086	0.117239039107222
"278"	"CEFS"	365	1	3.15535207742149	0.161098577990061	3.41224155658274	0.176400573066247
"279"	"CELL"	NA	366	NA	NA	NA	NA
"280"	"CESC"	23	343	4.12378996739951	0.901760489284979	2.20430774406218	0.0640082344280741
"281"	"CETI"	NA	366	16.8557180857293	1.12116857790014	3.37393110788039	0.184252787737198
"282"	"CF"	113	253	3.5091176382498	0.140926086658473	6.17136571862505	0.738766531232149
"283"	"CFC"	102	264	3.70209112630979	0.148073681590707	2.58157156107254	0.275316270077701
"284"	"CFT"	87	279	2.41513635411808	0.0947645394679241	2.79492589508285	0.150099243831786
"285"	"CGA"	NA	366	17.4735686478018	1.16778031938413	3.25417673775587	0.17443343299135
"286"	"CGT"	NA	366	17.1158846722596	1.13956513365751	3.4380151794452	0.189226676320641
"287"	"CHA"	NA	366	3.19872593439743	0.155473401818315	3.40396871795805	0.186584158422472
"288"	"CHAO"	NA	366	17.3355114859771	1.15509509458852	3.38141222918747	0.184833435360735
"289"	"CHASH"	NA	366	17.6408404885391	1.17668511540896	3.2624502034541	0.17560019147953
"290"	"CHAT"	363	3	2.28070315661852	0.0944146893327927	2.63256059264169	0.121013442370349
"291"	"CHC"	NA	366	NA	NA	NA	NA
"292"	"CHESS"	10	356	NA	NA	NA	NA
"293"	"CHIEF"	NA	366	17.3512504717548	1.15620800894576	3.26462320693186	0.175768849258692
"294"	"CHILD"	NA	366	17.4880360817364	1.16588021218443	3.26456849141008	0.175764602510593
"295"	"CHIP"	56	310	2.63256656836111	0.0880220902527998	2.71732554254637	0.366135035886674
"296"	"CHOOF"	98	268	3.16957092151495	0.120161419850552	4.47990878332734	0.550221890246988
"297"	"CIN"	145	221	1.977648683789	0.0711134777228098	3.23818343716857	0.168232169048947
"298"	"CINNI"	NA	366	3.21761079440694	0.156808763075763	3.40517052637479	0.186677436845917
"299"	"CIR"	NA	366	17.3512504717548	1.15620800894576	3.26462320693186	0.175768849258692
"300"	"CIRC"	5	361	NA	NA	NA	NA
"301"	"CJ"	200	166	3.10780575988537	0.125741149712344	5.05569461212711	0.439901844490695
"302"	"CJC"	88	278	7.94979545387636	0.379707887923604	8.15360151444604	1.28482476058128
"303"	"CKC"	NA	366	17.3848024299772	1.16148784903857	3.33290858325927	0.180525886110432
"304"	"CLAM"	85	281	2.16317702898538	0.0820441817862271	2.04463272048318	0.0813245469932731
"305"	"CLD"	279	87	1.56973558501926	0.0379823723346171	1.48023037821024	0.0404426935564256
"306"	"CLICK"	95	271	2.94168495312759	0.366943965029409	2.77437577935282	0.0965133189195036
"307"	"CLINT"	77	289	2.8838211153581	0.102014632879848	2.42904082966875	0.285808165933751
"308"	"CLOAK"	366	NA	3.96747787746635	0.215852253914229	3.90609822437528	0.218435718733776
"309"	"CLR"	NA	366	17.7909011031494	1.18729600322696	3.3758369410819	0.184400709081324
"310"	"CLUB"	247	119	2.85543036725446	0.114848256503763	3.61734249697447	0.255426473372868
