Date,CRIX
04/15/2018,23117.80423
04/16/2018,24411.88024
04/17/2018,23830.16875
04/18/2018,23530.92459
04/19/2018,24779.08693
04/20/2018,26061.92158
04/21/2018,27597.5128
04/22/2018,28026.61972
04/23/2018,28062.72042
04/24/2018,28951.205
04/25/2018,31671.65866
04/26/2018,28205.37682
04/27/2018,29977.15552
04/28/2018,29147.5142
04/29/2018,30639.1297
04/30/2018,31331.35692
05/01/2018,30253.64684
05/02/2018,30191.75528
05/03/2018,30722.88554
05/04/2018,32510.02033
05/05/2018,32491.57092
05/06/2018,33430.97631
05/07/2018,32750.57607
05/08/2018,31565.56798
05/09/2018,31027.32244
05/10/2018,31102.09306
05/11/2018,29828.90734
05/12/2018,27634.15668
05/13/2018,28148.73795
05/14/2018,29243.11465
05/15/2018,29115.71744
05/16/2018,27983.7833
05/17/2018,27690.04233
05/18/2018,26429.30847
05/19/2018,27044.56321
05/20/2018,26892.88316
05/21/2018,27934.04266
05/22/2018,27440.87567
05/23/2018,25891.09714
05/24/2018,23995.07506
05/25/2018,24609.51746
05/26/2018,24066.49875
05/27/2018,23795.06782
05/28/2018,23590.06629
05/29/2018,22109.11795
05/30/2018,23686.37178
05/31/2018,23494.87395
06/01/2018,23939.0156
06/02/2018,24106.17392
06/03/2018,24731.1309
06/04/2018,25325.67832
06/05/2018,24493.39897
06/06/2018,24998.55928
06/07/2018,24957.96713
06/08/2018,24958.91739
06/09/2018,24714.61062
06/10/2018,24224.50338
06/11/2018,21757.76606
06/12/2018,22163.66605
06/13/2018,20841.71742
06/14/2018,20003.55753
06/15/2018,21256.30235
06/16/2018,20281.32228
06/17/2018,20490.38231
06/18/2018,20305.87702
06/19/2018,21134.4935
06/20/2018,21450.24732
06/21/2018,21321.10834
06/22/2018,21149.42438
06/23/2018,19016.68159
06/24/2018,19236.5515
06/25/2018,18858.89815
06/26/2018,19117.31872
06/27/2018,18228.69407
06/28/2018,18541.36339
06/29/2018,17714.35831
06/30/2018,18483.00886
07/01/2018,19112.83607
07/02/2018,18985.64819
07/03/2018,20023.71424
07/04/2018,19672.02393
07/05/2018,19886.29039
07/06/2018,19752.80234
07/07/2018,19789.17462
07/08/2018,20270.65502
07/09/2018,20111.70291
07/10/2018,19712.33827
07/11/2018,18513.14303
07/12/2018,18798.72259
07/13/2018,18278.50638
07/14/2018,18453.04859
07/15/2018,18489.57333
07/16/2018,18938.15797
07/17/2018,20293.19577
07/18/2018,21602.36098
07/19/2018,21362.00122
07/20/2018,21373.8021
07/21/2018,20596.57879
07/22/2018,20934.1194
07/23/2018,20890.96163
07/24/2018,21237.08262
07/25/2018,22831.83629
07/26/2018,22322.25324
07/27/2018,21774.81724
07/28/2018,22222.07994
07/29/2018,22284.0277
07/30/2018,22294.20274
07/31/2018,22028.87432
08/01/2018,20869.60012
08/02/2018,20549.67333
08/03/2018,20165.15865
08/04/2018,20085.63202
08/05/2018,19189.28253
08/06/2018,19356.84451
08/07/2018,19023.26395
08/08/2018,18144.30801
08/09/2018,16714.54837
08/10/2018,17390.08309
08/11/2018,16289.25141
08/12/2018,16038.80728
08/13/2018,16251.41589
08/14/2018,15653.08681
08/15/2018,15362.86834
08/16/2018,15524.88732
08/17/2018,15697.19747
08/18/2018,16967.81322
08/19/2018,16163.36842
08/20/2018,16490.42022
08/21/2018,15590.52386
08/22/2018,16155.20331
08/23/2018,15694.29401
08/24/2018,16149.06637
08/25/2018,16487.33695
08/26/2018,16548.53651
08/27/2018,16396.71376
08/28/2018,17061.22576
08/29/2018,17667.36745
08/30/2018,17460.66265
08/31/2018,17305.06928
09/01/2018,17365.23616
09/02/2018,18033.71848
09/03/2018,18148.82
09/04/2018,17966.99808
09/05/2018,18108.51437
09/06/2018,16071.19151
09/07/2018,15703.78812
09/08/2018,15310.5933
09/09/2018,14633.34072
09/10/2018,14813.7792
09/11/2018,14811.99627
09/12/2018,14590.48596
09/13/2018,14640.07858
09/14/2018,15344.5202
09/15/2018,15305.56352
09/16/2018,15492.95958
09/17/2018,15424.56382
09/18/2018,14609.68244
09/19/2018,15159.08314
09/20/2018,15220.42365
09/21/2018,16144.94289
09/22/2018,17374.73891
09/23/2018,17260.44804
09/24/2018,17339.02752
09/25/2018,16555.7978
09/26/2018,16294.42558
09/27/2018,16336.60608
09/28/2018,17113.91757
09/29/2018,16870.58894
09/30/2018,17014.01727
10/01/2018,17078.00422
10/02/2018,17021.94979
10/03/2018,16602.03577
10/04/2018,16517.41659
10/05/2018,16666.46013
10/06/2018,16790.72163
10/07/2018,16569.25475
10/08/2018,16598.97089
10/09/2018,16827.4432
10/10/2018,16705.30468
10/11/2018,16525.9355
10/12/2018,15050.19052
10/13/2018,15355.43717
10/14/2018,15470.59004
10/15/2018,15342.49212
10/16/2018,16276.02719
10/17/2018,16328.89946
10/18/2018,16341.44968
10/19/2018,15988.94526
10/20/2018,15931.05862
10/21/2018,16076.34793
10/22/2018,16053.00353
10/23/2018,15994.74901
10/24/2018,15882.57172
10/25/2018,15896.50079
10/26/2018,15860.77897
10/27/2018,15883.98635
10/28/2018,15820.11374
10/29/2018,15910.01881
10/30/2018,15336.0317
10/31/2018,15461.70751
11/01/2018,15574.38297
11/02/2018,15641.64182
11/03/2018,15641.64182
11/04/2018,15761.36497
11/05/2018,15935.27961
11/06/2018,16197.19771
11/07/2018,16751.1112
11/08/2018,16788.87427
11/09/2018,16405.77035
11/10/2018,16203.74618
11/11/2018,16240.42649
11/12/2018,16237.48902
11/13/2018,16213.38144
11/14/2018,16074.78232
11/15/2018,14504.2448
11/16/2018,14332.57452
11/17/2018,14027.91541
11/18/2018,14088.18689
11/19/2018,14136.47307
11/20/2018,13407.03227
11/21/2018,11028.63065
11/22/2018,11580.68346
11/23/2018,10842.0089
11/24/2018,10792.11731
11/25/2018,9682.293882
11/26/2018,9962.750187
11/27/2018,9460.132623
11/28/2018,9473.017754
11/29/2018,10463.50468
11/30/2018,10350.59819
12/01/2018,10350.59819
12/02/2018,10190.15365
12/03/2018,10003.56528
12/04/2018,9417.657124
12/05/2018,9513.722081
12/06/2018,9027.140252
12/07/2018,8211.87305
12/08/2018,8119.73085
12/09/2018,8124.584181
12/10/2018,8420.090968
12/11/2018,8119.354787
12/12/2018,7985.814608
12/13/2018,8130.098071
12/14/2018,7802.583183
12/15/2018,7598.883357
12/16/2018,7597.583542
12/17/2018,7633.569783
12/18/2018,8422.180602
12/19/2018,8858.823248
12/20/2018,8931.576968
12/21/2018,9868.119243
12/22/2018,9446.646827
12/23/2018,9690.662688
12/24/2018,9890.979202
12/25/2018,10268.36612
12/26/2018,9484.603738
12/27/2018,9585.082085
12/28/2018,8907.677913
12/29/2018,9726.786908
12/30/2018,9728.17573
12/31/2018,9651.907881
01/01/2019,9401.674578
01/02/2019,9707.099083
01/03/2019,10069.57668
01/04/2019,9735.195988
01/05/2019,9884.122463
01/06/2019,9833.276351
01/07/2019,10318.21741
01/08/2019,10198.60787
01/09/2019,10204.74677
01/10/2019,10280.70146
01/11/2019,9205.821717
01/12/2019,9136.557934
01/13/2019,9108.736653
01/14/2019,8731.71918
01/15/2019,9247.245035
01/16/2019,8982.009375
01/17/2019,9107.649033
01/18/2019,9149.210868
01/19/2019,9055.223018
01/20/2019,9247.065152
01/21/2019,8911.628594
01/22/2019,8892.60229
01/23/2019,8999.530967
01/24/2019,8948.408964
01/25/2019,8980.575927
01/26/2019,8964.320481
01/27/2019,8967.97257
01/28/2019,8889.918031
01/29/2019,8488.340942
01/30/2019,8427.141896
01/31/2019,8672.283768
02/01/2019,8726.195976
02/02/2019,8785.661176
02/03/2019,8858.248441
02/04/2019,8766.779005
02/05/2019,8784.920991
02/06/2019,8793.127435
02/07/2019,8607.288523
02/08/2019,8612.979153
02/09/2019,9331.149128
02/10/2019,9407.476359
02/11/2019,9464.571812
02/12/2019,9326.06602
02/13/2019,9365.615993
02/14/2019,9288.950522
02/15/2019,9221.470286
02/16/2019,9259.721608
02/17/2019,9312.820816
02/18/2019,9531.346823
02/19/2019,10157.48788
02/20/2019,10231.64758
02/21/2019,10489.34327
02/22/2019,10282.06551
02/23/2019,10419.76865
02/24/2019,10846.13902
02/25/2019,9794.542792
02/26/2019,10031.69096
02/27/2019,9942.999594
02/28/2019,9949.724474
03/01/2019,9948.993565
03/02/2019,9980.02694
03/03/2019,9950.494211
03/04/2019,9895.53097
03/05/2019,9611.843285
03/06/2019,10075.29815
03/07/2019,10117.88343
03/08/2019,10136.68205
03/09/2019,10058.41117
03/10/2019,10291.95744
03/11/2019,10263.97973
03/12/2019,10099.35046
03/13/2019,10177.32239
03/14/2019,10143.67396
03/15/2019,10186.29674
03/16/2019,10365.10845
03/17/2019,10603.62021
03/18/2019,10510.44648
03/19/2019,10518.16491
03/20/2019,10583.17916
03/21/2019,10670.79362
03/22/2019,10476.66685
03/23/2019,10541.63881
03/24/2019,10609.16279
03/25/2019,10558.90173
03/26/2019,10478.84798
03/27/2019,10381.57622
03/28/2019,10708.37849
03/29/2019,10650.43764
03/30/2019,10862.01323
03/31/2019,10851.86011
04/01/2019,10881.37184
04/02/2019,10992.27916
04/03/2019,12891.13607
04/04/2019,13086.99518
04/05/2019,12849.75134
04/06/2019,13302.0045
04/07/2019,13343.78718
04/08/2019,13683.22132
04/09/2019,13834.15546
04/10/2019,13549.16019
04/11/2019,13870.00893
04/12/2019,13029.69487
04/13/2019,13082.55523
04/14/2019,13038.26246
04/15/2019,13285.33415
04/16/2019,13005.74736
04/17/2019,13372.83293
04/18/2019,13398.51861
04/19/2019,13624.44868
04/20/2019,13622.82947
04/21/2019,13646.30023
04/22/2019,13490.48333
04/23/2019,13620.35314
04/24/2019,13805.95348
04/25/2019,13420.76709
04/26/2019,12789.30594
04/27/2019,12990.18406
04/28/2019,12993.82856
04/29/2019,12914.11242
04/30/2019,12697.66845
05/01/2019,13078.71448
05/02/2019,13148.53608
05/03/2019,13341.17923
05/04/2019,13959.22651
05/05/2019,14042.01081
05/06/2019,13938.18693
05/07/2019,13978.60456
05/08/2019,14233.23943
05/09/2019,14345.19815
05/10/2019,14736.91456
05/11/2019,15098.88736
05/12/2019,17372.57519
05/13/2019,16452.65694
05/14/2019,18191.48358
05/15/2019,19150.48537
05/16/2019,20059.18375
05/17/2019,19548.54702
05/18/2019,18195.33575
05/19/2019,17937.70485
05/20/2019,20046.58763
05/21/2019,19490.56665
05/22/2019,19546.03433
05/23/2019,18751.84508
05/24/2019,19155.51477
05/25/2019,19430.51035
05/26/2019,19552.92302
05/27/2019,20926.80014
05/28/2019,21627.6838
05/29/2019,21468.08164
05/30/2019,21296.08324
05/31/2019,20411.03971
06/01/2019,21216.44416
06/02/2019,21006.0375
06/03/2019,21464.35178
06/04/2019,20046.20067
06/05/2019,18833.22632
06/06/2019,19218.15506
06/07/2019,19352.68553
06/08/2019,19797.28438
06/09/2019,19462.16192
06/10/2019,18693.13459
06/11/2019,19535.38162
06/12/2019,19300.31874
06/13/2019,19912.40485
06/14/2019,20064.23114
06/15/2019,21043.52451
06/16/2019,21342.03181
06/17/2019,21801.91548
06/18/2019,22461.91551
06/19/2019,21866.43597
06/20/2019,22264.72131
06/21/2019,22784.03749
06/22/2019,24087.91695
06/23/2019,25544.29664
06/24/2019,25725.58895
06/25/2019,26082.78437
06/26/2019,27490.28948
06/27/2019,29733.37623
06/28/2019,25680.53603
06/29/2019,27994.56919
06/30/2019,27518.49589
07/01/2019,25046.03938
07/02/2019,24707.19579
07/03/2019,24831.27307
07/04/2019,27150.48929
07/05/2019,25536.65617
07/06/2019,25081.42881
07/07/2019,25709.71089
07/08/2019,26133.46473
07/09/2019,27676.26957
07/10/2019,28076.04157
07/11/2019,27057.52619
07/12/2019,25139.58154
07/13/2019,26077.62005
07/14/2019,25232.66094
07/15/2019,22562.26831
07/16/2019,23879.33288
07/17/2019,20920.61043
07/18/2019,21370.30038
07/19/2019,23440.38569
07/20/2019,23110.41859
07/21/2019,23585.12824
07/22/2019,23402.79934
07/23/2019,22771.2515
07/24/2019,21893.20631
07/25/2019,21809.98197
07/26/2019,21945.37934
07/27/2019,21928.82076
07/28/2019,20974.62421
07/29/2019,21242.05403
07/30/2019,21104.58368
07/31/2019,21304.01135
08/01/2019,22332.8373
08/02/2019,22832.58044
08/03/2019,23098.94471
08/04/2019,23611.45404
08/05/2019,23910.33521
08/06/2019,25562.22348
08/07/2019,24800.59045
08/08/2019,25663.18312
08/09/2019,25648.41
08/10/2019,25181.40051
08/11/2019,24271.33536
08/12/2019,24821.94405
08/13/2019,24435.16575
08/14/2019,23580.00978
08/15/2019,21490.98127
08/16/2019,22041.17695
08/17/2019,22060.5337
08/18/2019,21902.40136
08/19/2019,22243.73979
08/20/2019,23385.2162
08/21/2019,22985.3482
08/22/2019,21736.65506
08/23/2019,21846.98356
08/24/2019,22558.72186
08/25/2019,21861.29594
08/26/2019,21687.82671
08/27/2019,22144.30528
08/28/2019,21837.1037
08/29/2019,20822.26561
08/30/2019,20313.09074
08/31/2019,20495.62411
09/01/2019,20574.10355
09/02/2019,20776.02017
09/03/2019,21885.41477
09/04/2019,22523.09015
09/05/2019,22338.72568
09/06/2019,22309.264
09/07/2019,21856.88969
09/08/2019,22213.41378
09/09/2019,22148.43449
09/10/2019,22032.57832
09/11/2019,21645.99546
09/12/2019,21667.97416
09/13/2019,22133.64843
09/14/2019,22067.48849
09/15/2019,22181.36162
09/16/2019,22099.81947
09/17/2019,22139.56206
09/18/2019,22304.40534
09/19/2019,22373.1927
09/20/2019,22588.03674
09/21/2019,22376.27452
09/22/2019,22013.37835
09/23/2019,21990.12407
09/24/2019,21162.77624
09/25/2019,19010.19177
09/26/2019,18423.36034
09/27/2019,17704.69918
09/28/2019,17936.88323
09/29/2019,17996.86945
09/30/2019,17661.43874
10/01/2019,18229.06138
10/02/2019,18393.66722
10/03/2019,18393.66722
10/04/2019,18019.21558
10/05/2019,17969.50322
10/06/2019,17950.61398
10/07/2019,17443.62811
10/08/2019,18187.41752
10/09/2019,18194.793
10/10/2019,19063.3142
10/11/2019,18954.66443
10/12/2019,18278.61698
10/13/2019,18378.05915
10/14/2019,18405.55433
10/15/2019,18580.64416
10/16/2019,18217.89462
10/17/2019,17824.92496
10/18/2019,18063.88698
10/19/2019,17758.03495
10/20/2019,17714.53165
10/21/2019,18258.20704
10/22/2019,18274.46198
10/23/2019,17907.07326
