"Date","Price","Open","High","Low","Change %"
"Dec 18, 2019","18.9535","18.9198","18.9930","18.9147","0.17%"
"Dec 17, 2019","18.9215","18.9393","18.9648","18.9025","-0.06%"
"Dec 16, 2019","18.9327","19.0385","19.0888","18.9286","-0.40%"
"Dec 13, 2019","19.0084","19.0555","19.0933","18.9766","-0.27%"
"Dec 12, 2019","19.0600","19.1234","19.1451","19.0450","-0.31%"
"Dec 11, 2019","19.1195","19.2630","19.2878","19.1060","-0.72%"
"Dec 10, 2019","19.2584","19.2360","19.2727","19.1990","0.12%"
"Dec 09, 2019","19.2360","19.2955","19.3147","19.2155","-0.38%"
"Dec 06, 2019","19.3100","19.3780","19.4010","19.2880","-0.34%"
"Dec 05, 2019","19.3765","19.4330","19.4835","19.3445","-0.29%"
"Dec 04, 2019","19.4330","19.5557","19.5895","19.4330","-0.63%"
"Dec 03, 2019","19.5555","19.5865","19.6355","19.5407","-0.11%"
"Dec 02, 2019","19.5775","19.5200","19.6145","19.5200","0.05%"
"Nov 29, 2019","19.5670","19.4710","19.5870","19.4276","0.49%"
"Nov 28, 2019","19.4710","19.5125","19.6596","19.4591","-0.24%"
"Nov 27, 2019","19.5169","19.5200","19.5987","19.4675","-0.02%"
"Nov 26, 2019","19.5202","19.4441","19.5964","19.4100","0.39%"
"Nov 25, 2019","19.4441","19.3690","19.4868","19.3146","0.33%"
"Nov 22, 2019","19.3810","19.3869","19.4430","19.3489","-0.02%"
"Nov 21, 2019","19.3858","19.4652","19.5022","19.3570","-0.41%"
"Nov 20, 2019","19.4660","19.3450","19.5590","19.3450","0.63%"
"Nov 19, 2019","19.3440","19.3196","19.4180","19.2469","0.13%"
"Nov 18, 2019","19.3183","19.1921","19.3301","19.1797","0.72%"
"Nov 15, 2019","19.1808","19.3198","19.3297","19.1735","-0.72%"
"Nov 14, 2019","19.3197","19.3596","19.4918","19.3139","-0.19%"
"Nov 13, 2019","19.3574","19.3168","19.5375","19.3026","0.22%"
"Nov 12, 2019","19.3143","19.1180","19.3775","19.1125","1.04%"
"Nov 11, 2019","19.1155","19.1015","19.1721","19.0885","0.05%"
"Nov 08, 2019","19.1053","19.1401","19.2137","19.0831","-0.17%"
"Nov 07, 2019","19.1380","19.1445","19.1890","19.0910","-0.05%"
"Nov 06, 2019","19.1485","19.2095","19.2675","19.1395","-0.29%"
"Nov 05, 2019","19.2050","19.1800","19.2540","19.0960","0.16%"
"Nov 04, 2019","19.1735","19.1041","19.2165","19.0435","0.32%"
"Nov 01, 2019","19.1117","19.2355","19.2468","19.0715","-0.64%"
"Oct 31, 2019","19.2345","19.0890","19.2520","19.0683","0.80%"
"Oct 30, 2019","19.0811","19.1105","19.2339","19.0735","-0.22%"
"Oct 29, 2019","19.1225","19.1285","19.1605","19.0755","0.01%"
"Oct 28, 2019","19.1200","19.0500","19.1350","19.0110","0.30%"
"Oct 25, 2019","19.0631","19.1421","19.1441","19.0315","-0.39%"
"Oct 24, 2019","19.1370","19.1220","19.1712","19.0620","0.12%"
"Oct 23, 2019","19.1150","19.1494","19.1950","19.1010","-0.17%"
"Oct 22, 2019","19.1474","19.1200","19.1614","19.0743","0.12%"
"Oct 21, 2019","19.1237","19.1090","19.1790","19.1052","0.07%"
"Oct 18, 2019","19.1104","19.1996","19.2227","19.1066","-0.46%"
"Oct 17, 2019","19.1980","19.2020","19.2561","19.1280","-0.02%"
"Oct 16, 2019","19.2020","19.2360","19.2875","19.1585","-0.20%"
"Oct 15, 2019","19.2405","19.2640","19.2926","19.2160","-0.16%"
"Oct 14, 2019","19.2715","19.3240","19.3521","19.2501","-0.27%"
"Oct 11, 2019","19.3245","19.4465","19.4630","19.2675","-0.64%"
"Oct 10, 2019","19.4492","19.5712","19.6446","19.4408","-0.62%"
"Oct 09, 2019","19.5700","19.6290","19.6348","19.4935","-0.29%"
"Oct 08, 2019","19.6265","19.5695","19.6405","19.5055","0.27%"
"Oct 07, 2019","19.5740","19.5180","19.6007","19.5180","0.30%"
"Oct 04, 2019","19.5152","19.6538","19.6572","19.4941","-0.70%"
"Oct 03, 2019","19.6537","19.7975","19.8287","19.6517","-0.71%"
"Oct 02, 2019","19.7937","19.8180","19.8613","19.7412","-0.15%"
"Oct 01, 2019","19.8225","19.7325","19.8475","19.7215","0.46%"
"Sep 30, 2019","19.7325","19.6925","19.7650","19.6787","0.21%"
"Sep 27, 2019","19.6917","19.6702","19.7390","19.5950","0.10%"
"Sep 26, 2019","19.6722","19.5737","19.6842","19.5312","0.52%"
"Sep 25, 2019","19.5714","19.4454","19.6233","19.4398","0.65%"
"Sep 24, 2019","19.4443","19.4730","19.5054","19.4030","-0.17%"
"Sep 23, 2019","19.4765","19.4480","19.5185","19.3876","0.11%"
"Sep 20, 2019","19.4543","19.4582","19.4999","19.4007","-0.01%"
"Sep 19, 2019","19.4557","19.4020","19.4660","19.3213","0.30%"
"Sep 18, 2019","19.3975","19.3591","19.4405","19.3206","0.18%"
"Sep 17, 2019","19.3627","19.4405","19.5505","19.3415","-0.40%"
"Sep 16, 2019","19.4405","19.4155","19.4682","19.3942","0.18%"
"Sep 13, 2019","19.4058","19.4395","19.4654","19.3485","-0.16%"
"Sep 12, 2019","19.4370","19.5094","19.5476","19.4025","-0.37%"
"Sep 11, 2019","19.5090","19.4990","19.5781","19.4723","0.06%"
