"","clusters","symb_assets"
"138","2","SKY"
"139","5","SMART"
"140","7","SNM"
"141","7","XSPEC"
"142","7","SNT"
"143","2","STEEM"
"144","7","SBD"
"145","5","XLM"
"146","7","STORJ"
"147","7","STRAT"
"148","7","SUB"
"149","7","SNC"
"150","5","SYS"
"151","2","PAY"
"152","3","USDT"
"153","7","XTZ"
"154","2","TNT"
"155","7","TRX"
"156","7","UBQ"
"157","5","XVG"
"158","7","VTC"
"159","7","VIA"
"160","7","VIBE"
"161","2","WGR"
"162","7","WTC"
"163","7","WAVES"
"164","7","XWC"
"165","7","WINGS"
"166","7","XRP"
"167","2","YOYOW"
"168","2","ZEC"
"169","5","XZC"
"170","2","ZRC"
"171","8","AUD"
"172","1","CAD"
"173","8","CHF"
"174","8","CNY"
"175","8","DKK"
"176","8","EUR"
"177","8","GBP"
"178","8","HKD"
"179","8","INR"
"180","8","JPY"
"181","8","NOK"
"182","8","NZD"
"183","1","SEK"
"184","8","MMM"
"185","4","AOS"
"186","6","ABT"
"187","1","ABBV"
"188","6","ABMD"
"189","8","ACN"
"190","9","ATVI"
"191","8","ADBE"
"192","6","AAP"
"193","9","AMD"
"194","9","AES"
"195","10","AMG"
"196","10","AFL"
"197","6","A"
"198","3","APD"
"199","9","AKAM"
"200","6","ALK"
"201","8","ALB"
"202","8","ARE"
"203","8","ALXN"
"204","6","ALGN"
"205","9","ALLE"
"206","1","AGN"
"207","8","ADS"
"208","9","LNT"
"209","8","ALL"
"210","1","GOOG"
"211","10","GOOGL"
"212","9","MO"
"213","10","AMZN"
"214","9","AMCR"
"215","10","AEE"
"216","4","AAL"
"217","10","AEP"
"218","8","AXP"
"219","4","AIG"
"220","3","AMT"
"221","9","AWK"
"222","8","AMP"
"223","6","ABC"
"224","8","AME"
"225","3","AMGN"
"226","9","APH"
"227","8","ADI"
"228","8","ANSS"
"229","8","ANTM"
"230","9","AON"
"231","1","APA"
"232","8","AIV"
"233","8","AAPL"
"234","9","AMAT"
"235","8","APTV"
"236","4","ADM"
"237","8","ARNC"
"238","8","ANET"
"239","9","AJG"
"240","1","AIZ"
"241","9","T"
"242","4","ATO"
"243","9","ADSK"
"244","4","ADP"
"245","10","AZO"
"246","6","AVB"
"247","9","AVY"
"248","1","BHGE"
"249","8","BLL"
"250","9","BAC"
"251","3","BAX"
"252","4","BBT"
"253","1","BDX"
"254","4","BRK-B"
"255","4","BBY"
"256","3","BIIB"
"257","8","BLK"
"258","9","HRB"
"259","10","BA"
"260","10","BKNG"
"261","9","BWA"
"262","10","BXP"
"263","9","BSX"
"264","8","BMY"
"265","8","AVGO"
"266","9","BR"
"267","9","BF-B"
"268","1","CHRW"
"269","6","COG"
"270","1","CDNS"
"271","6","CPB"
"272","3","COF"
"273","1","CPRI"
"274","3","CAH"
"275","1","KMX"
"276","4","CCL"
"277","3","CAT"
"278","4","CBOE"
"279","4","CBRE"
"280","1","CBS"
"281","6","CDW"
"282","4","CE"
"283","8","CELG"
"284","9","CNC"
"285","4","CNP"
"286","8","CTL"
"287","10","CERN"
"288","6","CF"
"289","4","SCHW"
"290","10","CHTR"
"291","4","CVX"
"292","10","CMG"
"293","9","CB"
"294","9","CHD"
"295","3","CI"
"296","8","XEC"
"297","1","CINF"
"298","6","CTAS"
"299","9","CSCO"
"300","8","C"
"301","4","CFG"
"302","3","CTXS"
"303","4","CME"
"304","4","CMS"
"305","4","KO"
"306","1","CTSH"
"307","8","CL"
"308","4","CMCSA"
"309","8","CMA"
"310","4","CAG"
