asset_unique,symb_assets,type_assets,Variance,Skewness,Kurtosis,Stable_alpha,Stable_gamma,Q_5,Q_2_5,Q_1,Q_0_5,CTE_5,CTE_2_5,CTE_1,CTE_0_5,Q_95,Q_97_5,Q_99,Q_99_5,CTE_95,CTE_97_5,CTE_99,CTE_99_5,GARCH_parameter,ARCH_parameter
CAFENATL_INDEX_CAFEN,CAFEN,Commodity,0.000389098,0.546664223,6.917336193,1.33986644,0.00841462,-0.031135794,-0.039832899,-0.053602042,-0.059576034,-0.043499521,-0.05225321,-0.061279548,-0.065587789,0.031947395,0.045720947,0.058922474,0.07777115,0.050383244,0.063051943,0.081342224,0.094539687,0.947428511,0.04275536
CKEL_COMDTY_CKEL_,CKEL_,Commodity,0.000295512,-0.259310629,6.904365457,1.709982501,0.00968664,-0.027386193,-0.0362162,-0.044569734,-0.048914302,-0.039544228,-0.047928289,-0.059892697,-0.074293166,0.028527312,0.033349891,0.042334501,0.049894455,0.037940619,0.044982197,0.055716767,0.065633626,0.907831463,0.092168337
COTNMAVG_INDEX_COTNM,COTNM,Commodity,0.000151405,0.076012175,4.615971147,1.704291182,0.006992431,-0.020243798,-0.025956498,-0.032814706,-0.041088405,-0.02797939,-0.033135668,-0.039955014,-0.045003036,0.020631931,0.026104866,0.035079426,0.038206718,0.028646287,0.034292787,0.039424209,0.042181976,0.003266504,0.103273143
DIEINULP_INDEX_DIEIN,DIEIN,Commodity,0.000378862,-0.037011457,6.228969677,1.61738716,0.010136312,-0.033468208,-0.041308687,-0.054434955,-0.071402972,-0.046365076,-0.055853397,-0.07003567,-0.08068539,0.028249175,0.04155588,0.058118227,0.061986881,0.045619386,0.056365672,0.068714732,0.07904927,0.923110074,0.068687784
EUCRBRDT_INDEX_EUCRB,EUCRB,Commodity,0.000427027,0.102511897,5.398209053,1.674030827,0.011390777,-0.034349084,-0.044718367,-0.057083519,-0.068236195,-0.047604364,-0.056955816,-0.068986375,-0.077039045,0.033243352,0.044337924,0.056027352,0.067506552,0.048325203,0.058226297,0.072387909,0.087250398,0.920425415,0.077389534
HOGSNATL_INDEX_HOGSN,HOGSN,Commodity,0.00027289,0.264475729,16.02306955,1.748585103,0.009082089,-0.022127376,-0.026351392,-0.031058944,-0.038068616,-0.030986928,-0.037900475,-0.052504185,-0.073142487,0.026851468,0.035610398,0.048655742,0.057364713,0.040198707,0.050077255,0.065429695,0.080538746,0.203023745,0.37190437
LMAHDY_COMDTY_LMAHD,LMAHD,Commodity,0.000128695,0.23182135,6.029066378,1.899201604,0.007296188,-0.017419773,-0.021119159,-0.025182536,-0.030073251,-0.022835139,-0.026802216,-0.032726777,-0.038961019,0.018272465,0.023015043,0.029449807,0.035243029,0.025993833,0.031523163,0.040063961,0.049032681,0.744076497,0.103851733
LMCADY_COMDTY_LMCAD,LMCAD,Commodity,0.000136596,0.086909491,4.52124601,1.756526306,0.006911203,-0.018820684,-0.024728495,-0.02973486,-0.035903454,-0.025902596,-0.030710638,-0.036604739,-0.042445578,0.019767605,0.025014568,0.032440138,0.034804939,0.026961759,0.031821395,0.036973133,0.040720615,0.477102423,0.087663716
MCXTINI_COMDTY_MCXTI,MCXTI,Commodity,0.000345408,1.719787494,288.0282717,1.632703747,0.006110908,-0.018874743,-0.024638766,-0.033253098,-0.041852803,-0.032312748,-0.043416124,-0.065166839,-0.097296515,0.017609034,0.02370779,0.031337849,0.035751292,0.03122857,0.04242807,0.065254005,0.10163967,0.634748944,0.355457503
MLCXCCSP_INDEX_MLCXC,MLCXC,Commodity,0.000229171,-0.044059941,4.115128524,1.812864413,0.009333742,-0.025940101,-0.031866319,-0.040326839,-0.045668068,-0.034400468,-0.040367682,-0.046403007,-0.050999221,0.024467208,0.030759397,0.039953115,0.045952626,0.033163803,0.039007364,0.046846391,0.050828719,0.841520721,0.107859385
