date,BV,CVIX,USD,SP,VIX
2020-06-16,0.212,7.97,96.958,3124.74,33.67
2020-06-17,0.209,8.03,97.158,3113.49,33.47
2020-06-18,0.204,8.04,97.421,3115.34,32.94
2020-06-19,0.199,7.94,97.623,3097.74,35.12
2020-06-20,0.199,7.94,97.623,3097.74,35.12
2020-06-21,0.199,7.94,97.623,3097.74,35.12
2020-06-22,0.199,7.83,97.039,3117.86,31.77
2020-06-23,0.199,7.95,96.646,3131.29,31.37
2020-06-24,0.191,7.89,97.148,3050.33,33.84
2020-06-25,0.192,8.1,97.429,3083.76,32.22
2020-06-26,0.181,7.75,97.433,3009.05,34.73
2020-06-27,0.181,7.75,97.433,3009.05,34.73
2020-06-28,0.181,7.75,97.433,3009.05,34.73
2020-06-29,0.18,7.74,97.536,3053.24,31.78
2020-06-30,0.176,7.59,97.391,3100.29,30.43
2020-07-01,0.183,7.39,97.196,3115.86,28.62
2020-07-02,0.179,7.35,97.317,3130.01,27.68
2020-07-03,0.179,7.01,97.172,3130.01,27.68
2020-07-04,0.179,7.01,97.172,3130.01,27.68
2020-07-05,0.179,7.01,97.172,3130.01,27.68
2020-07-06,0.179,6.91,96.725,3179.72,27.94
2020-07-07,0.18,6.97,96.881,3145.32,29.43
2020-07-08,0.176,6.92,96.428,3169.94,28.08
2020-07-09,0.173,6.91,96.7,3152.05,29.26
2020-07-10,0.169,6.97,96.652,3185.04,27.29
2020-07-11,0.169,6.97,96.652,3185.04,27.29
2020-07-12,0.169,6.97,96.652,3185.04,27.29
2020-07-13,0.169,6.81,96.464,3155.22,32.19
2020-07-14,0.169,6.94,96.259,3197.52,29.52
2020-07-15,0.165,6.92,96.081,3226.56,27.76
2020-07-16,0.157,6.78,96.346,3215.57,28
2020-07-17,0.157,6.78,95.942,3224.73,25.68
2020-07-18,0.157,6.78,95.942,3224.73,25.68
2020-07-19,0.157,6.78,95.942,3224.73,25.68
2020-07-20,0.155,6.69,95.832,3251.84,24.46
2020-07-21,0.152,6.58,95.117,3257.3,24.84
2020-07-22,0.155,6.78,94.988,3276.02,24.32
2020-07-23,0.158,6.8,94.692,3235.66,26.08
2020-07-24,0.156,7.1,94.435,3215.63,25.84
2020-07-25,0.156,7.1,94.435,3215.63,25.84
2020-07-26,0.156,7.1,94.435,3215.63,25.84
2020-07-27,0.16,5.93,93.668,3239.41,24.74
2020-07-28,0.151,7.8,93.696,3218.44,25.44
2020-07-29,0.144,7.75,93.453,3258.44,24.1
2020-07-30,0.14,7.65,93.021,3246.22,24.76
2020-07-31,0.131,8.08,93.349,3271.12,24.46
2020-08-01,0.131,8.08,93.349,3271.12,24.46
2020-08-02,0.131,8.08,93.349,3271.12,24.46
2020-08-03,0.13,7.78,93.542,3294.61,24.28
