date,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,XTZ,TAGZ5,XLM,LINK,ADA,XMR,LEO,TRX,HT,CRO,STO,DASH,ETC,MIN,HEDG,NEO,ATOM,MIOTA,HEX,ZEC,XEM,MKR,INO,ONT,OKB,DOGE,FTT,BAT,PAX,VET,ELAMA,PLF,DGB,BTG,MWC,CCXX,ZRX,HYN,INB,DCR,TNC,THETA,OMG,DNA,ICX
2019-01-01,3843.52,NA,140.82,0.364771,164.85,92.14,31.98,2.66,6.08,0.474699,NA,0.11593,0.299371,0.042547,48.37,NA,0.019561,1.11,0.021466,NA,81.05,5.23,NA,NA,7.87,NA,0.369184,NA,59.75,0.066118,461.39,0.20004,0.607312,NA,0.002392,NA,0.131343,1.01,0.004145,NA,NA,0.01074,13.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-02,3943.41,NA,155.05,0.375243,171.83,94.88,33.43,2.89,6.19,0.485319,NA,0.119331,0.316489,0.045258,52.25,NA,0.020222,1.16,0.021441,NA,84,5.44,NA,NA,8.08,NA,0.394705,NA,61.25,0.067139,496.91,0.203309,0.645164,NA,0.002407,NA,0.135878,1.02,0.004231,NA,NA,0.010785,13.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-03,3836.74,NA,149.14,0.360224,162.05,88.64,32.03,2.68,5.9,0.482134,NA,0.113825,0.365974,0.042682,49.82,NA,0.020088,1.09,0.021424,NA,80.86,5.09,NA,0.143568,7.68,NA,0.379233,NA,58.31,0.064862,501.96,0.196973,0.606526,NA,0.00236,NA,0.131839,1.01,0.004051,NA,NA,0.010846,13.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-04,3857.72,NA,154.58,0.356747,161.4,87.65,32.4,2.72,6.07,0.483029,NA,0.115361,0.437175,0.043812,50.63,NA,0.021492,1.09,0.021559,NA,81.2,5.25,NA,0.138764,7.63,NA,0.377061,NA,58.41,0.065011,498.49,0.198649,0.611206,NA,0.002315,NA,0.138424,1.01,0.004094,NA,NA,0.010923,13.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-05,3845.19,NA,155.64,0.355275,160.4,88.52,34.94,2.7,6.07,0.483224,NA,0.114046,0.395948,0.044701,49.93,NA,0.022294,1.09,0.018613,NA,80.61,5.14,NA,0.141598,7.84,NA,0.369546,NA,58.05,0.064621,508.89,0.196051,0.627474,NA,0.002319,NA,0.136645,1.01,0.004074,NA,NA,0.010911,13.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-06,4076.63,NA,157.75,0.368395,166.84,90.38,39.3,2.88,6.4,0.484338,NA,0.120384,0.39701,0.049261,54.88,NA,0.023005,1.12,0.017576,NA,85.84,5.5,NA,0.1393,8.64,NA,0.380924,NA,61.62,0.066627,521.43,0.203139,0.654306,NA,0.002328,NA,0.140803,1.01,0.00434,NA,NA,0.011888,13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-07,4025.25,NA,151.7,0.364347,161.24,88.78,37.81,2.77,6.29,0.481431,NA,0.12322,0.376474,0.047996,52.83,NA,0.023601,1.1,0.022577,NA,83.34,4.92,NA,0.137516,8.47,NA,0.367764,NA,60.74,0.065016,492.7,0.19811,0.628132,NA,0.002285,NA,0.137931,1.01,0.004176,NA,NA,0.012197,13.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-08,4030.85,NA,150.36,0.365315,161.91,87.58,39.48,2.8,6.64,0.484993,NA,0.123119,0.424198,0.048525,53.16,NA,0.026336,1.11,0.019565,NA,81.68,4.99,NA,0.140597,9.18,NA,0.363091,NA,60.86,0.064316,489.26,0.199096,0.642589,NA,0.002276,NA,0.140805,1.01,0.004382,NA,NA,0.011566,13.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-09,4035.3,NA,150.8,0.37089,160.08,87.04,38.99,2.91,6.64,0.495942,NA,0.123774,0.401805,0.052169,52.71,NA,0.028418,1.12,0.019615,NA,85.8,4.98,NA,0.138913,9.2,NA,0.369409,NA,60.54,0.064733,492.54,0.199175,0.720768,NA,0.002266,NA,0.141753,1.01,0.00477,NA,NA,0.011554,13.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-10,3678.92,NA,128.63,0.332652,134.97,75.92,33.87,2.44,5.92,0.452833,NA,0.109879,0.354604,0.044529,45.5,NA,0.025847,1.04,0.017698,NA,73.78,4.43,NA,0.139335,7.97,NA,0.312712,NA,54.96,0.056417,437.56,0.193663,0.595887,NA,0.002132,NA,0.125552,1.01,0.004068,NA,NA,0.010079,12.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-11,3687.37,NA,127.55,0.332904,131.67,75.03,32.33,2.42,6.08,0.449763,NA,0.107332,0.444193,0.044147,45.8,NA,0.025128,1.06,0.017596,NA,73.78,4.49,NA,0.140176,7.95,NA,0.315375,NA,56.28,0.058317,435.95,0.193944,0.639593,NA,0.002129,NA,0.129713,1.01,0.004006,NA,NA,0.010152,12.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-12,3661.3,NA,125.97,0.3288,134.38,82.8,32.38,2.43,5.98,0.424779,NA,0.106764,0.412244,0.043704,45.01,NA,0.0235,1.07,0.017257,NA,73.61,4.56,NA,0.140635,7.75,NA,0.313771,NA,56.17,0.057357,434.63,0.191192,0.618352,NA,0.002148,NA,0.131387,1.01,0.00402,NA,NA,0.010126,12.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-13,3552.95,NA,116.9,0.317863,126.35,77.44,30.33,2.26,5.57,0.394705,NA,0.103609,0.444261,0.040241,43.11,NA,0.02129,1.06,0.016561,NA,70.26,4.24,NA,0.140001,7.22,NA,0.294612,NA,53,0.054842,423.07,0.186954,0.574982,NA,0.002094,NA,0.120674,1.01,0.003785,NA,NA,0.009426,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-14,3706.05,NA,129.07,0.333766,133.98,80.37,32.36,2.48,6.16,0.416643,NA,0.109649,0.48566,0.044059,45.91,NA,0.025671,1.06,0.01596,NA,72.98,4.35,NA,0.139138,7.96,NA,0.30958,NA,56.27,0.058036,464.07,0.191394,0.611438,NA,0.002183,NA,0.125732,1.01,0.004043,NA,NA,0.010159,12.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-15,3630.68,NA,122.03,0.327179,128.48,77.44,31.51,2.4,5.92,0.407958,NA,0.105685,0.518795,0.04281,44.95,NA,0.024558,1.06,0.015388,NA,70.72,4.21,NA,0.139347,7.62,NA,0.304561,NA,54.03,0.056211,426.42,0.186309,0.590946,NA,0.002111,NA,0.121508,1.01,0.003929,NA,NA,0.010054,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-16,3655.01,NA,123.55,0.329701,129.17,78.2,31.82,2.45,6.19,0.424904,NA,0.106891,0.497374,0.044777,46.18,NA,0.02518,1.07,0.015153,NA,71.28,4.31,NA,0.14107,7.74,NA,0.305791,NA,53.28,0.056755,447.05,0.189263,0.625577,NA,0.002138,NA,0.124662,1.01,0.003994,NA,NA,0.009821,12.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-17,3678.56,NA,123.74,0.329353,131.05,78.05,31.89,2.52,6.42,0.427025,NA,0.108461,0.483012,0.045318,45.65,NA,0.025321,1.06,0.015303,NA,72.41,4.52,NA,0.1399,7.85,NA,0.314669,NA,54.67,0.057213,461.28,0.184789,0.626477,NA,0.002094,NA,0.129176,1.01,0.004262,NA,NA,0.010171,11.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-18,3657.84,NA,121.01,0.324277,128.46,75.96,31.31,2.47,6.56,0.437198,NA,0.106821,0.500732,0.044316,45.13,NA,0.024801,1.06,0.014902,NA,71.61,4.38,NA,0.107961,7.71,NA,0.313526,NA,53.49,0.056908,455.09,0.1866,0.608001,NA,0.002106,NA,0.125949,1.01,0.004076,NA,NA,0.009654,11.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-19,3728.57,NA,124.52,0.331001,130.2,77.53,32.55,2.49,6.64,0.437358,NA,0.108304,0.49147,0.04575,46.22,NA,0.024568,1.06,0.014906,NA,73.97,4.4,NA,0.113503,8.08,NA,0.316666,NA,54.65,0.057758,470.84,0.190632,0.621395,NA,0.002153,NA,0.129787,1.01,0.004138,NA,NA,0.00999,11.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-20,3601.01,NA,119.47,0.321177,123.89,75.34,31.18,2.37,6.49,0.428458,NA,0.104702,0.490123,0.043477,44.11,NA,0.02387,1.06,0.014354,NA,69.89,4.29,NA,0.111515,7.59,NA,0.301867,NA,53.11,0.055942,447.16,0.187802,0.598911,NA,0.002119,NA,0.124779,1.01,0.004012,NA,NA,0.009557,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-21,3576.03,NA,117.16,0.32079,122.83,75.01,31.21,2.35,6.55,0.423494,NA,0.10338,0.503412,0.042937,44.58,NA,0.02561,1.05,0.01383,NA,69.91,4.3,NA,0.112654,7.58,NA,0.302296,NA,52.64,0.055968,429.87,0.186324,0.585009,NA,0.002101,NA,0.12218,1.01,0.00413,NA,NA,0.009403,11.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-22,3604.58,NA,118.75,0.319491,128.44,75.93,31.68,2.45,6.52,0.42389,NA,0.104103,0.540335,0.043578,45.92,NA,0.026385,1.06,0.013503,NA,71.72,4.33,NA,0.112915,7.71,NA,0.307704,NA,52.76,0.056353,453.68,0.187403,0.605992,NA,0.002057,NA,0.12378,1.01,0.004568,NA,NA,0.009614,11.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-23,3585.12,NA,117.45,0.316492,132.32,75.54,32,2.44,6.54,0.425347,NA,0.102576,0.509976,0.0429,44.88,NA,0.026557,1.05,0.013323,NA,71.07,4.3,NA,0.111148,7.58,NA,0.297192,NA,52.57,0.055676,459.05,0.186695,0.59723,NA,0.002043,NA,0.122508,1.01,0.004391,NA,NA,0.009352,11.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-24,3600.87,NA,117.36,0.317598,129.4,74.52,32.78,2.45,6.51,0.419585,NA,0.10221,0.504242,0.043027,45.78,NA,0.026909,1.05,0.013039,NA,73.06,4.31,NA,0.122554,7.74,NA,0.296257,NA,53.49,0.056152,472.46,0.187533,0.598279,NA,0.002039,NA,0.123928,1.01,0.00441,NA,NA,0.009616,11.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-25,3599.77,NA,116.38,0.317165,128.37,74.74,32.98,2.45,6.74,0.41486,NA,0.101741,0.479549,0.042691,46.89,NA,0.026767,1.06,0.013515,NA,73.83,4.35,NA,0.122644,7.59,NA,0.289837,NA,52.78,0.055549,469.1,0.18696,0.616777,NA,0.002118,NA,0.128301,1.01,0.004347,NA,NA,0.009391,11.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-26,3602.46,NA,116.49,0.314235,127.14,73.97,33.15,2.44,7.01,0.410441,NA,0.100014,0.472149,0.042649,45.73,NA,0.028659,1.05,0.01375,NA,74.16,4.31,NA,0.121402,7.53,NA,0.286681,NA,52.34,0.054662,449.93,0.186593,0.613176,NA,0.002083,NA,0.126224,1.01,0.004377,NA,NA,0.009403,11.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-27,3583.97,NA,113.41,0.309439,122.9,71.83,32.59,2.38,7.09,0.402173,NA,0.096316,0.433749,0.041168,46.58,NA,0.029282,1.04,0.013692,NA,71.4,4.25,NA,0.122089,7.42,NA,0.276022,NA,51.53,0.052715,433.03,0.185911,0.603862,NA,0.002027,NA,0.124241,1.01,0.004165,NA,NA,0.009172,10.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-28,3470.45,NA,106.59,0.294863,112.5,64.99,31.2,2.25,6.21,0.378758,NA,0.087904,0.41349,0.038772,43.59,NA,0.026888,0.923957,0.012312,NA,68.13,3.95,NA,0.119555,6.98,NA,0.257315,NA,49.36,0.04804,398.57,0.183235,0.562218,NA,0.001944,NA,0.113024,1.01,0.003934,NA,NA,0.008882,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-29,3448.12,NA,105.6,0.289558,111.09,63.54,31.1,2.28,6.18,0.372959,NA,0.083923,0.455235,0.038251,43.71,NA,0.027341,0.918539,0.012913,NA,68.25,3.92,NA,0.12056,7.05,NA,0.254747,NA,48.83,0.047115,393.87,0.177426,0.54709,NA,0.001927,NA,0.11446,1.01,0.003906,NA,NA,0.00861,9.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-30,3486.18,NA,108.91,0.320461,118.38,66.38,31.93,2.34,6.17,0.379684,NA,0.085634,0.426929,0.039656,44.26,NA,0.02729,0.954153,0.013116,NA,69.3,4.02,NA,0.120915,7.11,NA,0.263197,NA,49.73,0.047139,379.24,0.180897,0.555713,NA,0.001961,NA,0.115821,1.01,0.004038,NA,NA,0.009007,10.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-01-31,3457.79,NA,107.06,0.310036,114.81,63.98,31.65,2.32,6.27,0.378969,NA,0.082631,0.38769,0.038374,43.66,NA,0.02543,0.934199,0.012958,NA,68.26,3.95,NA,0.119292,6.93,NA,0.258374,NA,49,0.040334,369.28,0.179897,0.53612,NA,0.001925,NA,0.113711,1.01,0.003909,NA,NA,0.008732,10.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
