""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"393"	"DATA"	"N/A"	"N/A"	"P90"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D5"	"SRF"	"HighVol"	"D9"	2	3	3	1
"394"	"DAXX"	"Ethash"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D8"	"SRF"	"HighVol"	"D10"	3	3	3	3
"395"	"DAY"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D5"	"D8"	"ERP"	"HighVol"	"D9"	3	3	2	4
"396"	"DB"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	3	2	2
"397"	"DBET"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D6"	"SRF"	"HighVol"	"D9"	3	3	2	4
"398"	"DBG"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D9"	"D5"	"ERP"	"Indexlike"	"D9"	2	3	3	1
"399"	"DBIC"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D4"	"D7"	"D9"	"ERP"	"LowVol"	"D5"	3	1	2	6
"400"	"DBIX"	"Dagger-Hashimoto"	"PoW"	"P90"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D7"	"D5"	"D5"	"SRF"	"LowVol"	"D10"	3	3	3	3
"401"	"DBTC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D7"	"D9"	"SRF"	"LowVol"	"D7"	2	1	3	8
"402"	"DCC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D10"	"SRF"	"HighVol"	"D4"	2	1	3	8
"403"	"DCK"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D4"	"D8"	"SRF"	"LowVol"	"D4"	3	1	3	5
"404"	"DCN"	"N/A"	"N/A"	"P90"	"BC"	"P100"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D8"	"SRF"	"LowVol"	"D10"	2	1	3	8
"405"	"DCR"	"BLAKE256"	"PoW/PoS"	"P99"	"BC"	"P99"	"BC"	"Average"	"Average"	"Low"	"D8"	"D7"	"D4"	"SRF"	"Indexlike"	"D10"	2	3	2	2
"406"	"DCRE"	"N/A"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	2	2
"407"	"DCY"	"CryptoNight"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D10"	"D8"	"D8"	"SRF"	"LowVol"	"D10"	2	3	3	1
"408"	"DDF"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D6"	"D6"	"SRF"	"LowVol"	"D8"	2	3	3	1
"409"	"DEA"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"High"	"Average"	"D10"	"D10"	"D7"	"SRF"	"LowVol"	"D9"	2	3	3	1
"410"	"DEEP"	"N/A"	"N/A"	"P70"	"BC"	"P99"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D5"	2	3	3	1
"411"	"DEM"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D9"	"ERP"	"LowVol"	"D7"	2	1	2	7
"412"	"DES"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"High"	"D4"	"D10"	"D10"	"ERP"	"Indexlike"	"D4"	2	2	3	9
"413"	"DETH"	"X11"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D9"	"ERP"	"LowVol"	"D5"	2	1	3	8
"414"	"DEUR"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D6"	2	2	1	24
"415"	"DFS"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D5"	"D4"	"D7"	"SRF"	"Indexlike"	"D4"	3	3	2	4
"416"	"DFT"	"Scrypt"	"PoS"	"P90"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D7"	"SRF"	"LowVol"	"D10"	3	3	3	3
"417"	"DGB"	"Multiple"	"PoW"	"P100"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D4"	"SRF"	"HighVol"	"D10"	2	3	3	1
"418"	"DGC"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D6"	"SRF"	"Indexlike"	"D10"	3	3	3	3
"419"	"DGD"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D4"	"SRF"	"LowVol"	"D10"	2	3	3	1
"420"	"DGDC"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D5"	"D10"	"D10"	"ERP"	"HighVol"	"D6"	2	1	3	8
"421"	"DGMS"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D6"	"D10"	"D9"	"SRF"	"LowVol"	"D4"	2	1	2	7
"422"	"DGORE"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D7"	"SRF"	"LowVol"	"D8"	3	3	3	3
"423"	"DGPT"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D4"	"D7"	"SRF"	"LowVol"	"D8"	3	3	2	4
"424"	"DICE"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D5"	"SRF"	"Indexlike"	"D10"	2	3	3	1
"425"	"DIEM"	"SHA256"	"PoW"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D8"	"D8"	"D8"	"SRF"	"LowVol"	"D10"	2	3	3	1
"426"	"DIGS"	"Scrypt"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D8"	2	3	3	1
"427"	"DIM"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D9"	"ERP"	"HighVol"	"D8"	3	1	3	5
"428"	"DIME"	"Quark"	"PoW"	"P80"	"BC"	"P70"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D8"	"ERP"	"Indexlike"	"D10"	2	3	2	2
"429"	"DISK"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D7"	"SRF"	"Indexlike"	"D9"	2	3	2	2
"430"	"DKC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Low"	"D5"	"D9"	"D4"	"SRF"	"CashLike"	"D4"	2	3	3	1
"431"	"DLC"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"432"	"DLISK"	"N/A"	"DPoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D7"	"SRF"	"LowVol"	"D7"	2	3	3	1
"433"	"DLT"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D5"	"SRF"	"HighVol"	"D10"	3	3	3	3
"434"	"DMD"	"Groestl"	"PoW/PoS"	"P90"	"BC"	"P90"	"BC"	"Average"	"Average"	"Low"	"D7"	"D4"	"D4"	"ERP"	"LowVol"	"D10"	3	3	2	4
"435"	"DNA"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D6"	"ERP"	"LowVol"	"D9"	3	3	2	4
"436"	"DNET"	"N/A"	"N/A"	"P70"	"BC"	"P90"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D8"	2	3	2	2
"437"	"DNR"	"NIST5"	"PoW/PoS"	"P90"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D5"	"D6"	"ERP"	"Indexlike"	"D10"	3	3	3	3
"438"	"DNT"	"N/A"	"N/A"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D5"	"ERP"	"HighVol"	"D10"	3	3	2	4
"439"	"DOC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"440"	"DOGE"	"Scrypt"	"PoW"	"P90"	"BC"	"P99"	"BC"	"High"	"High"	"Low"	"D10"	"D9"	"D4"	"ERP"	"LowVol"	"D10"	2	3	2	2
"441"	"DOGED"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"442"	"DOGETH"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D6"	"D10"	"ERP"	"NegBeta"	"D7"	3	1	2	6
"443"	"DON"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D9"	"D5"	"D6"	"SRF"	"Indexlike"	"D10"	3	3	3	3
"444"	"DOPE"	"Scrypt"	"PoW"	"P90"	"BC"	"P80"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"SRF"	"HighVol"	"D10"	3	3	3	3
"445"	"DOT"	"Scrypt"	"PoW"	"P70"	"BC"	"P100"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	3	9
"446"	"DOV"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D6"	"SRF"	"HighVol"	"D9"	3	3	3	3
"447"	"DP"	"X11"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D4"	"D6"	"SRF"	"Indexlike"	"D10"	3	3	3	3
"448"	"DPAY"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D7"	"ERP"	"Indexlike"	"D8"	2	3	3	1
"449"	"DPP"	"N/A"	"N/A"	"P80"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D6"	"SRF"	"LowVol"	"D8"	2	3	2	2
"450"	"DPY"	"N/A"	"N/A"	"P90"	"BC"	"P90"	"BC"	"Average"	"Low"	"Average"	"D9"	"D4"	"D5"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"451"	"DRA"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D5"	"D8"	"D5"	"ERP"	"LowVol"	"D9"	2	3	3	1
"452"	"DRACO"	"N/A"	"N/A"	"P70"	"BC"	"P100"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	3	3	1
"453"	"DRGN"	"N/A"	"N/A"	"P90"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D5"	"SRF"	"HighVol"	"D9"	3	3	3	3
"454"	"DRKC"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"SRF"	"LowVol"	"D4"	2	3	2	2
"455"	"DRKT"	"SHA256"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"456"	"DRM8"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D8"	"SRF"	"LowVol"	"D5"	3	1	3	5
"457"	"DROP"	"N/A"	"N/A"	"P90"	"BC"	"P99"	"BC"	"High"	"Low"	"High"	"D10"	"D4"	"D10"	"SRF"	"LowVol"	"D8"	3	1	3	5
"458"	"DRP"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D7"	"D8"	"D5"	"ERP"	"LowVol"	"D6"	2	3	2	2
"459"	"DRPU"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D6"	"D7"	"ERP"	"LowVol"	"D9"	2	3	3	1
"460"	"DRT"	"N/A"	"N/A"	"P80"	"BC"	"P90"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D7"	"ERP"	"Indexlike"	"D9"	3	3	2	4
"461"	"DRXNE"	"PoS"	"PoS"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D9"	"D4"	"D7"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"462"	"DRZ"	"QUAIT"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Average"	"D4"	"D6"	"D5"	"ERP"	"LowVol"	"D4"	2	3	2	2
"463"	"DSB"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	NA	2	3	3	1
"464"	"DT"	"NIST5"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	NA	2	3	2	2
"465"	"DTB"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"Average"	"Average"	"Average"	"D8"	"D4"	"D5"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"466"	"DTC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D10"	2	3	3	1
"467"	"DTC*"	NA	NA	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	2	10
"468"	"DTR"	"N/A"	"N/A"	"P90"	"BC"	"P70"	"BC"	"High"	"Average"	"Average"	"D9"	"D8"	"D7"	"SRF"	"HighVol"	"D9"	2	3	3	1
"469"	"DUB"	"X15"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D7"	"SRF"	"LowVol"	"D4"	2	1	3	8
"470"	"DUCK"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D4"	2	3	2	2
"471"	"DUO"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"LowVol"	"D4"	2	3	3	1
"472"	"DUX"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Average"	"High"	"D10"	"D7"	"D9"	"ERP"	"LowVol"	"D7"	2	1	2	7
"473"	"DVC"	"SHA256"	"PoW"	"P70"	"BC"	"P80"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	NA	2	3	2	2
"474"	"DXC"	"C11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D9"	"D6"	"D10"	"ERP"	"HighVol"	"D6"	3	1	2	6
"475"	"DYN"	"Argon2d"	"PoW"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Low"	"D9"	"D4"	"D4"	"ERP"	"LowVol"	"D10"	3	3	2	4
"476"	"EAC"	"Scrypt"	"PoW"	"P70"	"BC"	"P90"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"SRF"	"LowVol"	"D4"	2	3	2	2
"477"	"EAGS"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"478"	"EB3"	"Scrypt"	"PoW"	"P70"	"BC"	"P99"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	2	10
"479"	"EBC"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D8"	"ERP"	"LowVol"	"D4"	3	1	2	6
"480"	"EBET"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D9"	"ERP"	"LowVol"	"D9"	3	1	1	21
"481"	"EBIT"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	3	9
"482"	"EBS"	"N/A"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"Acc"	"LowVol"	"D4"	2	3	2	2
"483"	"EBST"	"Scrypt"	"PoW"	"P90"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D6"	"ERP"	"HighVol"	"D10"	3	3	3	3
"484"	"EBTC"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D9"	"D4"	"D10"	"ERP"	"Extreme"	"D10"	3	4	2	12
"485"	"EC"	"SHA256D"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"Low"	"High"	"High"	"D4"	"D10"	"D10"	"ERP"	"NegBeta"	"D4"	2	2	2	10
"486"	"ECA"	"NIST5"	"PoW/PoS"	"P70"	"BC"	"P90"	"BC"	"Average"	"High"	"High"	"D9"	"D10"	"D10"	"SRF"	"HighVol"	"D4"	2	1	2	7
"487"	"ECASH"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D7"	"D8"	"ERP"	"NegBeta"	"D9"	2	1	2	7
"488"	"ECH"	"N/A"	"N/A"	"P70"	"BC"	"P99"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D7"	"ERP"	"LowVol"	"D7"	3	3	2	4
"489"	"ECO"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D5"	"D4"	"D10"	"ERP"	"CashLike"	"D7"	3	1	2	6
"490"	"ECOB"	"N/A"	"N/A"	"P70"	"BC"	"P80"	"BC"	"Average"	"Average"	"High"	"D6"	"D6"	"D10"	"ERP"	"LowVol"	"D5"	3	1	3	5
"491"	"EDC"	"SHA-256"	"DPoS/LPoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D4"	3	1	3	5
"492"	"EDDIE"	"Scrypt"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D6"	"ERP"	"LowVol"	"D8"	3	3	2	4
"493"	"EDG"	"N/A"	"N/A"	"P70"	"BC"	"P99"	"BC"	"Average"	"Low"	"Average"	"D5"	"D4"	"D7"	"ERP"	"LowVol"	"D7"	3	3	3	3
"494"	"EDGE"	"SHA256"	"PoW/HiPoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D4"	2	3	2	2
"495"	"EDO"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D9"	"D7"	"D4"	"ERP"	"HighVol"	"D10"	2	3	3	1
"496"	"EDRC"	"SHA-256"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D8"	"ERP"	"LowVol"	"D9"	2	1	2	7
"497"	"EFL"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D9"	"D5"	"D5"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"498"	"EFYT"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D7"	"D9"	"D9"	"ERP"	"LowVol"	"D8"	2	1	2	7
"499"	"EGAS"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D10"	"ERP"	"NegBeta"	"D6"	3	1	2	6
"500"	"EGC"	"X15"	"PoW/PoS"	"P90"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D4"	"SRF"	"LowVol"	"D10"	3	3	3	3
"501"	"EGG"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"NegBeta"	"D4"	2	3	2	2
"502"	"EGO"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D5"	"D10"	"SRF"	"Indexlike"	"D4"	3	1	3	5
"503"	"EKN"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"SRF"	"CashLike"	"D4"	2	2	2	10
"504"	"EKO"	"N/A"	"N/A"	"P90"	"BC"	"P80"	"BC"	"High"	"High"	"High"	"D10"	"D10"	"D10"	"SRF"	"HighVol"	"D9"	2	1	3	8
"505"	"ELC"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Average"	"D4"	"D10"	"D6"	"SRF"	"LowVol"	"D4"	2	1	2	7
"506"	"ELE"	"Ethash"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"SRF"	"LowVol"	"D6"	3	1	3	5
"507"	"ELITE"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D7"	"D5"	"SRF"	"LowVol"	"D8"	2	3	3	1
"508"	"ELIX"	"N/A"	"N/A"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D6"	"SRF"	"HighVol"	"D10"	3	3	3	3
"509"	"ELLA"	"Ethash"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D8"	"D4"	"D5"	"SRF"	"Indexlike"	"D9"	3	3	3	3
"510"	"ELM"	"X11"	"PoW"	"P70"	"BC"	"P99"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"NegBeta"	"D4"	2	3	2	2
"511"	"ELP"	"XEVAN"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D6"	"D9"	"D10"	"ERP"	"NegBeta"	"D8"	2	1	2	7
"512"	"ELS"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D9"	"D4"	"ERP"	"LowVol"	"D4"	2	3	3	1
"513"	"ELTC2"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D7"	"D7"	"D7"	"ERP"	"HighVol"	"D5"	2	3	3	1
"514"	"ELTCOIN"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D7"	"D4"	"D10"	"ERP"	"Extreme"	"D6"	1	5	2	17
"515"	"EMB"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D8"	"ERP"	"LowVol"	"D8"	3	3	2	4
"516"	"EMC"	"SHA256"	"PoW/PoS"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D9"	"D6"	"D4"	"ERP"	"LowVol"	"D10"	2	3	2	2
"517"	"EMC2"	"Scrypt"	"PoW"	"P99"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D10"	"D4"	"D4"	"ERP"	"Indexlike"	"D10"	3	3	2	4
"518"	"EMD"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D5"	"ERP"	"LowVol"	"D10"	2	3	2	2
"519"	"EMPC"	"X11"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D5"	"D10"	"D9"	"ERP"	"HighVol"	"D4"	2	1	2	7
"520"	"EMV"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D5"	"D7"	"D10"	"ERP"	"HighVol"	"D8"	2	1	2	7
"521"	"ENE"	"X13"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D6"	"D5"	"D8"	"ERP"	"LowVol"	"D7"	3	3	2	4
"522"	"ENG"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D6"	"D5"	"ERP"	"HighVol"	"D10"	2	3	2	2
"523"	"ENJ"	"N/A"	"N/A"	"P99"	"BC"	"P99"	"BC"	"High"	"Average"	"Average"	"D10"	"D7"	"D5"	"ERP"	"HighVol"	"D10"	2	3	2	2
"524"	"ENRG"	"Scrypt"	"PoW/PoS"	"P90"	"BC"	"P70"	"BC"	"High"	"Low"	"Average"	"D10"	"D4"	"D4"	"SRF"	"LowVol"	"D10"	3	3	3	3
"525"	"ENT"	"X11"	"PoW/PoS"	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"Average"	"D7"	"D4"	"D7"	"SRF"	"Indexlike"	"D10"	3	3	2	4
"526"	"ENTER"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D7"	"D6"	"D10"	"SRF"	"NegBeta"	"D5"	3	1	3	5
"527"	"ENTRC"	"N/A"	"N/A"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"SRF"	"HighVol"	"D4"	3	4	2	12
"528"	"EOC"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D7"	"D6"	"SRF"	"LowVol"	"D8"	2	3	3	1
"529"	"EOS"	"DPoS"	"DPoS"	"P100"	"AC"	"P100"	"BC"	"High"	"High"	"Average"	"D10"	"D9"	"D4"	"SRF"	"HighVol"	"D10"	2	3	3	1
"530"	"EPY"	"Scrypt"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Average"	"D4"	"D6"	"D6"	"ERP"	"CashLike"	"D4"	3	3	3	3
