""	"SYM"	"Algorithm"	"ProofType"	"PercVolume"	"ClassVolume"	"PercMKCaP"	"ClassMKCaP"	"ClassVolumeUSD"	"ClassRet"	"ClassRisk"	"DecVolumeUSD"	"DecRet"	"DecRisk"	"ClassSharpeR"	"ClassBeta"	"DecAge"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"13"	"42"	"Scrypt"	"PoW/PoS"	"P80"	"BC"	"P80"	"BC"	"Low"	"High"	"Average"	"D4"	"D9"	"D5"	"ERP"	"LowVol"	"D10"	2	3	2	2
"14"	"611"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Average"	"D4"	"D10"	"D9"	"ERP"	"NegBeta"	"D4"	2	1	2	7
"15"	"808"	"SHA-256"	"PoW/PoS"	"P70"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D8"	"D7"	"ERP"	"LowVol"	"D9"	2	3	2	2
"16"	"888"	"N/A"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D5"	3	1	2	6
"17"	"8BIT"	"Scrypt"	"PoW/PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"ERP"	"HighVol"	"D10"	1	4	2	22
"18"	"ABC"	"N/A"	"N/A"	"P70"	"BC"	"P100"	"BC"	"Low"	"High"	"Average"	"D4"	"D10"	"D7"	"ERP"	"NegBeta"	"D4"	2	1	2	7
"19"	"ABY"	"Scrypt"	"PoW"	"P90"	"BC"	"P80"	"BC"	"High"	"Average"	"Average"	"D10"	"D5"	"D4"	"ERP"	"HighVol"	"D10"	3	3	2	4
"20"	"AC"	"Scrypt"	"PoS"	"P70"	"BC"	"P90"	"BC"	"High"	"Average"	"Average"	"D9"	"D8"	"D7"	"ERP"	"HighVol"	"D10"	2	3	2	2
"21"	"ACC"	"Scrypt"	"PoW"	"P80"	"BC"	"P70"	"BC"	"Average"	"Average"	"Average"	"D8"	"D6"	"D6"	"ERP"	"Indexlike"	"D10"	2	3	2	2
"22"	"ACC*"	NA	NA	"P80"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D9"	3	4	2	12
"23"	"ACES"	"X13"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"Average"	"D8"	"D10"	"D8"	"SRF"	"LowVol"	"D6"	2	1	3	8
"24"	"ACH"	"Equihash"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Low"	"Average"	"Low"	"D4"	"D8"	"D4"	"ERP"	"LowVol"	"D5"	2	3	2	2
"25"	"ACID"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"High"	"High"	"D8"	"D9"	"D10"	"ERP"	"LowVol"	"D5"	2	1	2	7
"26"	"ACN"	"PoS"	"PoS"	"P70"	"BC"	"P70"	"BC"	"Low"	"High"	"Low"	"D4"	"D10"	"D4"	"ERP"	"CashLike"	"D4"	2	2	3	9
"27"	"ACOIN"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Average"	"High"	"D4"	"D7"	"D10"	"ERP"	"NegBeta"	"D4"	3	2	3	11
"28"	"ACP"	"SHA256"	"PoW"	"P70"	"BC"	"P70"	"BC"	"Average"	"Low"	"High"	"D6"	"D4"	"D10"	"ERP"	"NegBeta"	"D6"	3	2	2	14
