,BTC,ETH,XRP,BCH,BSV,LTC,ADA,CRO,BNB,EOS,LINK,XTZ,XLM,XMR,TRX
BTC,0,0.0652949734526208,0,-4.33680868994202e-19,0.0314530891492405,0.06452959458133,0,0.158547578753577,0,0,0,0.116644318089688,-0.0435269912659477,0.035180159496243,0.305405534092572
ETH,0.194944331931365,0,0,0,0.0426954886589145,0,0,0.143172188750648,0.0315920626416873,0,0.0862397522044502,-1.73472347597681e-18,0,0,0.124657466588013
XRP,0,0,0,0,0.157750079251981,0.275108912421548,0.0675217020960916,-0.0905677683503496,0,0.158224905788077,0,0,0.0284434734828382,0,0.096231264590692
BCH,0.150725164168494,0,-0.0704246555422907,0,0.181972317878742,0.286784521156681,0.0209872248978346,0,0,0.458941770251,0,0,0,0,0
BSV,0.0667916026200969,0.092747222734514,0,0.224266841935733,0,0.369861064662466,-0.062161132301955,0,0,0.287323697205337,0,0.0592623341784769,0,0,0
LTC,0.099425378214564,0.158739777166772,0,0.139030625716411,0.0647333689805157,0,0,0,0.0283254658817289,0.160532539996124,0,0.121186447761239,0,-0.0356367152497561,0.111161979105184
ADA,-0.247160183435754,0.463448987251078,0,-0.0428604343099246,-0.0175791844415028,0,0,0,-0.397251455176879,0.186920626086014,0.299115628141954,0.159477088045031,0.0852843027833224,-0.139268079205701,0.423366373405229
CRO,0.808931260996661,0.128992799612277,0,0,0,0,0,0,0,0,0.0145908488607607,0.0290456874487012,0,0,0.227228247895217
BNB,0,0.190556289046292,0.0875666337142323,0.165395247650464,0,0,0.0547036852503561,0,0,0,-0.000697852147033779,0,0,0,0.10627166971937
EOS,0,0,0,0.504194250813361,0.154237045417829,0.0612230907827142,0.0492082723390444,0,0,0,-0.0423258560059378,0,0,0.0261588722122497,0.210544765274913
LINK,0,0,0.822633804046175,0,0,-0.434722282703465,0.288890924646491,0.564095591873989,-0.174618940732822,0,0,0.299247689273296,0.167551444695084,-0.442600044426576,0
XTZ,0,0,-0.0586539304675918,0,0,0,0.0201858438514279,0.140521990800546,0,0,0.408967481221153,0,0.205406559446938,0.0629947198200828,0
XLM,-0.12823736274215,0.0220668507716994,0,0.134397985905977,0,0,0.327223201299698,0.249735191086756,-0.286639689068192,0.0681713178574031,0.237612627500425,0,0,0,0.0484971418883662
XMR,0,0.302723363025245,0,0,-0.0341744600438173,0,-3.20360566498167e-05,0.174559262857315,0.302914720585912,0,0.0573618413213784,0.117545609048968,0,0,0
TRX,0,0,0,0,0,0,0,0,0,0.616998633719104,0.0120624744806623,0.0147054423805923,0,0.317113979937366,0
