,BTC,ETH,XRP,BCH,BSV,LTC,ADA,CRO,BNB,EOS,LINK,XTZ,XLM,XMR,TRX
BTC,0,0.175879734349298,0.0422485969909789,0,0,0,0,0.138092432219907,0,0,0,0.0849040825078671,-0.0962295728502933,0,0.197512752494162
ETH,0.140341604319845,0,0,0,0.116905752005067,0,0.0232957511059206,0.116609367867579,0,0,0.0304599664514972,0.00776408176863502,0,0.0666999806593087,0.157412580225055
XRP,0,0,0,0,0.195923076546638,0.151003605819154,0.0712687325356779,0,0,0.0994462403975689,0,0,0.00650458120621877,0,0.128070440721318
BCH,0,0.0478007025298234,0,0,0.212606851734619,0.151729837287392,-1.73472347597681e-18,0,0,0.420828356895161,0,0.0398432033370691,0,0.0470581907200567,0
BSV,0,0.32405450967697,0.168654053854573,0,0,0.24374372206157,-0.0389864424747041,0,0,0,0,0,-0.0200790767986919,0,0.168501089299955
LTC,0.143113909605459,0.00310949901388893,0,0.0421928146873935,0.107974386065707,0,0,0,0.172406306604569,0.0900202665696535,0,0.119634468785618,0,0,0.160710474271795
ADA,-0.161815118451661,0.449842323663844,0.315223783632867,0,-0.276186191988383,0,0,0,-0.354795728490032,0.0207213461397072,0.342154681989673,0.0481363138316749,0,-0.144923086294288,0.291820894884092
CRO,0.955002493697497,0.0160494266139711,0,0,0,0,0,0,0,0,0.0425835128211968,0.0230105593480594,0.185432359337357,0,0.0534623589536093
BNB,0,0.0961174308557825,0.102112793466501,0.252519546116655,0,0,0.131910833635601,0,0,0,-0.0511038868593806,0,0,0,0.0511550455440337
EOS,0.0189204681316224,0,0.0381487179476529,0.255741901877314,0.0341557327723052,0.332401710057017,0,0,0,0,0.0439033088471435,6.93889390390723e-18,0,0,0.204723769290171
LINK,0,0,0.628970875324055,0.418102794990051,0,-0.564123692300348,0.397077012095096,0.429789699706791,-0.175281778933855,0,0,0.215613854475204,0.204830436532978,-0.339835916623382,0
XTZ,0,0,0,0,0,0,0,0.0987325570891108,0,0,0.414811673291893,0,0.193511578937288,0.0290948199211929,0
XLM,0,0,0.0549220504792514,0,0.0432679367142754,0,0.292602043992338,0,-0.175383876881491,0.155237847295935,0.21158403513843,0,0,0,0.155046544302386
XMR,0,0.224191886527996,0,0,-0.00666599507577759,0,0,0.161523173001907,0.300550242125838,0,0.0494708102722696,0.129203111100857,-0.0270175874984656,0,6.93889390390723e-18
TRX,0,0,0,0,0,0,0,0,0,0.616998633719104,0.0120624744806623,0.0147054423805923,0,0.317113979937366,0
