"ID del Tweet","Link permanente del Tweet","Testo del Tweet"," orario","visualizzazioni","interazioni","tasso di interazione","retweet","risposte","Mi piace","clic profilo utente","clic sull'URL","clic sull'hashtag","espansioni dettaglio","clic sui link permanenti","app aperta","installazioni app","follow","Tweet inviati tramite email","chiamata telefonica","visualizzazioni di contenuti multimediali","interazioni con i contenuti multimediali","Promoted visualizzazioni","Promoted interazioni","Promoted tasso di interazione","Promoted retweet","Promoted risposte","Promoted Mi piace","Promoted clic profilo utente","Promoted clic sull'URL","Promoted clic sull'hashtag","Promoted espansioni dettaglio","Promoted clic sui link permanenti","Promoted app aperta","Promoted installazioni app","Promoted follow","Promoted Tweet inviati tramite email","Promoted chiamata telefonica","Promoted visualizzazioni di contenuti multimediali","Promoted interazioni con i contenuti multimediali"
"1087050626725482497","https://twitter.com/fintech_ho2020/status/1087050626725482497","Our #fintech-h2020 risk management programme will be launched in #unipv on February 1st. Mark the date. Before that we run a workshop on #blockchain and #risk in Paris, January 21-22 #fintech #artificialintelligence https://t.co/RsfY8dAyd4","2019-01-20 18:14 +0000","708.0","11.0","0.015536723163841809","1.0","0.0","3.0","0.0","3.0","2.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1087048650407186434","https://twitter.com/fintech_ho2020/status/1087048650407186434","FINTECH RISK MANAGEMENT
Fin – Tech HO2020 project Kick-off - AGENDA https://t.co/UqqJg8EfSY","2019-01-20 18:06 +0000","685.0","24.0","0.035036496350364967","1.0","0.0","2.0","1.0","8.0","0.0","1.0","0.0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1087047549507289088","https://twitter.com/fintech_ho2020/status/1087047549507289088","Launch of the Horizon 2020 European FIN-TECH project
Aula Foscolo, Pavia, 1 February 2019 https://t.co/FY07QjZOJc","2019-01-20 18:01 +0000","672.0","39.0","0.05803571428571429","1.0","0.0","0.0","6.0","18.0","0.0","2.0","0.0","0","0","2","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1086687934399606784","https://twitter.com/fintech_ho2020/status/1086687934399606784","https://t.co/uer63j6w6f","2019-01-19 18:12 +0000","473.0","2.0","0.004228329809725159","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1086687844524060672","https://twitter.com/fintech_ho2020/status/1086687844524060672","https://t.co/0KQwdTNQSg","2019-01-19 18:12 +0000","439.0","5.0","0.011389521640091117","1.0","0.0","0.0","0.0","3.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
