""	"SYM"	"rmedio"	"volatility"	"Kmeans"	"HistDAWass"	"TADPole"	"Combi"
"30"	"ADC"	-0.00778769062321243	0.274429338031091	3	1	3	5
"31"	"ADCN"	-0.0139763800331378	1.11480018045244	1	4	2	22
"32"	"ADL"	-0.0102515255621188	0.252905148039359	3	1	3	5
"33"	"ADN"	-0.0032983347469387	0.0441286488858557	2	3	2	2
"34"	"ADST"	-0.00571300520829178	0.104101733051813	2	3	2	2
"35"	"ADT"	-0.0065143401323824	0.125086088250106	3	3	3	3
"36"	"ADX"	-0.00869756555703131	0.0873965090541416	3	3	2	4
"37"	"ADZ"	-0.00667238570609394	0.120699875481289	3	3	2	4
"38"	"AE"	-0.00302422568564781	0.0790863849384018	2	3	2	2
"39"	"AEC"	0.00113625707036333	0.300102607995511	2	1	3	8
"40"	"AEON"	-0.00814380731736242	0.0829458522007539	3	3	2	4
"41"	"AERO"	-0.00329695336904622	0.0441267170431393	2	3	3	1
"42"	"AGRS"	-0.00413050508833909	0.0655420089052716	2	3	2	2
"43"	"AGS"	-0.00329820871476565	0.0441403435161817	2	3	3	1
"44"	"AHT"	-0.00577015523888795	0.350182057022175	3	1	2	6
"45"	"AIB"	-0.00263112751484937	0.391278083015028	2	1	2	7
"46"	"AIR"	-0.00867192469127305	0.0978370271587881	3	3	1	20
"47"	"ALC"	-0.00329827936911592	0.211392508447429	2	3	2	2
"48"	"ALEX"	0.00467864994996323	0.0691932476077313	2	3	3	1
"49"	"ALF"	-0.00329884409008235	0.0441249876639039	2	3	2	2
"50"	"ALIS"	-0.00300167291985822	0.322440964989872	2	1	3	8
"51"	"ALN"	-0.00329876307599991	0.0441054035551375	2	3	2	2
"52"	"ALT"	-0.019786967027486	0.476632175730094	3	2	2	14
"53"	"ALTCOM"	-0.0208592265131844	0.210157189743153	3	3	3	3
"54"	"ALTOCAR"	-0.00880311431272029	0.100621783663012	3	3	2	4
"55"	"AM"	-0.00433407336926931	0.0829157057564888	2	3	3	1
"56"	"AMB"	-0.00546361121208126	0.092708302153907	2	3	3	1
"57"	"AMBER"	-0.0106866365428811	0.401023175726996	3	2	2	14
"58"	"AMC"	-0.0032987647137852	0.0441417216017993	2	3	2	2
"59"	"AMIS"	-0.000681147251161762	4.74979791561172	1	5	2	17
"60"	"AMM"	-0.0105463480209392	0.133852882107951	3	3	1	20
"61"	"AMP"	-0.00885153318003145	0.0864190377083136	3	3	2	4
"62"	"AMS"	-0.00540932158669671	0.299188348315323	3	1	2	6
"63"	"AMX"	-0.00329827936911592	0.0441316405612435	2	3	3	1
"64"	"AMY"	-0.00644826428542986	0.132668949593686	3	3	3	3
"65"	"ANAL"	-0.00366281929114865	0.102631445583166	2	3	2	2
"66"	"ANC"	-0.0032978596059717	0.0441281573855677	2	3	3	1
"67"	"AND"	0	0	2	2	3	9
"68"	"ANGL"	-0.0111123942722721	0.460207409783613	3	4	3	13
"69"	"ANI"	0.000910691029679348	0.269322645211694	2	1	3	8
"70"	"ANT"	-0.00603596999373808	0.075841033052075	2	3	3	1
"71"	"ANTI"	-0.0110262127819364	0.233726089003849	3	1	3	5
"72"	"APC"	-0.00238189925303741	0.238421550342043	2	1	3	8
"73"	"APEX"	-0.00329913494892821	0.0441611391684212	2	3	3	1
"74"	"APT"	-0.00665529640407969	0.0873746479989648	3	3	3	3
"75"	"APX"	-0.0088206408984228	0.0904762718197533	3	3	3	3
"76"	"AQUA"	-0.00329609270198267	0.0441165337515093	2	3	3	1
"77"	"ARB"	-0.000927291940209214	0.513778009899891	2	4	3	16
"78"	"ARC"	0	0	2	2	3	9
"79"	"ARC*"	-0.00484963826928462	0.240010865197127	2	1	3	8
"80"	"ARCH"	-0.00329888584252581	0.0441304476488494	2	3	3	1
"81"	"ARCO"	0.00604325335990596	0.126713983156855	2	3	2	2
"82"	"ARDR"	-0.00941887094899278	0.0833383371439456	3	3	2	4
"83"	"ARENA"	-0.00761348993159888	0.13272539239995	3	1	2	6
"84"	"ARG"	0.00566249418678618	0.177888437872782	2	3	2	2
"85"	"ARGUS"	-4.36727115963247e-05	0.348024369755056	2	1	3	8
"86"	"ARI"	-0.00734604656070895	0.136254809030609	3	3	2	4
"87"	"ARK"	-0.00771592473263139	0.0735203808208727	3	3	3	3
"88"	"ARM"	-0.00101520097385924	0.289101728898922	2	1	3	8
"89"	"ARN"	-0.00258743919715587	0.13716234376979	2	3	3	1
"90"	"ARPA"	-0.00513465410466947	0.158188164961398	2	3	2	2
"91"	"ART"	-0.0108741740189869	0.158248967166852	3	3	2	4
"92"	"ARTE"	-0.0148349339960681	0.222744601794085	3	3	3	3
"93"	"ASAFE2"	0.000511970488955016	0.184663989716853	2	3	2	2
"94"	"ASN"	-0.00274753972273627	0.239462789488649	2	1	2	7
"95"	"AST"	-0.00769102470485768	0.101601068297031	3	3	2	4
"96"	"AST*"	-0.00575219959636545	0.172108541164697	3	3	2	4
"97"	"ASTRO"	-0.00753833658655117	0.753045188224963	3	4	2	12
"98"	"ATB"	-0.0110238635349517	0.278884056880566	3	1	2	6
"99"	"ATCC"	-0.0103477536382376	0.163054956542082	3	1	2	6
"100"	"ATL"	-0.00717426669384485	0.154754400561928	3	3	2	4
"101"	"ATM*"	-0.00741824118805277	0.249203326878519	3	1	3	5
"102"	"ATOM"	-0.0100789056123332	0.32589961446382	3	1	2	6
"103"	"ATS"	-0.00819476687201737	0.170625121556189	3	3	2	4
"104"	"ATT"	-0.00449978691679635	0.0579887711614155	2	3	3	1
"105"	"ATX"	-0.00464437143213549	0.55035095970829	3	4	3	13
"106"	"AUA"	-0.0137220096627955	0.294099652269161	3	1	2	6
"107"	"AUD"	-7.8377683666235e-05	0.010233949383344	2	3	3	1
"108"	"AUR"	-0.0107499453289772	0.317964796346147	3	1	2	6
"109"	"AURS"	0	0	2	2	2	10
