Date,BTC,ETH,XRP,USDT,BCH,LTC,BNB,EOS,XLM,TRX
09/13/2017,3882.59,277.11,0.2,1,503.61,61.73,0.93,0.72,0.01,1.99E-03
09/14/2017,3154.95,213.91,0.16,1,367.04,41.58,0.67,0.6,0.01,1.43E-03
09/15/2017,3637.52,250.46,0.18,1.01,424.02,48.21,0.79,0.66,0.01,1.80E-03
09/16/2017,3625.04,246.52,0.17,1,440.22,48.26,0.8,0.62,0.01,1.83E-03
09/17/2017,3582.88,251.75,0.17,1.01,419.86,48.49,0.78,0.64,0.01,3.32E-03
09/18/2017,4065.2,293.5,0.18,1,479.32,55.53,0.9,0.7,0.01,3.26E-03
09/19/2017,3924.97,282.8,0.18,1,527.88,52.84,0.8,0.65,0.01,2.29E-03
09/20/2017,3905.95,283.74,0.18,1,476.05,51.73,0.74,0.61,0.01,2.65E-03
09/21/2017,3631.04,258.58,0.17,1,416.26,46.61,0.7,0.54,0.01,2.08E-03
09/22/2017,3630.7,264.31,0.17,1,415.09,48.09,0.71,0.56,0.01,1.95E-03
09/23/2017,3792.4,286.17,0.17,1,428.5,49.27,0.77,0.57,0.01,2.35E-03
09/24/2017,3682.84,282.48,0.17,1,421.03,47.62,0.78,0.54,0.01,2.25E-03
09/25/2017,3926.07,292.33,0.18,1,445.8,51.58,0.91,0.57,0.01,1.78E-03
09/26/2017,3892.35,287.44,0.18,1,441.83,51.55,0.86,0.56,0.01,1.74E-03
09/27/2017,4200.67,306.47,0.2,1,457.31,56.28,1.14,0.63,0.01,2.56E-03
09/28/2017,4174.73,299.15,0.19,1,447.81,54.09,1.38,0.81,0.01,2.91E-03
09/29/2017,4163.07,291.47,0.19,0.99,436.77,52.62,1.27,0.71,0.01,1.98E-03
09/30/2017,4338.71,301.46,0.19,0.99,432.63,55.14,1.28,0.72,0.01,2.26E-03
10/01/2017,4403.74,302.34,0.2,0.99,415.15,54.54,1.53,0.7,0.01,1.85E-03
10/02/2017,4409.32,297.48,0.2,1,421.19,53.38,1.96,0.65,0.01,2.80E-03
10/03/2017,4317.48,292.46,0.2,1,404.18,52.35,1.82,0.63,0.01,2.45E-03
10/04/2017,4229.36,292.66,0.21,1,358.45,51.4,1.6,0.6,0.01,3.25E-03
10/05/2017,4328.41,295.86,0.23,1,355.75,51.67,1.68,0.6,0.01,3.32E-03
10/06/2017,4370.81,308.59,0.23,1,363.01,52.12,1.58,0.59,0.01,3.00E-03
10/07/2017,4426.89,311.12,0.23,0.99,360.78,52.58,1.58,0.58,0.02,2.46E-03
10/08/2017,4610.48,308.61,0.27,0.99,342.21,53.14,1.22,0.6,0.01,2.53E-03
10/09/2017,4772.02,297.39,0.25,0.99,314.16,50.16,1.4,0.55,0.01,2.18E-03
10/10/2017,4781.99,299.87,0.26,0.99,321.59,50.72,1.39,0.55,0.01,2.23E-03
10/11/2017,4826.48,303.46,0.26,0.99,314.9,50.89,1.43,0.61,0.01,2.47E-03
10/12/2017,5446.91,304.14,0.24,0.99,313.21,60.11,1.34,0.59,0.01,2.35E-03
10/13/2017,5647.21,338.76,0.26,1,321.46,59.43,1.44,0.58,0.01,2.11E-03
10/14/2017,5831.79,339.63,0.25,0.99,321.96,63.95,1.54,0.58,0.01,2.39E-03
10/15/2017,5678.19,336.6,0.26,0.99,314.95,65.47,1.56,0.57,0.01,2.29E-03
10/16/2017,5725.59,333.38,0.25,0.99,313.64,64.62,1.44,0.56,0.03,2.16E-03
10/17/2017,5605.51,317.08,0.23,0.99,371.73,59.48,1.39,0.55,0.04,1.94E-03
10/18/2017,5590.69,314.32,0.21,1,339.17,60.73,1.33,0.54,0.03,2.10E-03
10/19/2017,5708.52,308.09,0.21,1,330.81,59.74,1.28,0.56,0.03,1.92E-03
10/20/2017,6011.45,304.01,0.21,1,327.44,60.33,1.24,0.54,0.02,1.94E-03
10/21/2017,6031.6,300.19,0.21,1,323.36,58.2,1.25,0.52,0.03,2.30E-03
10/22/2017,6008.42,295.45,0.2,1,331.66,56.81,1.21,0.51,0.03,2.58E-03
10/23/2017,5930.32,286.95,0.19,0.99,315.6,54.92,1.18,0.49,0.03,2.43E-03
10/24/2017,5526.64,298.33,0.2,1,326.89,55.96,1.25,0.51,0.03,2.63E-03
10/25/2017,5750.8,297.92,0.2,1,332.13,56.49,1.25,0.5,0.03,3.03E-03
10/26/2017,5904.83,296.53,0.2,0.99,338.2,55.74,1.21,0.51,0.03,2.84E-03
10/27/2017,5780.9,297.42,0.2,1,367.57,55.33,1.17,0.52,0.03,3.05E-03
10/28/2017,5753.09,296.3,0.2,1,423.35,54.69,1.15,0.53,0.03,3.00E-03
10/29/2017,6153.85,305.09,0.2,1,451.92,57.11,1.24,0.66,0.03,2.96E-03
10/30/2017,6130.53,307.75,0.2,1,448.23,56.39,1.31,0.71,0.03,2.78E-03
10/31/2017,6468.4,305.88,0.2,1,439.05,55.75,1.31,0.78,0.02,2.81E-03
11/01/2017,6767.31,291.69,0.19,1,531.83,53.18,1.26,1.05,0.02,2.51E-03
11/02/2017,7078.5,287.43,0.2,1,587.22,54.74,1.3,1.12,0.02,2.31E-03
11/03/2017,7207.76,305.71,0.2,1.01,625.32,56.18,1.46,1.21,0.02,2.23E-03
11/04/2017,7379.95,300.47,0.2,1,620.45,55.04,1.64,1.12,0.02,2.13E-03
11/05/2017,7407.41,296.26,0.2,0.99,630.7,54.75,1.52,1.09,0.02,2.22E-03
11/06/2017,7022.76,298.89,0.2,1,602.65,55.17,1.57,0.91,0.02,2.13E-03
11/07/2017,7144.38,294.66,0.21,1.01,616.3,61.3,1.81,0.95,0.03,2.18E-03
11/08/2017,7459.69,309.07,0.21,1.01,622.46,62.57,2.03,1.13,0.03,2.34E-03
11/09/2017,7143.58,320.88,0.21,1.01,654.3,64.27,1.99,1.18,0.03,2.34E-03
11/10/2017,6618.14,299.25,0.2,1.01,1007.42,59.26,1.8,1.03,0.03,2.01E-03
11/11/2017,6357.6,314.68,0.21,1.01,1340.45,62.3,1.67,1.16,0.03,2.00E-03
11/12/2017,5950.07,307.91,0.19,1.01,1388.86,59.01,1.52,1.09,0.02,1.78E-03
11/13/2017,6559.49,316.72,0.2,1.01,1353.99,61.4,1.69,1.18,0.03,2.11E-03
11/14/2017,6635.75,337.63,0.2,1.01,1273.53,62.68,1.59,1.67,0.03,2.49E-03
11/15/2017,7315.54,333.36,0.21,1,1212.4,63.82,1.53,1.67,0.03,2.32E-03
11/16/2017,7871.69,330.92,0.22,1,900.78,71.06,1.58,1.65,0.03,2.21E-03
11/17/2017,7708.99,332.39,0.22,1,1185.48,67.57,1.51,1.75,0.03,1.98E-03
11/18/2017,7790.15,347.61,0.22,1,1254.53,69.64,1.67,1.93,0.03,2.03E-03
11/19/2017,8036.49,354.39,0.23,1,1172.05,71.59,1.61,1.88,0.03,2.00E-03
11/20/2017,8200.64,366.73,0.23,1,1236.01,72.25,1.62,1.99,0.03,2.13E-03
11/21/2017,8071.26,360.4,0.23,0.99,1176.97,70.03,1.57,1.9,0.03,2.14E-03
11/22/2017,8253.55,380.65,0.23,1,1303.31,71.89,1.61,1.89,0.04,2.30E-03
11/23/2017,8038.77,410.17,0.24,0.99,1683.81,73.22,1.55,1.89,0.04,2.11E-03
11/24/2017,8253.69,474.91,0.24,1,1648.51,77.97,1.72,1.88,0.04,2.03E-03
11/25/2017,8790.92,466.28,0.25,1.01,1571.27,88.82,1.87,2.05,0.04,2.05E-03
11/26/2017,9330.55,471.33,0.24,1.01,1735.66,85.93,1.85,2.46,0.04,2.14E-03
11/27/2017,9818.35,480.36,0.25,1,1622.57,91.6,1.94,2.86,0.05,2.06E-03
11/28/2017,10058.8,472.9,0.29,1,1546.18,96.03,1.92,2.75,0.08,2.31E-03
11/29/2017,9888.61,427.52,0.24,0.99,1359.71,85.57,1.75,2.71,0.06,2.07E-03
11/30/2017,10233.6,447.11,0.25,1.01,1389.78,88.33,2,2.85,0.07,2.24E-03
12/01/2017,10975.6,466.54,0.25,1.01,1462.68,99,2.07,3.24,0.08,2.12E-03
12/02/2017,11074.6,463.45,0.25,0.99,1434.98,100.28,2.08,3.92,0.09,2.07E-03
12/03/2017,11323.2,465.85,0.25,1,1559.93,101.26,2.23,3.61,0.08,2.12E-03
12/04/2017,11657.2,470.2,0.25,1,1576.92,104.24,2.49,4.03,0.09,2.14E-03
12/05/2017,11916.7,463.28,0.24,1,1501.85,102.4,2.6,4.24,0.12,2.09E-03
12/06/2017,14291.5,428.59,0.23,1.01,1430.1,100.35,2.59,4.55,0.15,3.06E-03
12/07/2017,17899.7,434.41,0.22,1.03,1330.93,98.29,2.78,3.99,0.13,4.28E-03
12/08/2017,16569.4,456.03,0.25,1.02,1464.13,124.85,2.83,4.29,0.13,4.39E-03
12/09/2017,15178.2,473.5,0.24,1.02,1410.06,155.24,2.61,4.06,0.13,4.47E-03
12/10/2017,15455.4,441.72,0.23,1.02,1323.07,148.66,2.48,3.77,0.11,4.41E-03
12/11/2017,16936.8,515.14,0.25,1.02,1423.38,214.2,2.71,4.36,0.14,5.28E-03
12/12/2017,17415.4,651.43,0.37,1.08,1615.03,316.16,2.68,5.3,0.15,7.61E-03
12/13/2017,16408.2,702.77,0.47,1.03,1607.65,302.6,2.78,7.3,0.14,0.01
12/14/2017,16564,695.82,0.86,1.01,1966.14,279.33,3.16,8.4,0.18,0.01
12/15/2017,17706.9,684.45,0.75,1.02,1815.43,299.78,4,8.13,0.19,0.01
12/16/2017,19497.4,696.21,0.75,1.01,1801.88,298.97,4.66,8.61,0.23,0.03
12/17/2017,19140.8,719.97,0.72,1.01,1862.88,318.72,5.76,8.22,0.26,0.03
12/18/2017,19114.2,794.65,0.77,1.01,2196.64,358.34,5.62,9.21,0.27,0.04
12/19/2017,17776.7,826.82,0.79,1.01,2805.89,350.25,5.79,12.38,0.26,0.04
12/20/2017,16624.6,819.09,0.77,1,3923.07,314.62,5.18,11.99,0.25,0.04
12/21/2017,15802.9,821.06,1.19,1.01,3267.17,317.46,5.18,10.6,0.25,0.04
12/22/2017,13831.8,674.86,1.14,1.02,2696.69,264.93,4.34,7.84,0.21,0.03
12/23/2017,14699.2,719.39,1.17,1.05,3257.08,288.27,4.84,8.48,0.23,0.05
12/24/2017,13925.8,694.15,1.04,1.02,2903.12,275.98,5.29,8.14,0.22,0.03
12/25/2017,14026.6,765.83,1.12,1.01,2954.69,273.39,6.56,9.77,0.22,0.03
12/26/2017,16099.8,773.84,1.19,1,3108.89,286.5,9.03,9.82,0.22,0.03
12/27/2017,15838.5,762.84,1.4,1,2889.52,272.17,10.11,10.56,0.22,0.03
12/28/2017,14606.5,737.02,1.43,1.01,2566.64,249.93,9.32,9.57,0.22,0.04
12/29/2017,14656.2,753.59,2.21,1.01,2779.95,245.5,8.81,9.44,0.32,0.03
12/30/2017,12952.2,717.26,2.16,1.02,2392.41,218.96,7.84,8.56,0.32,0.03
12/31/2017,14156.4,756.73,2.3,1.01,2533.01,232.1,8.64,8.77,0.36,0.04
01/01/2018,13657.2,772.64,2.39,1.01,2432.54,229.03,8.41,8.84,0.48,0.05
01/02/2018,14982.1,884.44,2.48,1,2711,255.68,8.84,9.33,0.56,0.07
01/03/2018,15201,962.72,3.11,1.01,2608.69,245.37,9.54,10.23,0.89,0.09
01/04/2018,15599.2,980.92,3.2,1,2430.18,241.37,9.21,11.28,0.72,0.2
01/05/2018,17429.5,997.72,3.05,0.99,2584.48,249.27,14.92,10.84,0.66,0.22
01/06/2018,17527,1041.68,3.09,1.01,2786.65,296.45,22.76,12.58,0.7,0.17
01/07/2018,16477.6,1153.17,3.38,1,2786.88,288.45,18.66,12.52,0.69,0.19
01/08/2018,15170.1,1148.53,2.46,1.01,2421.47,255.76,18.26,9.69,0.62,0.15
01/09/2018,14595.4,1299.74,2.1,1.01,2391.56,247.04,17.41,9.33,0.58,0.12
01/10/2018,14973.3,1255.82,1.97,1,2895.38,250.52,17.39,11.34,0.56,0.12
01/11/2018,13405.8,1154.93,1.95,1,2462.61,229.37,21.04,11.35,0.55,0.1
01/12/2018,13980.6,1273.2,2.04,1.01,2620.99,236.86,22.32,13.75,0.67,0.1
01/13/2018,14360.2,1396.42,2.02,1,2685.29,259.19,22.17,16.23,0.67,0.1
01/14/2018,13772,1366.77,1.86,1.02,2553.32,238.68,20.78,13.44,0.63,0.08
01/15/2018,13819.8,1291.92,1.68,1.01,2401.54,232.77,19.56,12.94,0.59,0.07
01/16/2018,11490.5,1053.69,1.18,1.03,1772.07,188.33,13.89,10.28,0.44,0.05
01/17/2018,11188.6,1014.25,1.31,1.01,1748.05,186.52,14.2,10.19,0.47,0.07
01/18/2018,11474.9,1036.28,1.6,1.02,1756.75,192.84,14.28,10.51,0.5,0.08
01/19/2018,11607.4,1039.1,1.55,1,1769.62,192.96,14.94,11.18,0.5,0.08
01/20/2018,12899.2,1155.15,1.58,1,2032.12,211.02,16.19,15.52,0.53,0.08
01/21/2018,11600.1,1049.58,1.38,0.99,1776.64,190.42,14.07,13.44,0.46,0.07
01/22/2018,10931.4,1003.26,1.36,1.01,1621.92,180.01,13.01,13.66,0.48,0.07
01/23/2018,10868.4,986.23,1.34,1.01,1621.46,177.81,13.09,12.97,0.48,0.06
01/24/2018,11359.4,1058.78,1.36,0.99,1639.13,179.99,13.63,13.83,0.56,0.07
01/25/2018,11259.4,1056.03,1.31,0.99,1642.12,180.27,13.23,14.31,0.6,0.06
01/26/2018,11171.4,1055.17,1.22,1,1603.9,176.73,13.22,14.34,0.63,0.06
01/27/2018,11440.7,1107.07,1.22,0.99,1628.63,180.89,13.25,14.27,0.61,0.06
01/28/2018,11786.3,1246.01,1.4,0.98,1746.25,193.87,13.54,15.02,0.63,0.06
01/29/2018,11296.4,1182.36,1.32,0.99,1657.14,181.66,12.76,14.01,0.58,0.06
01/30/2018,10106.3,1071.13,1.14,0.98,1470.55,165.28,11.25,11.56,0.48,0.05
01/31/2018,10221.1,1118.31,1.16,0.99,1486.89,163.35,11.15,12.2,0.53,0.05
02/01/2018,9170.54,1036.79,0.96,0.98,1274.35,142.3,9.52,10.21,0.45,0.04
02/02/2018,8830.75,915.78,0.88,0.99,1191.14,131.38,9.65,9.79,0.4,0.04
02/03/2018,9174.91,964.02,0.92,1,1272.5,160.25,9.75,9.84,0.43,0.04
02/04/2018,8277.01,834.68,0.81,1.01,1165.38,148.02,8.46,8.61,0.37,0.03
02/05/2018,6955.27,697.95,0.69,0.99,887.41,125.33,6.71,7.06,0.33,0.03
02/06/2018,7754,793.12,0.77,1.01,974.53,142.99,8.29,8.34,0.37,0.03
02/07/2018,7621.3,757.07,0.72,1,957.96,138.2,8.1,7.61,0.34,0.03
02/08/2018,8265.59,817.81,0.8,1.02,1284.56,149.47,8.6,8.51,0.36,0.03
