Date,MSW,glasso,equally.weighted,?=0,?=0.005,?=0.025,?=0.05,?=0.15,?=0.7,?=1,emp
01/05/2018,100.6794975,106.887529,106.1455467,103.9034073,102.4573713,99.49628073,99.32457778,102.1952062,104.0904854,104.0904854,101.6959704
01/06/2018,107.287604,115.9980429,113.6029333,110.2437522,108.9069671,102.1533114,99.71647861,95.43999088,92.18614434,92.18614434,106.2340668
01/07/2018,107.2083646,115.4834614,113.4422171,109.426425,109.036406,103.7413022,101.404991,98.81550775,96.67133563,96.67133563,103.9870307
01/08/2018,97.68083434,99.87954211,98.96058479,93.00176254,92.85043345,88.6338768,88.05921443,87.15984764,86.11618756,86.11618756,104.522627
01/09/2018,97.10564294,95.16676929,94.05567053,86.55469222,86.33010296,82.50936545,82.27588296,79.29401899,76.82267962,76.82267962,104.0544223
01/10/2018,95.80104611,98.04418175,96.7019465,88.57107004,88.16904803,85.20604726,85.91866764,80.6082653,76.42795838,76.42795838,103.0070674
01/11/2018,86.24803739,94.26886659,92.21923261,86.66412697,87.7145013,83.16566688,82.59696849,75.10120113,69.68887518,69.68887518,104.1139525
01/12/2018,93.52152759,101.6253543,99.01808715,93.7419521,94.8145601,90.6340477,91.10643089,84.73135207,83.0566705,83.0566705,106.1524227
01/13/2018,97.28232031,106.233469,102.7092221,96.95442371,98.14183565,95.62672843,98.0024626,93.78203622,96.82934001,96.82934001,105.5082724
01/14/2018,92.00648798,97.81508845,94.52420819,90.41691872,90.91894607,87.10333919,87.82135073,81.93530844,78.56480443,78.56480443,106.3700919
01/15/2018,88.17478243,92.72952155,89.34056474,86.36743281,87.3710842,84.55028967,85.63283937,80.26780497,75.58625194,75.58625194,104.4680401
01/16/2018,65.83655366,69.63974201,67.5400255,65.88333651,66.52791289,64.2073059,66.03725357,63.34775041,58.19211469,58.19211469,101.201475
01/17/2018,65.69799839,71.51227113,70.32628802,66.6058145,67.14137869,64.17660505,65.48475189,62.31129683,57.68040741,57.68040741,99.58183916
01/18/2018,68.31795261,74.9897845,74.03118584,69.22549955,69.82347785,66.66401693,67.5747525,64.08846947,59.46390508,59.46390508,100.5818323
01/19/2018,68.84406692,75.88273981,74.6052973,70.43630975,71.05151612,68.03117308,68.9382145,65.66412345,61.65456216,61.65456216,99.23036222
01/20/2018,76.39679103,84.05233346,81.50610773,78.35191372,79.09065257,76.97775254,79.0005516,76.95583234,75.69197392,75.69197392,101.3552321
01/21/2018,66.47226063,74.17414382,72.18274823,70.17091674,71.2813668,69.6079379,71.55638078,69.55420855,67.8990286,67.8990286,97.9729061
01/22/2018,62.32904387,71.95408884,70.26289384,69.53763584,71.24426812,70.11490134,72.6980991,70.85321385,69.07964605,69.07964605,98.22154993
01/23/2018,61.89649832,70.32192329,68.50527389,68.19302398,69.70751085,68.23243999,70.34659864,68.32596772,66.59422951,66.59422951,98.18746561
01/24/2018,64.42681209,74.03932373,72.24521685,71.28051845,72.73281024,71.4488125,73.82258035,71.55223104,69.15456183,69.15456183,97.18375244
01/25/2018,64.37921261,73.36766473,71.33240397,71.23297718,72.81565633,71.89151931,74.55344402,72.52980905,70.7923361,70.7923361,97.14836713
01/26/2018,63.02652932,72.86004845,70.88271531,71.72170024,73.54048346,72.64464923,75.26095901,72.92662173,71.16298843,71.16298843,97.69008644
01/27/2018,65.30829377,73.52058923,71.34674417,71.40677782,72.87425946,71.91752865,74.55083983,72.41116001,70.66985314,70.66985314,97.07124136
01/28/2018,69.06628989,77.68317028,75.0540937,73.60397758,74.41131077,73.5693623,76.32495013,74.3526516,72.57713167,72.57713167,97.32606571
01/29/2018,65.63181051,73.72090951,71.50673474,70.58440661,71.63184994,70.85290831,73.48232727,71.52221968,69.81078406,69.81078406,97.02375045
01/30/2018,65.19128264,64.23900211,62.42135381,62.36458468,63.48127361,62.7495344,64.99602629,62.93515396,61.41049143,61.41049143,93.69579281
01/31/2018,57.64768101,65.75921895,63.82767875,64.42999548,65.65271971,65.25984549,67.55950951,65.24946703,63.65915174,63.65915174,94.67341097
02/01/2018,59.02699558,56.62996576,54.90051206,57.08491426,58.44658277,58.39992719,60.37895622,57.97662272,56.54426346,56.54426346,90.84220947
02/02/2018,51.87705109,53.47106922,51.97805392,55.09564601,56.98004966,56.68739469,58.6335502,56.49150993,55.34540854,55.34540854,90.62072919
02/03/2018,48.8067957,56.1180766,54.55880975,56.27088952,57.95133237,57.65923328,59.58966556,57.18981069,55.7367588,55.7367588,92.30509605
02/04/2018,50.35315295,49.28261875,47.76524912,51.20388484,53.30154204,53.47411666,55.30966502,52.97279234,51.48394144,51.48394144,90.7359799
02/05/2018,45.5588165,41.31912206,40.52041302,44.94508839,47.49827276,47.89579025,49.35437816,46.82514101,44.93051156,44.93051156,84.5718811
02/06/2018,36.2066038,46.1862199,44.91358763,49.62779932,52.09464076,52.28833693,54.00742356,51.51697819,49.78920136,49.78920136,88.25625304
02/07/2018,40.9596021,44.23930374,43.15550931,47.27583249,49.58858898,49.5105529,51.07669342,48.6164657,46.8499957,46.8499957,87.08496498
02/08/2018,39.57140122,48.23581718,46.97082849,50.25702333,52.46513182,52.55672592,54.31851006,51.94353736,50.36809728,50.36809728,92.16772589
02/09/2018,43.12956169,52.97519087,51.86084911,53.73627419,55.98314357,55.67202705,57.43147265,54.92039162,53.25466398,53.25466398,92.08899935
02/10/2018,46.29507737,52.06479779,51.21575538,52.37325353,54.54466247,54.1261961,55.64552087,53.21252716,51.5985988,51.5985988,91.6398707
02/11/2018,46.4192768,49.39626761,48.72822654,50.04506007,52.10973064,51.6487998,53.05746655,50.73763055,49.19876546,49.19876546,90.04854276
02/12/2018,44.03824443,52.44456862,51.59280687,52.34611195,54.52765475,54.16314478,55.77124296,53.3327523,51.71517753,51.71517753,91.60347882
02/13/2018,47.30516776,51.65923221,50.82469732,52.40374765,54.63447818,54.37842503,55.8676667,53.4249601,51.80458868,51.80458868,91.521
