date;MVDA25
20141231;100
20150101;96.47
20150102;97.29
20150103;86.14
20150104;77.27
20150105;80.3
20150106;82.98
20150107;87.15
20150108;83.43
20150109;84.77
20150110;80.11
20150111;76.82
20150112;78.43
20150113;69.23
20150114;54.13
20150115;125.01
20150116;123.99
20150117;65.05
20150118;66.75
20150119;63.68
20150120;64.16
20150121;69.36
20150122;69.6
20150123;69.8
20150124;75.7
20150125;75.82
20150126;76.26
20150127;106.55
20150128;67.37
20150129;61.63
20150130;61.32
20150131;58.17
20150201;59.95
20150202;57.59
20150203;56.89
20150204;56.41
20150205;53.12
20150206;54.36
20150207;55.4
20150208;53.9
20150209;54.14
20150210;54.33
20150211;81.68
20150212;54.88
20150213;58.37
20150214;60.83
20150215;55.38
20150216;54.64
20150217;58.72
20150218;55.57
20150219;57.98
20150220;57.59
20150221;56.55
20150222;55.21
20150223;57.19
20150224;57.46
20150225;56.98
20150226;58.87
20150227;60.33
20150228;60.34
20150301;60.5
20150302;62.29
20150303;60.17
20150304;59.66
20150305;60.55
20150306;59.39
20150307;60.23
20150308;59.78
20150309;62.26
20150310;62.6
20150311;62.73
20150312;62.24
20150313;59.88
20150314;59.48
20150315;59.56
20150316;60
20150317;59.55
20150318;55.05
20150319;56.32
20150320;56.24
20150321;56.77
20150322;57.72
20150323;56.47
20150324;53.39
20150325;53.55
20150326;52.85
20150327;53.67
20150328;54.07
20150329;51.62
20150330;52.4
20150331;51.24
20150401;52.09
20150402;53.3
20150403;53.84
20150404;53.1
20150405;53.43
20150406;52.55
20150407;52.81
20150408;51.14
20150409;49.92
20150410;47.97
20150411;47.6
20150412;46.99
20150413;44.93
20150414;43.53
20150415;44.08
20150416;45.62
20150417;44.33
20150418;44.68
20150419;44.17
20150420;43.82
20150421;45.57
20150422;45.01
20150423;45.15
20150424;44.15
20150425;43.52
20150426;41.61
20150427;43.06
20150428;41.83
20150429;42.15
20150430;43.82
20150501;43.11
20150502;43.04
20150503;43.28
20150504;42.8
20150505;41.81
20150506;41.01
20150507;41.87
20150508;42.44
20150509;41.9
20150510;41.69
20150511;41.55
20150512;42.89
20150513;42.27
20150514;42.67
20150515;42.98
20150516;42.85
20150517;42.46
20150518;41.69
20150519;44.28
20150520;44.47
20150521;44.58
20150522;47.07
20150523;47.32
20150524;47.76
20150525;46.79
20150526;47.48
20150527;48.51
20150528;50.07
20150529;50.54
20150530;48.23
20150531;47.03
20150601;44.43
20150602;46.3
20150603;46.38
20150604;45.92
20150605;46.58
20150606;46.61
20150607;46.54
20150608;47.82
20150609;47.69
20150610;46.54
20150611;46.82
20150612;46.9
20150613;48.18
20150614;48.89
20150615;50.86
20150616;55.8
20150617;55.41
20150618;57.97
20150619;57.26
20150620;57.79
20150621;56.68
20150622;57.96
20150623;56.47
20150624;55.41
20150625;56.1
20150626;55.76
20150627;57.65
20150628;57.4
20150629;61.04
20150630;63.01
20150701;61.5
20150702;61.85
20150703;62.22
20150704;62.96
20150705;64.67
20150706;64.68
20150707;64.44
20150708;65.6
20150709;71.98
20150710;65.49
20150711;65.3
20150712;69.95
20150713;65.78
20150714;65.42
20150715;62.88
20150716;59.54
20150717;60.75
20150718;60.39
20150719;59.57
20150720;60.67
20150721;60.35
20150722;60.25
20150723;60.43
20150724;63.96
20150725;63.87
20150726;64.2
20150727;64.64
20150728;65.38
20150729;63.37
20150730;62.53
20150731;61.82
20150801;60.24
20150802;60.86
20150803;59.94
20150804;61.13
20150805;59.96
20150806;59.13
20150807;59.23
20150808;55.49
20150809;56.57
20150810;56.05
20150811;56.48
20150812;56.6
20150813;55.25
20150814;56.22
20150815;55.22
20150816;54.32
20150817;53.77
20150818;51.35
20150819;47.03
20150820;48.88
20150821;48.68
20150822;47.2
20150823;46.27
20150824;42.45
20150825;43.56
20150826;44.35
20150827;43.79
20150828;45
20150829;45.3
20150830;45.36
20150831;45.28
20150901;44.86
20150902;44.64
20150903;43.73
20150904;44.74
20150905;46.51
20150906;47.38
20150907;47.18
20150908;47.41
20150909;46.49
20150910;46.38
20150911;45.77
20150912;45.06
20150913;43.38
20150914;43.51
20150915;43.68
20150916;43.89
20150917;44.58
20150918;44.78
20150919;44.08
20150920;44.43
20150921;44.09
20150922;43.78
20150923;43.6
20150924;43.47
20150925;43.08
20150926;43.02
20150927;42.65
20150928;43.13
20150929;42.02
20150930;42.21
20151001;41.58
20151002;41.7
20151003;41.5
20151004;40.67
20151005;40.75
20151006;42.04
20151007;41.15
20151008;40.66
20151009;41.27
20151010;41.48
20151011;41.56
20151012;41.43
20151013;41.39
20151014;40.82
20151015;40.77
20151016;41.27
20151017;40.8
20151018;39.62
20151019;39.55
20151020;39.43
20151021;39.18
20151022;40.6
20151023;40.2
20151024;40.4
20151025;40.86
20151026;40.33
20151027;42.01
20151028;43.15
20151029;46.72
20151030;47.81
20151031;44.36
20151101;46.9
20151102;49.79
20151103;52.18
20151104;48.3
20151105;46.76
20151106;46.81
20151107;48.07
20151108;46.8
20151109;46.97
20151110;43.23
20151111;40.63
20151112;44.34
20151113;43.99
20151114;43.16
20151115;42.2
20151116;43.52
20151117;43.87
20151118;44.21
20151119;42.65
20151120;41.75
20151121;42.22
20151122;41.78
20151123;41.59
20151124;41.25
20151125;42.38
20151126;44.44
20151127;44.16
20151128;43.9
20151129;45.3
20151130;45.27
20151201;43.58
20151202;42.93
20151203;43.51
20151204;44.39
20151205;46.45
20151206;46.77
20151207;46.96
20151208;49.8
20151209;50.91
20151210;50.03
20151211;53.49
20151212;51.88
20151213;51.63
20151214;51.03
20151215;50.88
20151216;49.53
20151217;49.97
20151218;50.37
20151219;49.91
20151220;49.11
20151221;49.08
20151222;48.51
20151223;48.7
20151224;49.84
20151225;50.92
20151226;47.89
20151227;49.02
20151228;49.06
20151229;48.86
20151230;49.62
20151231;49.38
20160101;49.86
20160102;50.54
20160103;49.82
20160104;49.95
20160105;49.6
20160106;49.96
20160107;50.86
20160108;51.53
20160109;52.19
20160110;51.51
20160111;51.87
20160112;54.24
20160113;53.45
20160114;53.55
20160115;48.05
20160116;49.52
20160117;50.29
20160118;51.32
20160119;50.55
20160120;54.52
20160121;54.21
20160122;52.81
20160123;55.35
20160124;56.55
20160125;56.69
20160126;60.76
20160127;66.91
20160128;62.08
20160129;61.24
20160130;59.51
20160131;57.59
20160201;56.75
20160202;57.13
20160203;57.52
20160204;60.22
20160205;60.75
20160206;60.79
20160207;61.62
20160208;60.94
20160209;62.11
20160210;64.98
20160211;69.98
20160212;72.06
20160213;72.05
20160214;74.55
20160215;75.02
20160216;73.38
20160217;70.07
20160218;72.12
20160219;72.71
20160220;74.35
20160221;74.74
20160222;76.98
20160223;76.32
20160224;79.06
20160225;77.88
20160226;78.67
20160227;81.19
20160228;82
20160229;81.83
20160301;82.22
20160302;82.62
20160303;86.27
20160304;87.51
