date;MVDA25
20160305;90.46
20160306;95.46
20160307;97.7
20160308;101.95
20160309;104.43
20160310;105.38
20160311;106.41
20160312;108
20160313;109.17
20160314;102.36
20160315;104.52
20160316;104.07
20160317;102.64
20160318;97.9
20160319;99.58
20160320;97.82
20160321;102.72
20160322;101.92
20160323;106.14
20160324;104.93
20160325;105.34
20160326;109.29
20160327;105.26
20160328;106.92
20160329;107.08
20160330;106.15
20160331;105.66
20160401;104.76
20160402;104.5
20160403;108.7
20160404;109.34
20160405;105.46
20160406;104.81
20160407;102.36
20160408;101.04
20160409;97.44
20160410;94.21
20160411;93.36
20160412;91.58
20160413;92.42
20160414;93.44
20160415;91.89
20160416;93.37
20160417;95.55
20160418;96.18
20160419;96.81
20160420;96.79
20160421;95.71
20160422;94.25
20160423;96.18
20160424;95.46
20160425;92.25
20160426;91.72
20160427;91.22
20160428;90.26
20160429;91.79
20160430;92.62
20160501;92.82
20160502;93.99
20160503;93.04
20160504;92.03
20160505;92.42
20160506;92.48
20160507;92.45
20160508;92.48
20160509;91.01
20160510;90.12
20160511;91.36
20160512;91.57
20160513;91.82
20160514;92.05
20160515;91.86
20160516;93.06
20160517;93.48
20160518;95.02
20160519;96.48
20160520;96.42
20160521;97.21
20160522;96.7
20160523;95.78
20160524;92.98
20160525;92.35
20160526;90.72
20160527;90.31
20160528;92.62
20160529;94.42
20160530;98.11
20160531;99.22
20160601;101.27
20160602;101.25
20160603;104.07
20160604;104.76
20160605;105.6
20160606;105.57
20160607;106.46
20160608;108.22
20160609;109.66
20160610;109.02
20160611;108.99
20160612;113.49
20160613;121.36
20160614;124.94
20160615;125.28
20160616;137.9
20160617;129.37
20160618;127.39
20160619;134.46
20160620;133.74
20160621;123.8
20160622;117.75
20160623;123.19
20160624;132.89
20160625;134.52
20160626;130.32
20160627;144.41
20160628;148.78
20160629;143.78
20160630;149.68
20160701;149.35
20160702;151.22
20160703;149
20160704;152.15
20160705;146.1
20160706;147.65
20160707;140.08
20160708;146.03
20160709;143.77
20160710;144.7
20160711;147.66
20160712;150.94
20160713;150.91
20160714;151.81
20160715;157.38
20160716;155.58
20160717;153.9
20160718;152.18
20160719;152.34
20160720;151.93
20160721;154.31
20160722;155.47
20160723;158.96
20160724;154.08
20160725;155.64
20160726;151.22
20160727;150.74
20160728;151.18
20160729;153.48
20160730;154.35
20160731;147.25
20160801;145.07
20160802;124.9
20160803;137.08
20160804;141.67
20160805;143.44
20160806;146.94
20160807;144.07
20160808;144.61
20160809;146.29
20160810;145.78
20160811;145.23
20160812;150.1
20160813;148.15
20160814;147.54
20160815;145.46
20160816;146.73
20160817;147.19
20160818;147.99
20160819;148.76
20160820;149.65
20160821;150.07
20160822;155
20160823;154
20160824;154.29
20160825;152.98
20160826;152.43
20160827;151.84
20160828;164.71
20160829;166.71
20160830;164.48
20160831;162.7
20160901;161.82
20160902;163.15
20160903;163.72
20160904;166.37
20160905;167.24
20160906;166
20160907;166.11
20160908;166.07
20160909;166.51
20160910;168.08
20160911;162.24
20160912;164.91
20160913;164.65
20160914;165.34
20160915;167.23
20160916;165.11
20160917;165.64
20160918;164.1
20160919;164.41
20160920;166.78
20160921;162.95
20160922;161.72
20160923;163.74
20160924;164.41
20160925;164.86
20160926;161.33
20160927;162.35
20160928;163.13
20160929;160.83
20160930;161.48
20161001;156.19
20161002;158
20161003;157.03
20161004;156.04
20161005;154.09
20161006;154.77
20161007;151.73
20161008;151.87
20161009;152.14
20161010;149.39
20161011;151.75
20161012;150.17
20161013;150.68
20161014;150.02
20161015;148.67
20161016;149.04
20161017;147.77
20161018;149.87
20161019;148.62
20161020;149.42
20161021;149.38
20161022;151
20161023;150.19
20161024;151.14
20161025;149.24
20161026;150.25
20161027;148.12
20161028;144.2
20161029;140.45
20161030;145.8
20161031;142.1
20161101;141.43
20161102;143.42
20161103;140.23
20161104;144.85
20161105;151.11
20161106;149.8
20161107;149.21
20161108;149.39
20161109;147.23
20161110;147.55
20161111;149.19
20161112;148.96
20161113;147.85
20161114;147.67
20161115;146.53
20161116;143.62
20161117;142.56
20161118;140.91
20161119;141.58
20161120;139.22
20161121;140.81
20161122;142.07
20161123;140.4
20161124;137.86
20161125;139.53
20161126;138.61
20161127;139.41
20161128;138.84
20161129;137.06
20161130;138.57
20161201;137.38
20161202;135.67
20161203;137.33
20161204;135.97
20161205;131.59
20161206;132.74
20161207;137.44
20161208;137.54
20161209;138.78
20161210;136.53
20161211;137.42
20161212;138.33
20161213;138.54
20161214;138.7
20161215;138.49
20161216;141.04
20161217;138.42
20161218;142.38
20161219;143.25
20161220;142.29
20161221;142.96
20161222;142.99
20161223;144.99
20161224;145.54
20161225;145.87
20161226;147.13
20161227;148.73
20161228;153.34
20161229;160.53
20161230;162.26
20161231;163.59
20170101;162.21
20170102;167.04
20170103;173.23
20170104;190.41
20170105;172.91
20170106;161.13
20170107;159.64
20170108;163.22
20170109;163.07
20170110;166.24
20170111;149.25
20170112;153.87
20170113;155.75
20170114;157.77
20170115;158.12
20170116;158.74
20170117;166.12
20170118;164.43
20170119;167.4
20170120;167.08
20170121;171.08
20170122;170.43
20170123;171.83
20170124;165.96
20170125;166.66
20170126;170.26
20170127;170.71
20170128;172.12
20170129;172.89
20170130;175.68
20170131;177.34
20170201;178.69
20170202;181.51
20170203;183.58
20170204;186.79
20170205;183.52
20170206;185.76
20170207;188.62
20170208;189.26
20170209;177.05
20170210;180.29
20170211;182.91
20170212;180.84
20170213;179.45
20170214;187.63
20170215;188.34
20170216;188.46
20170217;188.64
20170218;185.85
20170219;186.52
20170220;184.01
20170221;184.63
20170222;185.29
20170223;193.61
20170224;188.77
20170225;188.13
20170226;192.95
20170227;195.68
20170228;199.49
20170301;207.39
20170302;214.7
20170303;221.79
20170304;218.46
20170305;223.46
20170306;227.76
20170307;222.34
20170308;203.32
20170309;213.14
20170310;209.29
20170311;232.97
20170312;248.2
20170313;268.32
20170314;273.82
20170315;295.87
20170316;312.81
20170317;298.49
20170318;282.53
20170319;314.84
20170320;318.62
20170321;325.51
20170322;323.54
20170323;333.95
20170324;337.63
20170325;330.22
20170326;341
20170327;332.48
20170328;346.7
20170329;359.87
20170330;379.86
20170331;399.06
20170401;407.82
20170402;437.87
20170403;415.27
20170404;420.06
20170405;428.92
20170406;420.21
20170407;416.32
20170408;430.38
20170409;424.24
20170410;432.47
20170411;429.3
20170412;451.06
20170413;455.09
20170414;454.56
20170415;472.41
20170416;474.1
20170417;481.28
20170418;494.14
20170419;494.03
20170420;488.19
20170421;504.77
20170422;505.6
20170423;513.29
20170424;524.87
20170425;529.09
20170426;559.17
20170427;593.49
20170428;627.56
20170429;664.27
20170430;691.81
20170501;687.56
20170502;689.7
20170503;725.05
20170504;793.39
20170505;821.56
20170506;891.29
20170507;982.29
20170508;1055.69
20170509;963.63
20170510;1025.49
20170511;1040.84
20170512;1036.49
20170513;1051.67
20170514;1072.26
20170515;1088.22
20170516;1130.7
20170517;1197.07
20170518;1308.64
20170519;1390.38
20170520;1471.13
20170521;1582.36
20170522;1593.08
20170523;1815.83
20170524;1886.15
20170525;1640.42
20170526;1576
20170527;1428.43
20170528;1564.77
20170529;1652.8
20170530;1665.5
20170531;1743.81
20170601;1878.1
20170602;2009.71
20170603;2053.44
20170604;2114.68
20170605;2273.07
20170606;2386.51
20170607;2249.58
20170608;2382.25
20170609;2447.62
20170610;2460.48
20170611;2620.21
20170612;2435.25
20170613;2573.33
20170614;2305.21
20170615;2287.67
20170616;2354.64
20170617;2555.73
20170618;2427.55
20170619;2566.97
20170620;2601.98
20170621;2441.22
20170622;2488.1
20170623;2519.06
20170624;2365.03
20170625;2217.21
20170626;2067.13
20170627;2191.64
20170628;2274.75
20170629;2170.67
20170630;2095.29
20170701;1990.03
20170702;2100.94
20170703;2140.37
20170704;2183.1
20170705;2178.98
20170706;2166.2
20170707;1942.38
20170708;2006.19
20170709;1905.55
20170710;1628.55
20170711;1557.87
20170712;1792.21
20170713;1687.98
20170714;1580.12
20170715;1395.15
20170716;1318.49
20170717;1572.95
20170718;1677.63
20170719;1561.39
20170720;1876
20170721;1831.05
20170722;2021.98
20170723;1961.67
20170724;1962.11
20170725;1764.39
20170726;1773.43
20170727;1801.99
20170728;1749.27
20170729;1788.25
20170730;1719.6
20170731;1760.87
20170801;1869.26
20170802;1959.25
20170803;2007.29
20170804;1950.25
20170805;2118.05
20170806;2138.46
20170807;2240.41
20170808;2350.38
20170809;2297.15
20170810;2314.81
20170811;2405.22
20170812;2407.3
20170813;2381.83
20170814;2459.42
20170815;2392.81
20170816;2509.87
20170817;2468.98
20170818;2455.15
20170819;2416.69
20170820;2574.61
20170821;2575.37
20170822;2565.07
20170823;2724.6
20170824;2696.74
20170825;2810.49
20170826;2929.03
20170827;2985.02
20170828;2993.42
20170829;3042.25
20170830;3106.21
20170831;3237.53
20170901;3368.67
20170902;3025.41
20170903;3013.48
20170904;2559.84
20170905;2743.06
20170906;3003
20170907;3065.36
20170908;2819.81
20170909;2759.6
20170910;2685.29
20170911;2727.49
20170912;2752.74
20170913;2504.48
20170914;2108.02
20170915;2176
20170916;2201.31
20170917;2258.5
20170918;2446.77
20170919;2440.49
20170920;2431.25
20170921;2188.33
20170922;2120.13
20170923;2276.34
20170924;2250.55
20170925;2385.49
20170926;2401.94
20170927;2540.84
20170928;2546.92
20170929;2523.28
20170930;2576.78
20171001;2540.86
20171002;2520.36
20171003;2416.31
20171004;2409.69
20171005;2442.67
20171006;2487.61
20171007;2464.42
20171008;2497.76
20171009;2420.07
20171010;2462.76
20171011;2480.45
20171012;2508.26
20171013;2599.25
20171014;2650.48
20171015;2544.33
20171016;2644.55
20171017;2621.63
20171018;2513.12
20171019;2562.55
20171020;2574.35
20171021;2474.29
20171022;2497.9
20171023;2417.56
20171024;2581.6
20171025;2479.96
20171026;2525.26
20171027;2513.64
20171028;2477.49
20171029;2567.37
20171030;2580.91
20171031;2597.54
20171101;2541.79
20171102;2496.42
20171103;2689.26
20171104;2703.06
20171105;2677.47
20171106;2714.37
20171107;2668.73
20171108;2855.44
20171109;3062.2
20171110;2984.39
20171111;3142.96
20171112;3178.93
20171113;3199.68
20171114;3318.1
20171115;3379.73
20171116;3443.8
20171117;3499.26
20171118;3643.36
20171119;3707.68
20171120;3811.85
20171121;3803.84
20171122;3854.09
20171123;4035.4
20171124;4113.54
20171125;4363.16
20171126;4383.23
20171127;4605.81
20171128;4952.06
20171129;5104.4
20171130;4461.97
20171201;5074.59
20171202;5182.42
20171203;5631.29
20171204;5712.07
20171205;5982.27
20171206;6324.36
20171207;5998.03
20171208;6538.49
20171209;6748.86
20171210;6548.18
20171211;7035.94
20171212;8183.49
20171213;8472.51
20171214;8726
20171215;9195.45
20171216;9544.86
20171217;10459.54
20171218;11001.84
20171219;12316.17
20171220;11897.75
20171221;11893.95
20171222;9164.12
20171223;11288.21
20171224;9807.74
20171225;10670.75
20171226;10867.52
20171227;10645.55
20171228;10264.86
20171229;11635.12
20171230;10784.09
20171231;12275.06
20180101;12004.36
20180102;13561.53
20180103;14988.93
20180104;16720.04
20180105;15483.61
20180106;16254.99
20180107;16650.68
20180108;15579.29
20180109;15907.83
20180110;15243.28
20180111;14824.35
20180112;14962.85
20180113;16069.65
20180114;14966.09
20180115;15649.99
20180116;12583.36
20180117;10194.67
20180118;12765.03
20180119;12574.35
20180120;13712.36
20180121;11873.86
20180122;11081
20180123;11999.46
20180124;11766.56
20180125;11804.88
20180126;11879.21
20180127;12347.23
20180128;12631.44
20180129;12266.5
20180130;11218.61
20180131;10806.96
20180201;9513.5
20180202;9458.79
20180203;9769.72
20180204;8693.91
20180205;7212.51
20180206;7124.46
20180207;8047.73
20180208;8359.87
20180209;8832.96
20180210;8674.01
20180211;8692.85
20180212;8963.89
20180213;8861.11
20180214;9751.49
20180215;10172.32
20180216;10343.83
20180217;10894.75
20180218;10333.77
20180219;10670.5
20180220;10731.03
20180221;9484.88
20180222;8963.24
20180223;9268.88
20180224;9064.69
20180225;8867.62
20180226;9418.96
20180227;9598.38
20180228;9321.74
20180301;9500.92
20180302;9332.94
20180303;9526.25
20180304;9443.78
20180305;9663.71
20180306;9050.26
20180307;8038.42
20180308;7796.98
20180309;7183.12
20180310;7835.75
20180311;7614.51
20180312;7516.21
20180313;7566.63
20180314;6889.65
20180315;6421.83
20180316;6766.15
20180317;6172.24
20180318;5381.67
20180319;6459.3
20180320;6934.35
20180321;6922.1
20180322;6660.69
20180323;6689.7
20180324;6938.73
20180325;6685.87
20180326;6164.49
20180327;6193.03
20180328;5951.75
20180329;5625.08
20180330;5062.76
20180331;5401.5
20180401;5062.54
20180402;5245.08
20180403;5582.01
20180404;5161.97
20180405;5075.49
20180406;4964.18
20180407;5251.4
20180408;5260.9
20180409;5130.79
20180410;5241.63
20180411;5417.54
20180412;5977.81
20180413;6701.3
20180414;6388.33
20180415;6794.76
20180416;6549.58
20180417;6880.9
20180418;7051.41
20180419;7439.71
20180420;7942.49
20180421;7954.27
20180422;8280.32
20180423;8443.11
20180424;9097.06
20180425;8164.86
20180426;8483.14
20180427;8989.42
20180428;9200.53
20180429;9367.45
20180430;9264.72
20180501;8955.15
20180502;9315.35
20180503;9862.45
20180504;9629.87
20180505;9969.21
20180506;9630.7
20180507;9237.3
20180508;9119.94
20180509;9249.64
20180510;9297.02
20180511;8209.29
20180512;7821.71
20180513;8520.86
20180514;8546.61
20180515;8329.76
20180516;7887.75
20180517;7936.13
20180518;7719.28
20180519;7890.52
20180520;8160.37
20180521;7938.35
20180522;7759.74
20180523;6811.69
20180524;6916.72
20180525;6919.69
20180526;7003.09
20180527;6766.15
20180528;6413.13
20180529;6678.17
20180530;6538.6
20180531;6919.09
20180601;6855.32
20180602;7183.13
20180603;7397.17
20180604;6970.13
20180605;7160.14
20180606;7018.75
20180607;7228.42
20180608;7117.07
20180609;7027.29
20180610;6509.44
20180611;5969.21
20180612;5974.65
20180613;5395.75
20180614;5749.02
20180615;5783.8
20180616;5698.48
20180617;5695.42
20180618;5762.71
20180619;5848.21
20180620;5855.27
20180621;5784.88
20180622;5221.05
20180623;5117.29
20180624;5013.41
20180625;5154.1
20180626;4998.61
20180627;4924.99
20180628;4906.37
20180629;4614.75
20180630;5017.5
20180701;5007.74
20180702;5174.72
20180703;5406.26
20180704;5444.96
20180705;5348.05
20180706;5228.62
20180707;5180.46
20180708;5403.46
20180709;5283.71
20180710;4864.04
20180711;4826.43
20180712;4695.47
20180713;4812.43
20180714;4813.71
20180715;4978.99
20180716;5217.79
20180717;5265.65
20180718;5787.54
20180719;5493.13
20180720;5387.74
20180721;5373.24
20180722;5428.86
20180723;5364.74
20180724;5587.4
20180725;5632.16
20180726;5708.5
20180727;5630.13
20180728;5604.92
20180729;5593.2
20180730;5432.32
20180731;5164.7
20180801;4954.41
20180802;4843.95
20180803;4803.16
20180804;4591.71
20180805;4651.39
20180806;4603.01
20180807;4663.25
20180808;3884.87
20180809;4037.8
20180810;3951.9
20180811;3553.09
20180812;3722.25
20180813;3560.28
20180814;3151.51
20180815;3606.23
20180816;3494.08
20180817;3713.28
20180818;3537.04
20180819;3664.25
20180820;3642.9
20180821;3509.86
20180822;3480.08
20180823;3489.1
20180824;3516.19
20180825;3615.52
20180826;3566.2
20180827;3692.57
20180828;3905.08
20180829;3934.51
20180830;3779.5
20180831;3890.09
20180901;4157.61
20180902;4097.78
20180903;4073.55
20180904;4173.56
20180905;3652.59
20180906;3419.14
20180907;3430.49
20180908;3370.4
20180909;3303.65
20180910;3194.86
20180911;3127.46
20180912;3018.8
20180913;3350.65
20180914;3343.97
20180915;3395.24
20180916;3328.33
20180917;3169.56
20180918;3272.84
20180919;3240.79
20180920;3336.14
20180921;3691.15
20180922;3698.43
20180923;3799.77
20180924;3660.97
20180925;3385.98
20180926;3621.17
20180927;3629.89
20180928;3671.23
20180929;3663.71
20180930;3715.8
20181001;3645.97
20181002;3617.96
20181003;3557.38
20181004;3605.38
20181005;3590.61
20181006;3558.09
20181007;3569.07
20181008;3660.84
20181009;3616.01
20181010;3583.14
20181011;3254.64
20181012;3254.27
20181013;3239.98
20181014;3270.17
20181015;3404.19
20181016;3373.41
20181017;3415.62
20181018;3367.2
20181019;3356.28
20181020;3373.1
20181021;3388.61
20181022;3362.66
20181023;3333.79
20181024;3360.93
20181025;3331.86
20181026;3314.24
20181027;3306.73
20181028;3310.89
20181029;3185.35
20181030;3181.89
20181031;3215.44
20181101;3212.22
20181102;3286.9
20181103;3278.3
20181104;3407.61
20181105;3425.94
20181106;3516.7
20181107;3532.11
20181108;3456.33
20181109;3409.09
20181110;3420
20181111;3359.51
20181112;3417.26
20181113;3394.32
20181114;2930.16
20181115;2866.32
20181116;2893.92
20181117;2877.91
20181118;2920.89
20181119;2580.55
20181120;2406.99
20181121;2304.33
20181122;2259.01
20181123;2117.81
20181124;2123.81
20181125;1851.65
20181126;1903.55
20181127;1861.38
20181128;2083.59
20181129;2128.45
20181130;2007.15
20181201;2099.46
20181202;2058.71
20181203;1888.85
20181204;1946.91
20181205;1804.79
20181206;1730.51
20181207;1523.83
20181208;1596.78
20181209;1722.2
20181210;1630.14
20181211;1566.95
20181212;1637.4
20181213;1600.83
20181214;1476.45
20181215;1453.94
20181216;1531.65
20181217;1642.45
20181218;1715.99
20181219;1892.74
20181220;2064.61
20181221;1997.82
20181222;1984.37
20181223;2099.9
20181224;2224.28
20181225;1951.89
20181226;1968.81
20181227;1945.6
20181228;2034.25
20181229;2011.06
20181230;2010.48
20181231;1975.27
20190101;1953.21
20190102;2087.44
20190103;1989.93
20190104;1991.24
20190105;2076.83
20190106;2082.85
20190107;2127.12
20190108;2142.4
20190109;2163.34
20190110;1881.26
20190111;1888.86
20190112;1869.5
20190113;1766.58
20190114;1902.66
20190115;1877.08
20190116;1863.59
20190117;1864.99
20190118;1869.36
20190119;1931.85
20190120;1816.08
20190121;1835.39
20190122;1864.16
20190123;1871.15
20190124;1870.64
20190125;1849.94
20190126;1871.76
20190127;1834.06
20190128;1692.25
20190129;1717.4
20190130;1762.74
20190131;1715.62
20190201;1723.91
20190202;1732.05
20190203;1730.11
20190204;1723.97
20190205;1713.07
20190206;1710.37
20190207;1700.43
20190208;1892.42
20190209;1865.52
20190210;1872.6
20190211;1861.46
20190212;1862.95
20190213;1864.92
20190214;1842.28
20190215;1849.62
20190216;1875.71
20190217;1867.03
20190218;2057.08
20190219;2124.18
20190220;2131.05
20190221;2067.38
20190222;2110.73
20190223;2141.92
20190224;1974.72
20190225;2054.66
20190226;2006
20190227;2011.27
20190228;2020.6
20190301;2057.28
20190302;2015.78
20190303;2016.53
20190304;1938.78
20190305;2065.74
20190306;2089.69
20190307;2113.06
20190308;2097.98
20190309;2116.33
20190310;2106.55
20190311;2105.19
20190312;2149.48
20190313;2135.27
20190314;2160.01
20190315;2215.02
20190316;2266.66
20190317;2255.95
20190318;2227.14
20190319;2267.29
20190320;2291.07
20190321;2195.69
20190322;2277.88
20190323;2295.17
20190324;2294.42
20190325;2259.63
20190326;2223.29
20190327;2329.22
20190328;2337.96
20190329;2380.61
20190330;2369.08
20190331;2407.91
20190401;2452.23
20190402;2752.83
20190403;3128.07
20190404;2857.26
20190405;2988.97
20190406;3072.93
20190407;3041.96
20190408;3039.12
20190409;3010.37
20190410;3052.93
20190411;2803.58
20190412;2847.63
20190413;2809.38
20190414;2824.63
20190415;2854.33
20190416;2803.23
20190417;2846.38
20190418;2917.51
20190419;2904.05
20190420;2904.42
20190421;2794.49
20190422;2830.42
20190423;2882.26
20190424;2681.04
20190425;2738.12
20190426;2604.6
20190427;2658.63
20190428;2671.36
20190429;2609.01
20190430;2690.13
20190501;2721.72
20190502;2738.93
20190503;2848.58
20190504;2742.37
20190505;2778.25
20190506;2822.23
20190507;2829.59
20190508;2759.16
20190509;2724.9
20190510;2777.57
20190511;3022.32
20190512;2938.26
20190513;3248.36
20190514;3380.59
20190515;3691.97
20190516;3753.27
20190517;3338.72
20190518;3457.77
20190519;3678.51
20190520;3617.78
20190521;3735.05
20190522;3718.97
20190523;3599.36
20190524;3750.12
20190525;3706.28
20190526;3705.85
20190527;4028.56
20190528;4083.63
20190529;4283.69
20190530;4267.09
20190531;4093.08
20190601;4234.51
20190602;4280.15
20190603;4258.47
20190604;3985.44
20190605;3874.23
20190606;3828.05
20190607;4040.31
20190608;3873.56
20190609;3736.69
20190610;3911.92
20190611;3906.55
20190612;4084.96
20190613;4134.37
20190614;4012.6
20190615;4249.43
20190616;4332.02
20190617;4340.45
20190618;4243.17
20190619;4314.52
20190620;4290.77
20190621;4466.87
20190622;4788.86
20190623;4805.16
20190624;4810.95
20190625;4790.49
20190626;5249.65
20190627;4317.33
20190628;4611.76
20190629;4644.48
20190630;4467.22
20190701;4193.87
20190702;4258.72
20190703;4322.1
20190704;4437.38
20190705;4301.34
20190706;4409.62
20190707;4325.67
20190708;4480.74
20190709;4503.47
20190710;4210.44
