Date;10 Yr
01/02/2018;2.46
01/03/2018;2.44
01/04/2018;2.46
01/05/2018;2.47
01/08/2018;2.49
01/09/2018;2.55
01/10/2018;2.55
01/11/2018;2.54
01/12/2018;2.55
01/16/2018;2.54
01/17/2018;2.57
01/18/2018;2.62
01/19/2018;2.64
01/22/2018;2.66
01/23/2018;2.63
01/24/2018;2.65
01/25/2018;2.63
01/26/2018;2.66
01/29/2018;2.70
01/30/2018;2.73
01/31/2018;2.72
02/01/2018;2.78
02/02/2018;2.84
02/05/2018;2.77
02/06/2018;2.79
02/07/2018;2.84
02/08/2018;2.85
02/09/2018;2.83
02/12/2018;2.86
02/13/2018;2.83
02/14/2018;2.91
02/15/2018;2.90
02/16/2018;2.87
02/20/2018;2.88
02/21/2018;2.94
02/22/2018;2.92
02/23/2018;2.88
02/26/2018;2.86
02/27/2018;2.90
02/28/2018;2.87
03/01/2018;2.81
03/02/2018;2.86
03/05/2018;2.88
03/06/2018;2.88
03/07/2018;2.89
03/08/2018;2.86
03/09/2018;2.90
03/12/2018;2.87
03/13/2018;2.84
03/14/2018;2.81
03/15/2018;2.82
03/16/2018;2.85
03/19/2018;2.85
03/20/2018;2.89
03/21/2018;2.89
03/22/2018;2.83
03/23/2018;2.82
03/26/2018;2.85
03/27/2018;2.78
03/28/2018;2.77
03/29/2018;2.74
04/02/2018;2.73
04/03/2018;2.79
04/04/2018;2.79
04/05/2018;2.83
04/06/2018;2.77
04/09/2018;2.78
04/10/2018;2.80
04/11/2018;2.79
04/12/2018;2.83
04/13/2018;2.82
04/16/2018;2.83
04/17/2018;2.82
04/18/2018;2.87
04/19/2018;2.92
04/20/2018;2.96
04/23/2018;2.98
04/24/2018;3.00
04/25/2018;3.03
04/26/2018;3.00
04/27/2018;2.96
04/30/2018;2.95
05/01/2018;2.97
05/02/2018;2.97
05/03/2018;2.94
05/04/2018;2.95
05/07/2018;2.95
05/08/2018;2.97
05/09/2018;3.00
05/10/2018;2.97
05/11/2018;2.97
05/14/2018;3.00
05/15/2018;3.08
05/16/2018;3.09
05/17/2018;3.11
05/18/2018;3.06
05/21/2018;3.06
05/22/2018;3.06
05/23/2018;3.01
05/24/2018;2.98
05/25/2018;2.93
05/29/2018;2.77
05/30/2018;2.84
05/31/2018;2.83
06/01/2018;2.89
06/04/2018;2.94
06/05/2018;2.92
06/06/2018;2.97
06/07/2018;2.93
06/08/2018;2.93
06/11/2018;2.96
06/12/2018;2.96
06/13/2018;2.98
06/14/2018;2.94
06/15/2018;2.93
06/18/2018;2.92
06/19/2018;2.89
06/20/2018;2.93
06/21/2018;2.90
06/22/2018;2.90
06/25/2018;2.87
06/26/2018;2.88
06/27/2018;2.83
06/28/2018;2.84
06/29/2018;2.85
07/02/2018;2.87
07/03/2018;2.83
07/05/2018;2.84
07/06/2018;2.82
07/09/2018;2.86
07/10/2018;2.87
07/11/2018;2.85
07/12/2018;2.85
07/13/2018;2.83
07/16/2018;2.85
07/17/2018;2.86
07/18/2018;2.88
07/19/2018;2.84
07/20/2018;2.89
07/23/2018;2.96
07/24/2018;2.95
07/25/2018;2.94
07/26/2018;2.98
07/27/2018;2.96
07/30/2018;2.98
07/31/2018;2.96
08/01/2018;3.00
08/02/2018;2.98
08/03/2018;2.95
08/06/2018;2.94
08/07/2018;2.98
08/08/2018;2.96
08/09/2018;2.93
08/10/2018;2.87
08/13/2018;2.88
08/14/2018;2.89
08/15/2018;2.86
08/16/2018;2.87
08/17/2018;2.87
08/20/2018;2.82
08/21/2018;2.85
08/22/2018;2.82
08/23/2018;2.82
08/24/2018;2.82
08/27/2018;2.85
08/28/2018;2.88
08/29/2018;2.89
08/30/2018;2.86
08/31/2018;2.86
09/04/2018;2.90
09/05/2018;2.90
09/06/2018;2.88
09/07/2018;2.94
09/10/2018;2.94
09/11/2018;2.98
09/12/2018;2.97
09/13/2018;2.97
09/14/2018;2.99
09/17/2018;2.99
09/18/2018;3.05
09/19/2018;3.08
09/20/2018;3.07
09/21/2018;3.07
09/24/2018;3.08
09/25/2018;3.10
09/26/2018;3.06
09/27/2018;3.06
09/28/2018;3.05
10/01/2018;3.09
10/02/2018;3.05
10/03/2018;3.15
10/04/2018;3.19
10/05/2018;3.23
10/09/2018;3.21
10/10/2018;3.22
10/11/2018;3.14
10/12/2018;3.15
10/15/2018;3.16
10/16/2018;3.16
10/17/2018;3.19
10/18/2018;3.17
10/19/2018;3.20
10/22/2018;3.20
10/23/2018;3.17
10/24/2018;3.10
10/25/2018;3.14
10/26/2018;3.08
10/29/2018;3.08
10/30/2018;3.12
10/31/2018;3.15
11/01/2018;3.14
11/02/2018;3.22
11/05/2018;3.20
11/06/2018;3.22
11/07/2018;3.22
11/08/2018;3.24
11/09/2018;3.19
11/13/2018;3.14
11/14/2018;3.12
11/15/2018;3.11
11/16/2018;3.08
11/19/2018;3.06
11/20/2018;3.06
11/21/2018;3.06
11/23/2018;3.05
11/26/2018;3.07
11/27/2018;3.06
11/28/2018;3.06
11/29/2018;3.03
11/30/2018;3.01
12/03/2018;2.98
12/04/2018;2.91
12/06/2018;2.87
12/07/2018;2.85
12/10/2018;2.85
12/11/2018;2.89
12/12/2018;2.91
12/13/2018;2.91
12/14/2018;2.89
12/17/2018;2.86
12/18/2018;2.82
12/19/2018;2.77
12/20/2018;2.79
12/21/2018;2.79
12/24/2018;2.74
12/26/2018;2.81
12/27/2018;2.77
12/28/2018;2.72
12/31/2018;2.69
